P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,C(gr)
562.341,1.575000e+03,1.651160e-01,-3.020740e-02,1.299310e-14,1.700620e-14,1.311260e-10,6.657630e-01,1.419280e-15,4.750810e-19,6.118680e-21,7.688540e-20,1.877320e-11,3.145230e-01,1.971340e-02,1.000000e+00
562.341,1.600000e+03,1.665700e-01,2.094750e-02,2.296970e-14,2.686830e-14,1.703270e-10,6.638100e-01,1.930620e-15,1.119190e-18,1.644510e-20,2.063870e-19,3.149550e-11,3.194690e-01,1.672120e-02,1.000000e+00
562.341,1.625000e+03,1.678020e-01,6.910850e-02,3.991210e-14,4.177770e-14,2.190850e-10,6.621630e-01,2.591320e-15,2.567710e-18,4.286200e-20,5.371400e-19,5.200580e-11,3.236380e-01,1.419880e-02,1.000000e+00
562.341,1.650000e+03,1.688430e-01,1.147060e-01,6.821660e-14,6.399950e-14,2.792590e-10,6.607780e-01,3.436240e-15,5.744040e-18,1.084860e-19,1.357290e-18,8.457720e-11,3.271450e-01,1.207740e-02,1.000000e+00
562.341,1.675000e+03,1.697210e-01,1.581310e-01,1.147680e-13,9.668160e-14,3.529800e-10,6.596140e-01,4.506730e-15,1.254330e-17,2.669980e-19,3.334380e-18,1.355630e-10,3.300900e-01,1.029540e-02,1.000000e+00
562.341,1.700000e+03,1.704610e-01,1.997290e-01,1.901930e-13,1.441500e-13,4.426880e-10,6.586370e-01,5.851550e-15,2.676620e-17,6.397610e-19,7.973610e-18,2.142810e-10,3.325640e-01,8.798810e-03,1.000000e+00
562.341,1.725000e+03,1.710840e-01,2.398000e-01,3.106590e-13,2.122870e-13,5.511570e-10,6.578160e-01,7.527840e-15,5.587050e-17,1.494190e-18,1.858250e-17,3.342280e-10,3.346430e-01,7.541070e-03,1.000000e+00
562.341,1.750000e+03,1.716100e-01,2.786000e-01,5.004430e-13,3.090070e-13,6.815260e-10,6.571250e-01,9.602230e-15,1.141840e-16,3.405290e-18,4.225140e-17,5.147040e-10,3.363920e-01,6.482780e-03,1.000000e+00
562.341,1.775000e+03,1.720540e-01,3.163440e-01,7.955230e-13,4.448560e-13,8.373310e-10,6.565430e-01,1.215200e-14,2.286900e-16,7.580730e-18,9.382610e-17,7.829940e-10,3.378670e-01,5.590720e-03,1.000000e+00
562.341,1.800000e+03,1.724300e-01,3.532140e-01,1.248570e-12,6.337580e-13,1.022540e-09,6.560510e-01,1.526650e-14,4.492330e-16,1.650070e-17,2.036940e-16,1.177240e-09,3.391120e-01,4.837170e-03,1.000000e+00
562.341,1.825000e+03,1.727480e-01,3.893610e-01,1.935810e-12,8.939370e-13,1.241570e-09,6.556340e-01,1.904800e-14,8.662110e-16,3.515030e-17,4.327260e-16,1.750180e-09,3.401670e-01,4.199040e-03,1.000000e+00
562.341,1.850000e+03,1.730190e-01,4.249100e-01,2.966270e-12,1.249040e-12,1.499350e-09,6.552800e-01,2.361390e-14,1.640710e-15,7.334580e-17,9.003450e-16,2.574000e-09,3.410620e-01,3.657230e-03,1.000000e+00
562.341,1.875000e+03,1.732500e-01,4.599650e-01,4.494240e-12,1.729490e-12,1.801320e-09,6.549790e-01,2.909740e-14,3.054960e-15,1.500370e-16,1.836240e-15,3.746510e-09,3.418250e-01,3.195870e-03,1.000000e+00
562.341,1.900000e+03,1.734470e-01,4.946110e-01,6.735860e-12,2.374180e-12,2.153510e-09,6.547220e-01,3.564980e-14,5.595510e-15,3.011220e-16,3.673840e-15,5.399030e-09,3.424760e-01,2.801870e-03,1.000000e+00
