P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,C(gr)
0.001,3.000000e+02,8.742740e-02,-2.632220e+00,1.423210e-78,3.153750e-74,1.075360e-50,7.900000e-01,4.529900e-70,1.502170e-114,1.271300e-132,1.855540e-132,2.240320e-70,5.502450e-10,2.100000e-01,1.000000e+00
0.001,3.250000e+02,8.742740e-02,-2.607560e+00,3.055730e-72,2.969270e-68,7.750160e-47,7.900000e-01,8.444350e-65,5.992150e-105,1.704390e-121,3.318940e-121,1.685590e-64,7.878290e-09,2.100000e-01,1.000000e+00
0.001,3.500000e+02,8.742740e-02,-2.582700e+00,8.207240e-67,3.937060e-63,1.571060e-43,7.900000e-01,2.781640e-60,1.023700e-96,5.975630e-112,1.479450e-111,1.841610e-59,7.739360e-08,2.100000e-01,1.000000e+00
0.001,3.750000e+02,8.742750e-02,-2.557660e+00,4.177790e-62,1.087570e-58,1.154330e-40,7.900000e-01,2.289890e-56,1.405130e-89,1.133040e-103,3.432750e-103,4.294870e-55,5.620460e-07,2.100000e-01,1.000000e+00
0.001,4.000000e+02,8.742810e-02,-2.532410e+00,5.504270e-58,8.396270e-55,3.718200e-38,7.899990e-01,6.109560e-53,2.484250e-83,2.003980e-96,7.205280e-96,2.854530e-51,3.191390e-06,2.099980e-01,1.000000e+00
0.001,4.250000e+02,8.743050e-02,-2.506950e+00,2.382090e-54,2.267960e-51,6.072700e-36,7.899940e-01,6.445110e-50,8.117240e-78,5.017060e-90,2.088200e-89,6.744860e-48,1.479060e-05,2.099910e-01,1.000000e+00
0.001,4.500000e+02,8.743950e-02,-2.481200e+00,4.075980e-51,2.552740e-48,5.631350e-34,7.899770e-01,3.137740e-47,6.491420e-73,2.459550e-84,1.161220e-83,6.729380e-45,5.785230e-05,2.099650e-01,1.000000e+00
0.001,4.750000e+02,8.746820e-02,-2.454950e+00,3.192140e-48,1.374380e-45,3.241800e-32,7.899230e-01,7.963780e-45,1.586080e-68,3.051090e-79,1.606800e-78,3.247420e-42,1.960890e-04,2.098810e-01,1.000000e+00
0.001,5.000000e+02,8.754990e-02,-2.427670e+00,1.286320e-45,3.951870e-43,1.244040e-30,7.897680e-01,1.161360e-42,1.414010e-64,1.175920e-74,6.811790e-74,8.450160e-40,5.881750e-04,2.096440e-01,1.000000e+00
0.001,5.250000e+02,8.775820e-02,-2.398210e+00,2.932040e-43,6.633000e-41,3.370010e-29,7.893730e-01,1.052100e-40,5.310650e-61,1.662770e-70,1.047120e-69,1.294670e-37,1.587610e-03,2.090390e-01,1.000000e+00
0.001,5.500000e+02,8.824230e-02,-2.364230e+00,4.084730e-41,6.984860e-39,6.748630e-28,7.884570e-01,6.303540e-39,9.451540e-58,9.884180e-67,6.700040e-66,1.254980e-35,3.907040e-03,2.076360e-01,1.000000e+00
0.001,5.750000e+02,8.927820e-02,-2.321400e+00,3.706980e-39,4.892720e-37,1.036520e-26,7.865030e-01,2.624530e-37,8.784870e-55,2.764290e-63,1.999940e-62,8.166380e-34,8.852020e-03,2.046450e-01,1.000000e+00
0.001,6.000000e+02,9.133150e-02,-2.262520e+00,2.310470e-37,2.389340e-35,1.256440e-25,7.826600e-01,7.885100e-36,4.624220e-52,3.995060e-60,3.062650e-59,3.746750e-32,1.858110e-02,1.987580e-01,1.000000e+00
0.001,6.250000e+02,9.510760e-02,-2.176800e+00,1.033580e-35,8.438400e-34,1.227390e-24,7.756900e-01,1.754550e-34,1.475650e-49,3.228700e-57,2.606250e-56,1.262640e-30,3.622740e-02,1.880820e-01,1.000000e+00
0.001,6.500000e+02,1.015200e-01,-2.050810e+00,3.443510e-34,2.214300e-32,9.792540e-24,7.641330e-01,2.932410e-33,3.024120e-47,1.559960e-54,1.318690e-53,3.234440e-29,6.548500e-02,1.703820e-01,1.000000e+00
0.001,6.750000e+02,1.114260e-01,-1.873030e+00,8.817830e-33,4.394890e-31,6.420630e-23,7.469430e-01,3.686910e-32,4.180330e-45,4.769950e-52,4.202540e-51,6.485130e-28,1.090060e-01,1.440510e-01,1.000000e+00
0.001,7.000000e+02,1.249220e-01,-1.644830e+00,1.784580e-31,6.663460e-30,3.462410e-22,7.247300e-01,3.454530e-31,4.065410e-43,9.692660e-50,8.863110e-49,1.044500e-26,1.652400e-01,1.100300e-01,1.000000e+00
0.001,7.250000e+02,1.403370e-01,-1.393750e+00,2.929740e-30,7.769940e-29,1.537010e-21,7.009210e-01,2.384030e-30,2.884350e-41,1.365210e-47,1.290860e-46,1.384680e-25,2.255160e-01,7.356270e-02,1.000000e+00
0.001,7.500000e+02,1.542730e-01,-1.169110e+00,3.997940e-29,7.068160e-28,5.678900e-21,6.807040e-01,1.219960e-29,1.540670e-39,1.382470e-45,1.347210e-44,1.546010e-24,2.766990e-01,4.259690e-02,1.000000e+00
0.001,7.750000e+02,1.640120e-01,-1.006410e+00,4.629390e-28,5.177500e-27,1.796390e-20,6.672550e-01,4.838650e-29,6.367950e-38,1.039040e-43,1.040510e-42,1.482230e-23,3.107470e-01,2.199800e-02,1.000000e+00
0.001,8.000000e+02,1.695160e-01,-9.031370e-01,4.620110e-27,3.187260e-26,5.049560e-20,6.598860e-01,1.593430e-28,2.086110e-36,5.959930e-42,6.117140e-41,1.238080e-22,3.294030e-01,1.071120e-02,1.000000e+00
0.001,8.250000e+02,1.722670e-01,-8.375710e-01,4.023000e-26,1.711820e-25,1.301250e-19,6.562630e-01,4.627260e-28,5.532000e-35,2.673740e-40,2.806090e-39,9.112010e-22,3.385740e-01,5.162820e-03,1.000000e+00
0.001,8.500000e+02,1.735820e-01,-7.913880e-01,3.089910e-25,8.227980e-25,3.136140e-19,6.545460e-01,1.230770e-27,1.209830e-33,9.586520e-39,1.026600e-37,5.968690e-21,3.429210e-01,2.532650e-03,1.000000e+00
0.001,8.750000e+02,1.742110e-01,-7.543380e-01,2.114610e-24,3.597110e-24,7.153050e-19,6.537280e-01,3.061880e-27,2.218300e-32,2.800210e-37,3.053970e-36,3.512390e-20,3.449920e-01,1.279610e-03,1.000000e+00
0.001,9.000000e+02,1.745180e-01,-7.214810e-01,1.301460e-23,1.446110e-23,1.555410e-18,6.533290e-01,7.208570e-27,3.460530e-31,6.778080e-36,7.515720e-35,1.872950e-19,3.460030e-01,6.683420e-04,1.000000e+00
0.001,9.250000e+02,1.746730e-01,-6.905400e-01,7.264720e-23,5.389950e-23,3.240990e-18,6.531280e-01,1.617730e-26,4.653410e-30,1.380430e-34,1.553790e-33,9.121340e-19,3.465110e-01,3.608950e-04,1.000000e+00
0.001,9.500000e+02,1.747530e-01,-6.604610e-01,3.705980e-22,1.874840e-22,6.496790e-18,6.530240e-01,3.478200e-26,5.457430e-29,2.397860e-33,2.735910e-32,4.085820e-18,3.467750e-01,2.012020e-04,1.000000e+00
0.001,9.750000e+02,1.747970e-01,-6.307500e-01,1.739690e-21,6.120310e-22,1.256950e-17,6.529680e-01,7.192520e-26,5.641030e-28,3.596180e-32,4.153950e-31,1.694210e-17,3.469160e-01,1.155970e-04,1.000000e+00
0.001,1.000000e+03,1.748200e-01,-6.011650e-01,7.561730e-21,1.884220e-21,2.353650e-17,6.529370e-01,1.435080e-25,5.187860e-27,4.708090e-31,5.499160e-30,6.540810e-17,3.469950e-01,6.830770e-05,1.000000e+00
0.001,1.025000e+03,1.748340e-01,-5.715900e-01,3.060460e-20,5.494520e-21,4.275990e-17,6.529200e-01,2.770370e-25,4.281400e-26,5.434350e-30,6.411530e-29,2.363410e-16,3.470390e-01,4.143490e-05,1.000000e+00
0.001,1.050000e+03,1.748420e-01,-5.419660e-01,1.159240e-19,1.523550e-20,7.553600e-17,6.529090e-01,5.187020e-25,3.195260e-25,5.580260e-29,6.643520e-28,8.030490e-16,3.470650e-01,2.575470e-05,1.000000e+00
0.001,1.075000e+03,1.748470e-01,-5.122650e-01,4.128420e-19,4.031290e-20,1.300010e-16,6.529030e-01,9.439630e-25,2.171660e-24,5.139310e-28,6.168510e-27,2.576940e-15,3.470800e-01,1.637630e-05,1.000000e+00
0.001,1.100000e+03,1.748490e-01,-4.824710e-01,1.388160e-18,1.021120e-19,2.183690e-16,6.529000e-01,1.673010e-24,1.352730e-23,4.276790e-27,5.170820e-26,7.840100e-15,3.470900e-01,1.063600e-05,1.000000e+00
0.001,1.125000e+03,1.748510e-01,-4.525790e-01,4.423810e-18,2.483200e-19,3.585820e-16,6.528970e-01,2.892760e-24,7.767570e-23,3.237640e-26,3.940010e-25,2.269530e-14,3.470960e-01,7.045850e-06,1.000000e+00
0.001,1.150000e+03,1.748520e-01,-4.225860e-01,1.340830e-17,5.813050e-19,5.764770e-16,6.528960e-01,4.887650e-24,4.133480e-22,2.243440e-25,2.745980e-24,6.271270e-14,3.471000e-01,4.754690e-06,1.000000e+00
0.001,1.175000e+03,1.748530e-01,-3.924920e-01,3.877520e-17,1.313120e-18,9.085680e-16,6.528950e-01,8.081600e-24,2.048380e-21,1.430960e-24,1.760500e-23,1.659100e-13,3.471020e-01,3.264610e-06,1.000000e+00
0.001,1.200000e+03,1.748540e-01,-3.623000e-01,1.073030e-16,2.868650e-18,1.405570e-15,6.528940e-01,1.309450e-23,9.495080e-21,8.445270e-24,1.043720e-22,4.213730e-13,3.471040e-01,2.278180e-06,1.000000e+00
0.001,1.225000e+03,1.748540e-01,-3.320110e-01,2.849140e-16,6.073060e-18,2.136770e-15,6.528940e-01,2.081660e-23,4.133870e-20,4.633830e-23,5.749370e-22,1.029970e-12,3.471050e-01,1.614210e-06,1.000000e+00
0.001,1.250000e+03,1.748540e-01,-3.016270e-01,7.276700e-16,1.248270e-17,3.195430e-15,6.528930e-01,3.250520e-23,1.696750e-19,2.374140e-22,2.955730e-21,2.428560e-12,3.471060e-01,1.160240e-06,1.000000e+00
0.001,1.275000e+03,1.748540e-01,-2.711530e-01,1.791690e-15,2.495380e-17,4.705260e-15,6.528930e-01,4.990850e-23,6.588440e-19,1.140410e-21,1.423920e-20,5.535460e-12,3.471060e-01,8.452510e-07,1.000000e+00
0.001,1.300000e+03,1.748550e-01,-2.405890e-01,4.262010e-15,4.859350e-17,6.828230e-15,6.528930e-01,7.542120e-23,2.427960e-18,5.154910e-21,6.452260e-20,1.222060e-11,3.471060e-01,6.236370e-07,1.000000e+00
0.001,1.325000e+03,1.748550e-01,-2.099400e-01,9.813740e-15,9.231630e-17,9.773680e-15,6.528930e-01,1.122780e-22,8.516890e-18,2.200310e-20,2.759640e-19,2.617880e-11,3.471070e-01,4.656650e-07,1.000000e+00
0.001,1.350000e+03,1.748550e-01,-1.792080e-01,2.191320e-14,1.713280e-16,1.380910e-14,6.528930e-01,1.647940e-22,2.851590e-17,8.896700e-20,1.117640e-18,5.450730e-11,3.471070e-01,3.516570e-07,1.000000e+00
0.001,1.375000e+03,1.748550e-01,-1.483950e-01,4.752860e-14,3.110150e-16,1.927220e-14,6.528930e-01,2.386520e-22,9.136170e-17,3.417770e-19,4.298930e-18,1.104790e-10,3.471070e-01,2.684100e-07,1.000000e+00
0.001,1.400000e+03,1.748550e-01,-1.175040e-01,1.002890e-13,5.529010e-16,2.658560e-14,6.528930e-01,3.412510e-22,2.807600e-16,1.250880e-18,1.574800e-17,2.183000e-10,3.471070e-01,2.069490e-07,1.000000e+00
0.001,1.425000e+03,1.748550e-01,-8.653840e-02,2.061740e-13,9.636100e-16,3.627210e-14,6.528930e-01,4.821200e-22,8.293820e-16,4.372800e-18,5.508260e-17,4.210750e-10,3.471070e-01,1.610940e-07,1.000000e+00
0.001,1.450000e+03,1.748550e-01,-5.549990e-02,4.135010e-13,1.648110e-15,4.897300e-14,6.528930e-01,6.734070e-22,2.359970e-15,1.463530e-17,1.844040e-16,7.938470e-10,3.471070e-01,1.265410e-07,1.000000e+00
0.001,1.475000e+03,1.748550e-01,-2.439110e-02,8.100760e-13,2.768960e-15,6.546760e-14,6.528930e-01,9.304450e-22,6.480650e-15,4.700100e-17,5.921920e-16,1.464510e-09,3.471070e-01,1.002570e-07,1.000000e+00
0.001,1.500000e+03,1.748550e-01,6.785840e-03,1.551990e-12,4.573780e-15,8.669590e-14,6.528930e-01,1.272410e-21,1.720530e-14,1.451350e-16,1.828090e-15,2.646670e-09,3.471070e-01,8.008320e-08,1.000000e+00
0.001,1.525000e+03,1.748550e-01,3.802860e-02,2.911020e-12,7.434020e-15,1.137810e-13,6.528930e-01,1.723080e-21,4.423440e-14,4.317550e-16,5.435250e-15,4.690290e-09,3.471070e-01,6.446700e-08,1.000000e+00
0.001,1.550000e+03,1.748550e-01,6.933510e-02,5.350990e-12,1.189870e-14,1.480590e-13,6.528930e-01,2.311690e-21,1.103020e-13,1.239620e-15,1.559270e-14,8.158380e-09,3.471070e-01,5.228010e-08,1.000000e+00
0.001,1.575000e+03,1.748550e-01,1.007030e-01,9.648820e-12,1.876800e-14,1.911000e-13,6.528930e-01,3.073910e-21,2.671580e-13,3.440780e-15,4.323580e-14,1.394120e-08,3.471070e-01,4.269580e-08,1.000000e+00
0.001,1.600000e+03,1.748550e-01,1.321310e-01,1.708260e-11,2.919280e-14,2.447460e-13,6.528930e-01,4.052920e-21,6.293650e-13,9.247770e-15,1.160600e-13,2.342330e-08,3.471070e-01,3.510250e-08,1.000000e+00
0.001,1.625000e+03,1.748550e-01,1.636170e-01,2.971960e-11,4.480730e-14,3.111400e-13,6.528930e-01,5.300640e-21,1.443930e-12,2.410310e-14,3.020560e-13,3.872490e-08,3.471070e-01,2.904420e-08,1.000000e+00
0.001,1.650000e+03,1.748550e-01,1.951590e-01,5.084910e-11,6.790480e-14,3.927570e-13,6.528930e-01,6.879090e-21,3.230110e-12,6.100600e-14,7.632620e-13,6.304440e-08,3.471070e-01,2.417810e-08,1.000000e+00
0.001,1.675000e+03,1.748550e-01,2.267550e-01,8.562450e-11,1.016660e-13,4.924450e-13,6.528920e-01,8.861850e-21,7.053600e-12,1.501440e-13,1.875060e-12,1.011380e-07,3.471070e-01,2.024450e-08,1.000000e+00
0.001,1.700000e+03,1.748550e-01,2.584040e-01,1.420010e-10,1.504540e-13,6.134570e-13,6.528920e-01,1.133570e-20,1.505180e-11,3.597640e-13,4.483890e-12,1.599860e-07,3.471070e-01,1.704520e-08,1.000000e+00
0.001,1.725000e+03,1.748550e-01,2.901050e-01,2.320880e-10,2.201950e-13,7.594980e-13,6.528920e-01,1.440240e-20,3.141830e-11,8.402470e-13,1.044970e-11,2.496960e-07,3.471070e-01,1.442770e-08,1.000000e+00
0.001,1.750000e+03,1.748550e-01,3.218550e-01,3.740690e-10,3.188500e-13,9.347540e-13,6.528920e-01,1.818060e-20,6.421060e-11,1.914940e-12,2.375970e-11,3.847280e-07,3.471070e-01,1.227430e-08,1.000000e+00
0.001,1.775000e+03,1.748550e-01,3.536550e-01,5.948970e-10,4.570230e-13,1.143940e-12,6.528920e-01,2.280800e-20,1.286020e-10,4.262960e-12,5.276230e-11,5.855280e-07,3.471070e-01,1.049310e-08,1.000000e+00
0.001,1.800000e+03,1.748550e-01,3.855020e-01,9.340420e-10,6.487000e-13,1.392360e-12,6.528920e-01,2.844330e-20,2.526220e-10,9.279010e-12,1.145460e-10,8.806770e-07,3.471070e-01,9.012220e-09,1.000000e+00
0.001,1.825000e+03,1.748550e-01,4.173970e-01,1.448610e-09,9.121750e-13,1.685900e-12,6.528910e-01,3.526900e-20,4.871060e-10,1.976650e-11,2.433400e-10,1.309700e-06,3.471070e-01,7.774880e-09,1.000000e+00
0.001,1.850000e+03,1.748560e-01,4.493380e-01,2.220330e-09,1.271170e-12,2.031140e-12,6.528910e-01,4.349370e-20,9.226390e-10,4.124540e-11,5.063010e-10,1.926700e-06,3.471070e-01,6.736140e-09,1.000000e+00
0.001,1.875000e+03,1.748560e-01,4.813260e-01,3.364830e-09,1.756220e-12,2.435330e-12,6.528900e-01,5.335470e-20,1.717930e-09,8.437210e-11,1.032600e-09,2.805000e-06,3.471070e-01,5.860140e-09,1.000000e+00
0.001,1.900000e+03,1.748570e-01,5.133620e-01,5.044110e-09,2.406280e-12,2.906500e-12,6.528890e-01,6.512110e-20,3.146590e-09,1.693330e-10,2.065950e-09,4.043030e-06,3.471070e-01,5.118160e-09,1.000000e+00
0.001,1.925000e+03,1.748580e-01,5.454450e-01,7.482810e-09,3.270750e-12,3.453450e-12,6.528880e-01,7.909660e-20,5.672970e-09,3.336790e-10,4.057940e-09,5.771750e-06,3.471060e-01,4.487040e-09,1.000000e+00
0.001,1.950000e+03,1.748590e-01,5.775780e-01,1.098950e-08,4.411780e-12,4.085840e-12,6.528860e-01,9.562280e-20,1.007360e-08,6.460490e-10,7.830610e-09,8.163840e-06,3.471060e-01,3.948050e-09,1.000000e+00
0.001,1.975000e+03,1.748610e-01,6.097640e-01,1.598420e-08,5.907070e-12,4.814200e-12,6.528830e-01,1.150820e-19,1.762820e-08,1.229830e-09,1.485540e-08,1.144520e-05,3.471050e-01,3.485950e-09,1.000000e+00
0.001,2.000000e+03,1.748630e-01,6.420070e-01,2.303330e-08,7.853090e-12,5.649980e-12,6.528790e-01,1.379020e-19,3.041760e-08,2.303250e-09,2.772350e-08,1.590870e-05,3.471050e-01,3.088280e-09,1.000000e+00
0.001,2.025000e+03,1.748660e-01,6.743110e-01,3.289480e-08,1.036890e-11,6.605610e-12,6.528740e-01,1.645570e-19,5.177940e-08,4.246400e-09,5.092790e-08,2.193180e-05,3.471040e-01,2.744830e-09,1.000000e+00
0.001,2.050000e+03,1.748700e-01,7.066850e-01,4.657420e-08,1.360060e-11,7.694520e-12,6.528680e-01,1.955750e-19,8.700050e-08,7.711370e-09,9.214190e-08,2.999630e-05,3.471020e-01,2.447170e-09,1.000000e+00
0.001,2.075000e+03,1.748760e-01,7.391380e-01,6.539490e-08,1.772630e-11,8.931220e-12,6.528590e-01,2.315370e-19,1.443520e-07,1.380110e-08,1.642830e-07,4.071390e-05,3.471000e-01,2.188330e-09,1.000000e+00
0.001,2.100000e+03,1.748830e-01,7.716830e-01,9.108630e-08,2.296200e-11,1.033130e-11,6.528470e-01,2.730850e-19,2.366240e-07,2.435520e-08,2.887970e-07,5.485520e-05,3.470980e-01,1.962510e-09,1.000000e+00
0.001,2.125000e+03,1.748930e-01,8.043370e-01,1.258910e-07,2.956830e-11,1.191140e-11,6.528310e-01,3.209250e-19,3.833640e-07,4.240190e-08,5.008090e-07,7.338490e-05,3.470940e-01,1.764900e-09,1.000000e+00
0.001,2.150000e+03,1.749060e-01,8.371220e-01,1.726970e-07,3.785800e-11,1.368940e-11,6.528110e-01,3.758270e-19,6.141290e-07,7.286150e-08,8.571170e-07,9.750280e-05,3.470900e-01,1.591440e-09,1.000000e+00
0.001,2.175000e+03,1.749220e-01,8.700650e-01,2.352000e-07,4.820450e-11,1.568440e-11,6.527840e-01,4.386370e-19,9.731370e-07,1.236310e-07,1.448420e-06,1.286920e-04,3.470840e-01,1.438740e-09,1.000000e+00
0.001,2.200000e+03,1.749440e-01,9.032040e-01,3.180940e-07,6.105170e-11,1.791650e-11,6.527500e-01,5.102710e-19,1.525860e-06,2.072340e-07,2.417840e-06,1.687760e-04,3.470770e-01,1.303930e-09,1.000000e+00
0.001,2.225000e+03,1.749730e-01,9.365850e-01,4.273080e-07,7.692430e-11,2.040740e-11,6.527060e-01,5.917280e-19,2.368300e-06,3.433030e-07,3.988540e-06,2.199800e-04,3.470670e-01,1.184590e-09,1.000000e+00
0.001,2.250000e+03,1.750110e-01,9.702670e-01,5.702830e-07,9.644030e-11,2.317970e-11,6.526500e-01,6.840870e-19,3.639880e-06,5.622760e-07,6.504760e-06,2.850120e-04,3.470540e-01,1.078670e-09,1.000000e+00
0.001,2.275000e+03,1.750590e-01,1.004330e+00,7.563050e-07,1.203240e-10,2.625730e-11,6.525770e-01,7.885160e-19,5.541240e-06,9.108340e-07,1.049160e-05,3.671420e-04,3.470380e-01,9.844190e-10,1.000000e+00
0.001,2.300000e+03,1.751230e-01,1.038870e+00,9.968890e-07,1.494220e-10,2.966540e-11,6.524860e-01,9.062690e-19,8.358540e-06,1.459840e-06,1.674190e-05,4.703010e-04,3.470160e-01,9.003340e-10,1.000000e+00
0.001,2.325000e+03,1.752050e-01,1.074020e+00,1.306240e-06,1.847150e-10,3.343030e-11,6.523690e-01,1.038700e-18,1.249650e-05,2.315770e-06,2.644060e-05,5.991930e-04,3.469890e-01,8.251370e-10,1.000000e+00
0.001,2.350000e+03,1.753130e-01,1.109940e+00,1.701800e-06,2.273420e-10,3.757960e-11,6.522220e-01,1.187230e-18,1.852260e-05,3.637090e-06,4.134140e-05,7.594160e-04,3.469530e-01,7.577280e-10,1.000000e+00
0.001,2.375000e+03,1.754540e-01,1.146870e+00,2.204830e-06,2.786140e-10,4.214170e-11,6.520360e-01,1.353410e-18,2.722650e-05,5.657430e-06,6.401550e-05,9.576010e-04,3.469070e-01,6.971570e-10,1.000000e+00
0.001,2.400000e+03,1.756380e-01,1.185090e+00,2.841170e-06,3.400350e-10,4.714600e-11,6.518010e-01,1.538860e-18,3.969810e-05,8.718090e-06,9.819820e-05,1.201560e-03,3.468480e-01,6.426030e-10,1.000000e+00
0.001,2.425000e+03,1.758800e-01,1.224980e+00,3.642000e-06,4.133260e-10,5.262240e-11,6.515060e-01,1.745280e-18,5.743080e-05,1.331340e-05,1.492690e-04,1.500480e-03,3.467700e-01,5.933530e-10,1.000000e+00
0.001,2.450000e+03,1.761980e-01,1.267040e+00,4.644810e-06,5.004430e-10,5.860130e-11,6.511340e-01,1.974440e-18,8.245590e-05,2.015290e-05,2.249060e-04,1.865050e-03,3.466690e-01,5.487860e-10,1.000000e+00
0.001,2.475000e+03,1.766180e-01,1.311950e+00,5.894430e-06,6.036020e-10,6.511290e-11,6.506650e-01,2.228190e-18,1.175170e-04,3.024760e-05,3.359850e-04,2.307720e-03,3.465380e-01,5.083570e-10,1.000000e+00
0.001,2.500000e+03,1.771730e-01,1.360580e+00,7.444140e-06,7.253000e-10,7.218660e-11,6.500740e-01,2.508370e-18,1.662940e-04,4.502520e-05,4.977790e-04,2.842890e-03,3.463670e-01,4.715910e-10,1.000000e+00
0.001,2.525000e+03,1.779100e-01,1.414080e+00,9.357030e-06,8.683330e-10,7.984980e-11,6.493290e-01,2.816830e-18,2.336920e-04,6.648750e-05,7.315740e-04,3.487090e-03,3.461420e-01,4.380630e-10,1.000000e+00
0.001,2.550000e+03,1.788900e-01,1.474000e+00,1.170730e-05,1.035810e-09,8.812700e-11,6.483900e-01,3.155320e-18,3.262040e-04,9.741990e-05,1.066820e-03,4.259280e-03,3.458490e-01,4.073990e-10,1.000000e+00
0.001,2.575000e+03,1.801940e-01,1.542360e+00,1.458170e-05,1.231160e-09,9.703760e-11,6.472030e-01,3.525410e-18,4.523750e-04,1.416690e-04,1.543940e-03,5.180980e-03,3.454640e-01,3.792610e-10,1.000000e+00
0.001,2.600000e+03,1.819330e-01,1.621800e+00,1.808100e-05,1.458110e-09,1.065930e-10,6.457020e-01,3.928350e-18,6.233820e-04,2.045130e-04,2.218080e-03,6.276490e-03,3.449580e-01,3.533450e-10,1.000000e+00
0.001,2.625000e+03,1.842530e-01,1.715840e+00,2.232160e-05,1.720690e-09,1.167950e-10,6.438010e-01,4.364890e-18,8.537580e-04,2.931400e-04,3.163880e-03,7.573030e-03,3.442930e-01,3.293700e-10,1.000000e+00
0.001,2.650000e+03,1.873510e-01,1.829030e+00,2.743640e-05,2.023130e-09,1.276260e-10,6.413910e-01,4.834950e-18,1.162290e-03,4.172760e-04,4.481770e-03,9.100780e-03,3.434190e-01,3.070760e-10,1.000000e+00
0.001,2.675000e+03,1.914910e-01,1.967330e+00,3.357580e-05,2.369760e-09,1.390460e-10,6.383330e-01,5.337270e-18,1.573150e-03,5.900020e-04,6.305950e-03,1.089280e-02,3.422710e-01,2.862200e-10,1.000000e+00
0.001,2.700000e+03,1.970240e-01,2.138470e+00,4.090790e-05,2.764850e-09,1.509850e-10,6.344490e-01,5.868850e-18,2.117230e-03,8.287920e-04,8.814650e-03,1.298460e-02,3.407650e-01,2.665660e-10,1.000000e+00
0.001,2.725000e+03,2.044240e-01,2.352410e+00,4.961680e-05,3.212250e-09,1.633230e-10,6.295140e-01,6.424230e-18,2.833860e-03,1.156850e-03,1.224310e-02,1.541370e-02,3.387890e-01,2.478840e-10,1.000000e+00
0.001,2.750000e+03,2.143300e-01,2.621970e+00,5.990010e-05,3.714990e-09,1.758810e-10,6.232420e-01,6.994480e-18,3.772820e-03,1.604820e-03,1.690010e-02,1.821820e-02,3.362020e-01,2.299480e-10,1.000000e+00
0.001,2.775000e+03,2.276140e-01,2.963480e+00,7.196220e-05,4.274580e-09,1.883940e-10,6.152720e-01,7.565950e-18,4.996810e-03,2.212920e-03,2.318840e-02,2.143480e-02,3.328230e-01,2.125310e-10,1.000000e+00
0.001,2.800000e+03,2.454730e-01,3.397660e+00,8.600250e-05,4.889980e-09,2.004860e-10,6.051500e-01,8.118680e-18,6.584460e-03,3.033630e-03,3.163030e-02,2.509580e-02,3.284190e-01,1.954030e-10,1.000000e+00
0.001,2.825000e+03,2.695870e-01,3.950510e+00,1.021970e-04,5.556150e-09,2.116330e-10,5.923100e-01,8.624450e-18,8.633890e-03,4.135120e-03,4.290030e-02,2.922370e-02,3.226950e-01,1.783340e-10,1.000000e+00
0.001,2.850000e+03,3.023560e-01,4.654370e+00,1.206680e-04,6.261960e-09,2.211220e-10,5.760450e-01,9.044660e-18,1.126700e-02,5.605400e-03,5.786360e-02,3.382400e-02,3.152750e-01,1.611000e-10,1.000000e+00
0.001,2.875000e+03,3.473120e-01,5.549020e+00,1.414310e-04,6.987180e-09,2.280070e-10,5.554800e-01,9.328270e-18,1.463460e-02,7.557540e-03,7.762510e-02,3.887260e-02,3.056890e-01,1.434870e-10,1.000000e+00
0.001,2.900000e+03,4.098590e-01,6.682610e+00,1.643220e-04,7.698280e-09,2.310600e-10,5.295430e-01,9.410520e-18,1.892230e-02,1.013610e-02,1.035890e-01,4.429770e-02,2.933480e-01,1.253190e-10,1.000000e+00
0.001,2.925000e+03,4.986760e-01,8.112330e+00,1.888610e-04,8.342670e-09,2.287360e-10,4.969290e-01,9.213640e-18,2.435810e-02,1.352500e-02,1.375300e-01,4.995040e-02,2.775180e-01,1.064830e-10,1.000000e+00
0.001,2.950000e+03,6.286420e-01,9.904490e+00,2.140500e-04,8.840700e-09,2.191870e-10,4.560740e-01,8.652080e-18,3.122000e-02,1.795720e-02,1.816820e-01,5.555720e-02,2.572950e-01,8.698420e-11,1.000000e+00
0.001,2.975000e+03,8.275970e-01,1.213320e+01,2.380030e-04,9.074950e-09,2.003530e-10,4.051360e-01,7.646440e-18,3.984680e-02,2.372610e-02,2.388430e-01,6.063900e-02,2.315710e-01,6.702740e-11,1.000000e+00
0.001,3.000000e+03,1.154450e+00,1.487690e+01,2.572790e-04,8.876170e-09,1.702740e-10,3.420190e-01,6.153360e-18,5.064880e-02,3.120000e-02,3.125020e-01,6.436230e-02,1.990100e-01,4.713620e-11,1.000000e+00
0.001,3.025000e+03,1.759230e+00,1.821050e+01,2.654870e-04,8.005920e-09,1.278420e-10,2.645150e-01,4.222870e-18,6.412180e-02,4.083900e-02,4.069910e-01,6.522890e-02,1.580380e-01,2.833030e-11,1.000000e+00
0.001,3.050000e+03,3.168840e+00,2.218700e+01,2.496950e-04,6.138890e-09,7.463360e-11,1.708310e-01,2.100360e-18,8.086210e-02,5.321540e-02,5.276660e-01,6.026780e-02,1.069080e-01,1.236710e-11,1.000000e+00
0.001,3.075000e+03,9.373060e+00,2.677660e+01,1.758590e-04,2.870810e-09,1.996620e-11,6.218140e-02,3.896080e-19,1.015850e-01,6.903810e-02,6.811190e-01,4.170850e-02,4.419230e-02,2.017610e-12,1.000000e+00
