P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Si,SiO,SiO2,Si2,SiN,SiO2(a-qz),SiO2(b-qz),SiO2(b-crt),SiO2(L)
0.001,8.500000e+02,6.238800e-24,5.831300e-01,3.404530e-25,1.062860e-11,4.463630e-06,7.946230e-01,2.053730e-01,2.097190e-60,1.038810e-31,2.993850e-24,1.112990e-108,1.283170e-61,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,8.750000e+02,6.568330e-23,6.111620e-01,2.331370e-24,2.945980e-11,6.458750e-06,7.946220e-01,2.053720e-01,5.013880e-58,2.674420e-30,3.151990e-23,1.724360e-104,2.544770e-59,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.000000e+02,6.061660e-22,6.393320e-01,1.435310e-23,7.718750e-11,9.155930e-06,7.946200e-01,2.053700e-01,8.831850e-56,5.740050e-29,2.908850e-22,1.558730e-100,3.759080e-57,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.250000e+02,4.956330e-21,6.676390e-01,8.013070e-23,1.920430e-10,1.273710e-05,7.946190e-01,2.053690e-01,1.175000e-53,1.042350e-27,2.378430e-21,8.588550e-97,4.236100e-55,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.500000e+02,3.625110e-20,6.960810e-01,4.088060e-22,4.555670e-10,1.741410e-05,7.946160e-01,2.053660e-01,1.207150e-51,1.622820e-26,1.739610e-20,2.999660e-93,3.720400e-53,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.750000e+02,2.392250e-19,7.246540e-01,1.919130e-21,1.034180e-09,2.342990e-05,7.946130e-01,2.053630e-01,9.769440e-50,2.191970e-25,1.147980e-19,6.878300e-90,2.595910e-51,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.000000e+03,1.435390e-18,7.533560e-01,8.341850e-21,2.253990e-09,3.106000e-05,7.946090e-01,2.053600e-01,6.340740e-48,2.596260e-24,6.888100e-19,1.068750e-86,1.464070e-49,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.025000e+03,7.885830e-18,7.821870e-01,3.376230e-20,4.730560e-09,4.061310e-05,7.946050e-01,2.053550e-01,3.354230e-46,2.722670e-23,3.784200e-18,1.157810e-83,6.779220e-48,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.050000e+03,3.991860e-17,8.111430e-01,1.278850e-19,9.586160e-09,5.243100e-05,7.945990e-01,2.053490e-01,1.467500e-44,2.550110e-22,1.915580e-17,8.973820e-81,2.613730e-46,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.075000e+03,1.872580e-16,8.402220e-01,4.554400e-19,1.880200e-08,6.688910e-05,7.945920e-01,2.053420e-01,5.380910e-43,2.150170e-21,8.985860e-17,5.093950e-78,8.498830e-45,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.100000e+03,8.182790e-16,8.694200e-01,1.531390e-18,3.577300e-08,8.439510e-05,7.945830e-01,2.053330e-01,1.673640e-41,1.643830e-20,3.926570e-16,2.163260e-75,2.357870e-43,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
