Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
0.2,0.001,3.000000e+02,9.657790e-03,-3.763130e+00,1.502170e-114,9.271100e-37,2.810850e-74,1.294800e-78,1.406340e-03,2.038180e-70,4.904180e-10,1.668170e-01,1.271300e-132,7.795380e-93,1.060350e-41,1.855540e-132,6.383070e-170,2.429410e-78,1.502000e-171,2.546270e-24,4.875100e-05,1.778530e-01,6.538750e-01,5.845450e-45,2.238380e-109,5.830540e-112,2.693640e-80,2.617550e-42,8.437810e-35,1.000000e+00
0.2,0.001,3.250000e+02,1.049730e-02,-3.732710e+00,5.992150e-105,1.541800e-33,2.653220e-68,2.779920e-72,2.204330e-03,1.533450e-64,7.039740e-09,1.676750e-01,1.704390e-121,5.983570e-85,4.802170e-38,3.318940e-121,1.006670e-155,1.033810e-71,3.496050e-157,3.076010e-22,1.940940e-04,1.760990e-01,6.538270e-01,1.151490e-41,6.842350e-101,8.736250e-103,2.418910e-74,2.078220e-39,6.761910e-32,1.000000e+00
0.2,0.001,3.500000e+02,1.158460e-02,-3.700810e+00,1.023700e-96,8.924290e-31,3.530090e-63,7.465650e-67,3.174360e-03,1.675200e-59,6.939360e-08,1.688290e-01,5.975630e-112,3.453520e-78,6.524080e-35,1.479450e-111,1.511250e-143,5.003480e-66,7.347610e-145,1.871070e-20,6.342450e-04,1.736790e-01,6.536830e-01,7.589950e-39,1.287370e-93,6.452050e-95,3.092150e-69,6.133970e-37,2.088000e-29,1.000000e+00
0.2,0.001,3.750000e+02,1.295180e-02,-3.666730e+00,1.405130e-89,2.215870e-28,9.796040e-59,3.799220e-62,4.247940e-03,3.905680e-55,5.062480e-07,1.703740e-01,1.133040e-103,2.507680e-72,3.371030e-32,3.432750e-103,5.465930e-133,4.235910e-61,3.565190e-134,6.561810e-19,1.763430e-03,1.703010e-01,6.533140e-01,2.076000e-36,2.602670e-87,4.283290e-88,8.306130e-65,8.148560e-35,3.000030e-27,1.000000e+00
0.2,0.001,4.000000e+02,1.465550e-02,-3.629240e+00,2.484250e-83,2.757720e-26,7.609280e-55,5.002350e-58,5.303240e-03,2.594230e-51,2.892260e-06,1.724760e-01,2.003980e-96,3.366710e-67,7.897030e-30,7.205280e-96,9.560040e-124,8.643620e-57,8.078190e-125,1.466730e-17,4.276130e-03,1.654500e-01,6.524920e-01,2.760060e-34,8.585250e-82,4.011380e-82,6.279400e-61,5.582330e-33,2.307570e-25,1.000000e+00
0.2,0.001,4.250000e+02,1.677710e-02,-3.586500e+00,8.117240e-78,1.934790e-24,2.072600e-51,2.162210e-54,6.156320e-03,6.122270e-48,1.351660e-05,1.753720e-01,5.017060e-90,1.120250e-62,9.563450e-28,2.088200e-89,1.377910e-115,5.415770e-53,1.465210e-116,2.252400e-16,9.187680e-03,1.583880e-01,6.508820e-01,2.004020e-32,6.358030e-77,7.480200e-77,1.670600e-57,2.167430e-31,1.056030e-23,1.000000e+00
0.2,0.001,4.500000e+02,1.940580e-02,-3.536310e+00,6.491420e-73,8.371360e-23,2.359030e-48,3.691880e-51,6.584690e-03,6.095230e-45,5.346240e-05,1.793090e-01,2.459550e-84,1.158520e-58,6.608660e-26,1.161220e-83,2.477920e-108,1.253760e-49,3.235810e-109,2.514740e-15,1.764990e-02,1.483000e-01,6.481030e-01,8.657750e-31,1.354740e-72,3.631090e-72,1.860890e-54,5.081110e-30,3.116040e-22,1.000000e+00
0.2,0.001,4.750000e+02,2.260910e-02,-3.476860e+00,1.586080e-68,2.395200e-21,1.288270e-45,2.881970e-48,6.412590e-03,2.931870e-42,1.838040e-04,1.844080e-01,3.051090e-79,4.447490e-55,2.810850e-24,1.606800e-78,7.715090e-102,1.238340e-46,1.211830e-102,2.132090e-14,3.046260e-02,1.346620e-01,6.438710e-01,2.372330e-29,1.010200e-68,5.670100e-68,9.952200e-52,7.507260e-29,6.309890e-21,1.000000e+00
0.2,0.001,5.000000e+02,2.640110e-02,-3.407680e+00,1.414010e-64,4.792220e-20,3.766980e-43,1.156320e-45,5.633030e-03,7.596160e-40,5.606570e-04,1.904870e-01,1.175920e-74,7.306670e-52,7.818620e-23,6.811790e-74,5.405850e-96,5.855760e-44,1.003310e-96,1.421690e-13,4.742460e-02,1.176930e-01,6.382020e-01,4.335820e-28,3.084440e-65,3.374550e-64,2.849960e-49,7.234990e-28,9.219370e-20,1.000000e+00
0.2,0.001,5.250000e+02,3.072880e-02,-3.329920e+00,5.310650e-61,7.026160e-19,6.437820e-41,2.622450e-43,4.457360e-03,1.157960e-37,1.540890e-03,1.969180e-01,1.662770e-70,5.773300e-49,1.498590e-21,1.047120e-69,1.054130e-90,1.459980e-41,2.276470e-91,7.684580e-13,6.702180e-02,9.858740e-02,6.314740e-01,5.524460e-27,4.381380e-62,8.783480e-61,4.770340e-47,4.720000e-27,1.014080e-18,1.000000e+00
0.2,0.001,5.500000e+02,3.552050e-02,-3.245160e+00,9.451540e-58,7.864920e-18,6.899830e-39,3.634480e-41,3.207900e-03,1.116650e-35,3.859480e-03,2.026120e-01,9.884180e-67,2.420520e-46,2.076860e-20,6.700040e-66,6.806800e-86,2.088210e-39,1.687670e-86,3.461310e-12,8.689720e-02,7.920550e-02,6.242180e-01,5.122530e-26,3.215410e-59,1.119240e-57,5.009770e-45,2.183460e-26,8.719150e-18,1.000000e+00
0.2,0.001,5.750000e+02,4.083660e-02,-3.152550e+00,8.784870e-55,6.971970e-17,4.910120e-37,3.282540e-39,2.139410e-03,7.231360e-34,8.883490e-03,2.061020e-01,2.764290e-63,5.856250e-44,2.177340e-19,1.999940e-62,1.680420e-81,1.847130e-37,4.727630e-82,1.332570e-11,1.048380e-01,6.132690e-02,6.167100e-01,3.606500e-25,1.329100e-56,7.663310e-55,3.495390e-43,7.562660e-26,6.060690e-17,1.000000e+00
0.2,0.001,6.000000e+02,4.707760e-02,-3.045980e+00,4.624220e-52,5.054140e-16,2.430040e-35,2.037500e-37,1.351650e-03,3.304090e-32,1.889760e-02,2.055880e-01,3.995060e-60,8.783060e-42,1.798880e-18,3.062650e-59,1.787940e-77,1.079280e-35,5.649010e-78,4.484100e-11,1.194760e-01,4.603700e-02,6.086500e-01,2.004450e-24,3.322430e-54,3.045480e-52,1.695790e-41,2.072090e-25,3.506880e-16,1.000000e+00
0.2,0.001,6.250000e+02,5.513010e-02,-2.912750e+00,1.475650e-49,3.078840e-15,8.677380e-34,9.083460e-36,8.248190e-04,1.109650e-30,3.725340e-02,1.988860e-01,3.228700e-57,8.673900e-40,1.212720e-17,2.606250e-56,9.067370e-74,4.404860e-34,3.188020e-74,1.343380e-10,1.303090e-01,3.361920e-02,5.991070e-01,9.073830e-24,5.325610e-52,7.491170e-50,5.924560e-40,4.709500e-25,1.730590e-15,1.000000e+00
0.2,0.001,6.500000e+02,6.632680e-02,-2.735080e+00,3.024120e-47,1.611660e-14,2.298520e-32,3.017500e-34,4.928110e-04,2.834290e-29,6.797560e-02,1.835890e-01,1.559960e-54,5.932320e-38,6.861120e-17,1.318690e-53,2.386850e-70,1.314690e-32,9.262920e-71,3.635000e-10,1.373450e-01,2.383570e-02,5.867620e-01,3.416200e-23,5.746180e-50,1.203650e-47,1.528590e-38,9.204230e-25,7.425490e-15,1.000000e+00
0.2,0.001,6.750000e+02,8.205570e-02,-2.496480e+00,4.180330e-45,7.382860e-14,4.601870e-31,7.706510e-33,2.907130e-04,5.667800e-28,1.141400e-01,1.579390e-01,4.769950e-52,2.930840e-36,3.331230e-16,4.202540e-51,3.507020e-67,2.979180e-31,1.491360e-67,8.985230e-10,1.408260e-01,1.627360e-02,5.705310e-01,1.081000e-22,4.348710e-48,1.322520e-45,2.960780e-37,1.587250e-24,2.813650e-14,1.000000e+00
0.2,0.001,7.000000e+02,1.027590e-01,-2.195720e+00,4.065410e-43,3.006250e-13,7.039430e-30,1.555530e-31,1.705320e-04,9.104410e-27,1.745630e-01,1.227970e-01,9.692660e-50,1.084480e-34,1.414810e-15,8.863110e-49,3.061090e-64,5.293230e-30,1.417130e-64,2.050520e-09,1.412710e-01,1.056870e-02,5.506300e-01,2.885720e-22,2.395310e-46,1.034380e-43,4.350650e-36,2.468980e-24,9.549490e-14,1.000000e+00
0.2,0.001,7.250000e+02,1.264120e-01,-1.864490e+00,2.884350e-41,1.104320e-12,8.285860e-29,2.546620e-30,1.006130e-04,1.203610e-25,2.404900e-01,8.365610e-02,1.365210e-47,3.104740e-33,5.357820e-15,1.290860e-46,1.674860e-61,7.601270e-29,8.391590e-62,4.374680e-09,1.397010e-01,6.462730e-03,5.295890e-01,6.530830e-22,9.954970e-45,5.974120e-42,4.903670e-35,3.558480e-24,2.948800e-13,1.000000e+00
0.2,0.001,7.500000e+02,1.482420e-01,-1.564640e+00,1.540670e-39,3.713040e-12,7.606530e-28,3.465840e-29,6.069970e-05,1.340250e-24,2.977750e-01,4.933310e-02,1.382470e-45,7.085460e-32,1.845550e-14,1.347210e-44,6.018320e-59,9.088310e-28,3.246140e-59,8.854400e-09,1.375350e-01,3.727920e-03,5.115680e-01,1.274010e-21,3.234790e-43,2.635930e-40,4.330330e-34,4.912880e-24,8.429750e-13,1.000000e+00
0.2,0.001,7.750000e+02,1.639550e-01,-1.344930e+00,6.367950e-38,1.156760e-11,5.612280e-27,4.004760e-28,3.793070e-05,1.282240e-23,3.368420e-01,2.584770e-02,1.039040e-43,1.322440e-30,5.879170e-14,1.040510e-42,1.479110e-56,9.277060e-27,8.547220e-57,1.720840e-08,1.358620e-01,2.067710e-03,4.993420e-01,2.211050e-21,8.471020e-42,9.148810e-39,3.106230e-33,6.672800e-24,2.263340e-12,1.000000e+00
0.2,0.001,8.000000e+02,1.730930e-01,-1.205720e+00,2.086110e-36,3.366840e-11,3.470850e-26,3.991350e-27,2.458710e-05,1.069580e-22,3.587120e-01,1.270210e-02,5.959930e-42,2.059350e-29,1.748830e-13,6.117140e-41,2.576210e-54,8.224090e-26,1.587960e-54,3.228880e-08,1.349310e-01,1.133600e-03,4.924960e-01,3.539140e-21,1.825920e-40,2.555730e-37,1.887410e-32,8.993810e-24,5.750440e-12,1.000000e+00
0.2,0.001,8.250000e+02,1.777670e-01,-1.119390e+00,5.532000e-35,9.206530e-11,1.868850e-25,3.472910e-26,1.644190e-05,7.866080e-22,3.696320e-01,6.153450e-03,2.673740e-40,2.718460e-28,4.882360e-13,2.806090e-39,3.280870e-52,6.405760e-25,2.148530e-52,5.856820e-08,1.345050e-01,6.279030e-04,4.890660e-01,5.371310e-21,3.288660e-39,5.852840e-36,1.005430e-31,1.199850e-23,1.386830e-11,1.000000e+00
0.2,0.001,8.500000e+02,1.800420e-01,-1.060920e+00,1.209830e-33,2.376360e-10,8.994420e-25,2.666390e-25,1.127920e-05,5.150590e-21,3.748640e-01,3.026460e-03,9.586520e-39,3.084290e-27,1.284520e-12,1.026600e-37,3.140490e-50,4.427400e-24,2.177000e-50,1.027960e-07,1.343300e-01,3.555280e-04,4.874120e-01,7.858570e-21,5.015150e-38,1.116730e-34,4.805090e-31,1.578920e-23,3.182870e-11,1.000000e+00
0.2,0.001,8.750000e+02,1.811470e-01,-1.015850e+00,2.218300e-32,5.815870e-10,3.934790e-24,1.824410e-24,7.906980e-06,3.030370e-20,3.773780e-01,1.531120e-03,2.800210e-37,3.045570e-26,3.198240e-12,3.053970e-36,2.315340e-48,2.740800e-23,1.693280e-48,1.748610e-07,1.342650e-01,2.066980e-04,4.866110e-01,1.118460e-20,6.558230e-37,1.801790e-33,2.091200e-30,2.046700e-23,6.972650e-11,1.000000e+00
0.2,0.001,9.000000e+02,1.816960e-01,-9.770420e-01,3.460530e-31,1.355290e-09,1.582410e-23,1.122740e-23,5.650160e-06,1.615750e-19,3.786130e-01,8.002570e-04,6.778080e-36,2.647290e-25,7.567630e-12,7.515720e-35,1.343620e-46,1.533060e-22,1.033490e-46,2.888640e-07,1.342430e-01,1.234840e-04,4.862150e-01,1.556360e-20,7.442960e-36,2.491850e-32,8.373830e-30,2.613850e-23,1.462810e-10,1.000000e+00
0.2,0.001,9.250000e+02,1.819760e-01,-9.411650e-01,4.653410e-30,3.018860e-09,5.899020e-23,6.266760e-23,4.108180e-06,7.868340e-19,3.792380e-01,4.322850e-04,1.380430e-34,2.046470e-24,1.708500e-11,1.553790e-33,6.257480e-45,7.810670e-22,5.047880e-45,4.644040e-07,1.342380e-01,7.574220e-05,4.860120e-01,2.124120e-20,7.412840e-35,2.990460e-31,3.109680e-29,3.291540e-23,2.948470e-10,1.000000e+00
0.2,0.001,9.500000e+02,1.821240e-01,-9.066570e-01,5.457430e-29,6.450190e-09,2.052120e-22,3.196790e-22,3.035020e-06,3.524440e-18,3.795650e-01,2.410510e-04,2.397860e-33,1.420000e-23,3.693700e-11,2.735910e-32,2.379660e-43,3.651190e-21,2.008020e-43,7.280870e-07,1.342380e-01,4.763240e-05,4.859050e-01,2.849500e-20,6.544840e-34,3.148970e-30,1.077890e-28,4.091220e-23,5.727240e-10,1.000000e+00
0.2,0.001,9.750000e+02,1.822040e-01,-8.727730e-01,5.641030e-28,1.326170e-08,6.699400e-22,1.500640e-21,2.275510e-06,1.461410e-17,3.797410e-01,1.385070e-04,3.596180e-32,8.917840e-23,7.672620e-11,4.153950e-31,7.505620e-42,1.576380e-20,6.608860e-42,1.115260e-06,1.342400e-01,3.066290e-05,4.858460e-01,3.763520e-20,5.169750e-33,2.938690e-29,3.506700e-28,5.024440e-23,1.075090e-09,1.000000e+00
0.2,0.001,1.000000e+03,1.822500e-01,-8.391470e-01,5.187860e-27,2.631280e-08,2.062570e-21,6.522590e-21,1.729600e-06,5.641970e-17,3.798390e-01,8.185100e-05,4.708090e-31,5.106990e-22,1.535910e-10,5.499160e-30,1.991130e-40,6.323410e-20,1.825370e-40,1.671950e-06,1.342420e-01,2.017360e-05,4.858130e-01,4.900510e-20,3.683820e-32,2.452520e-28,1.075980e-27,6.102710e-23,1.955230e-09,1.000000e+00
0.2,0.001,1.025000e+03,1.822760e-01,-8.055980e-01,4.281400e-26,5.051270e-08,6.014720e-21,2.639870e-20,1.331550e-06,2.038610e-16,3.798950e-01,4.965210e-05,5.434350e-30,2.684970e-21,2.971030e-10,6.411530e-29,4.499360e-39,2.369420e-19,4.285510e-39,2.457010e-06,1.342440e-01,1.354460e-05,4.857940e-01,6.298050e-20,2.385860e-31,1.845360e-27,3.127250e-27,7.337390e-23,3.453090e-09,1.000000e+00
0.2,0.001,1.050000e+03,1.822930e-01,-7.720320e-01,3.195260e-25,9.404080e-08,1.667820e-20,9.999240e-20,1.037400e-06,6.926860e-16,3.799280e-01,3.086300e-05,5.580260e-29,1.303890e-20,5.567190e-10,6.643520e-28,8.760120e-38,8.333930e-19,8.652020e-38,3.544430e-06,1.342450e-01,9.267340e-06,4.857820e-01,7.996930e-20,1.414030e-30,1.261160e-26,8.643040e-27,8.739600e-23,5.934480e-09,1.000000e+00
0.2,0.001,1.075000e+03,1.823030e-01,-7.384020e-01,2.171660e-24,1.701530e-07,4.413040e-20,3.561040e-19,8.172800e-07,2.222790e-15,3.799480e-01,1.962470e-05,5.139310e-28,5.881280e-20,1.012800e-09,6.168510e-27,1.484870e-36,2.763700e-18,1.517970e-36,5.025800e-06,1.342460e-01,6.453510e-06,4.857740e-01,1.004100e-19,7.716510e-30,7.880980e-26,2.279500e-26,1.032020e-22,9.943700e-09,1.000000e+00
0.2,0.001,1.100000e+03,1.823100e-01,-7.046790e-01,1.352730e-23,2.997840e-07,1.117820e-19,1.197370e-18,6.506240e-07,6.762590e-15,3.799600e-01,1.274590e-05,4.276790e-27,2.476440e-19,1.792460e-09,5.170820e-26,2.212010e-35,8.675860e-18,2.336650e-35,7.012870e-06,1.342460e-01,4.568560e-06,4.857690e-01,1.247710e-19,3.899150e-29,4.530660e-25,5.755290e-26,1.208950e-22,1.627250e-08,1.000000e+00
