Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
1550,0.00101325,1.447860e-02,2.535990e+03,-1.469940e+06,1.297410e+00,1.138350e-04,4.905990e-05
1575,0.00101325,1.447690e-02,2.575660e+03,-1.406060e+06,1.292910e+00,1.120150e-04,4.961310e-05
1600,0.00101325,1.447480e-02,2.623420e+03,-1.341090e+06,1.287780e+00,1.102490e-04,5.016430e-05
1625,0.00101325,1.447220e-02,2.680750e+03,-1.274810e+06,1.282000e+00,1.085330e-04,5.071350e-05
1650,0.00101325,1.446880e-02,2.749320e+03,-1.206960e+06,1.275540e+00,1.068640e-04,5.126090e-05
1675,0.00101325,1.446470e-02,2.831020e+03,-1.137240e+06,1.268420e+00,1.052390e-04,5.180650e-05
1700,0.00101325,1.445960e-02,2.927930e+03,-1.065280e+06,1.260690e+00,1.036550e-04,5.235050e-05
1725,0.00101325,1.445330e-02,3.042410e+03,-9.906950e+05,1.252420e+00,1.021080e-04,5.289290e-05
1750,0.00101325,1.444570e-02,3.177000e+03,-9.129970e+05,1.243700e+00,1.005970e-04,5.343380e-05
1775,0.00101325,1.443650e-02,3.334530e+03,-8.316540e+05,1.234660e+00,9.911620e-05,5.397330e-05
1800,0.00101325,1.442530e-02,3.518070e+03,-7.460540e+05,1.225450e+00,9.766430e-05,5.451140e-05
1825,0.00101325,1.441200e-02,3.730920e+03,-6.555060e+05,1.216230e+00,9.623750e-05,5.504830e-05
1850,0.00101325,1.439620e-02,3.976640e+03,-5.592340e+05,1.207160e+00,9.483250e-05,5.558390e-05
1875,0.00101325,1.437740e-02,4.259030e+03,-4.563690e+05,1.198390e+00,9.344610e-05,5.611820e-05
1900,0.00101325,1.435530e-02,4.582110e+03,-3.459440e+05,1.190070e+00,9.207480e-05,5.665140e-05
1925,0.00101325,1.432940e-02,4.950090e+03,-2.268890e+05,1.182320e+00,9.071530e-05,5.718330e-05
1950,0.00101325,1.429930e-02,5.367370e+03,-9.802810e+04,1.175240e+00,8.936400e-05,5.771400e-05
1975,0.00101325,1.426440e-02,5.838460e+03,4.192790e+04,1.168910e+00,8.801740e-05,5.824340e-05
2000,0.00101325,1.422420e-02,6.367950e+03,1.943810e+05,1.163380e+00,8.667200e-05,5.877130e-05
2025,0.00101325,1.417800e-02,6.960460e+03,3.608500e+05,1.158690e+00,8.532420e-05,5.925700e-05
2050,0.00101325,1.412540e-02,7.620530e+03,5.429670e+05,1.154860e+00,8.397080e-05,5.974010e-05
2075,0.00101325,1.406560e-02,8.352570e+03,7.424770e+05,1.151890e+00,8.260820e-05,6.022030e-05
2100,0.00101325,1.399820e-02,9.160680e+03,9.612300e+05,1.149770e+00,8.123340e-05,6.069730e-05
2125,0.00101325,1.392240e-02,1.004860e+04,1.201180e+06,1.148500e+00,7.984330e-05,6.117040e-05
2150,0.00101325,1.383780e-02,1.101940e+04,1.464350e+06,1.148030e+00,7.843530e-05,6.163930e-05
2175,0.00101325,1.374380e-02,1.207570e+04,1.752860e+06,1.148350e+00,7.700720e-05,6.210300e-05
2200,0.00101325,1.364000e-02,1.321910e+04,2.068860e+06,1.149420e+00,7.555690e-05,6.256080e-05
2225,0.00101325,1.352590e-02,1.445010e+04,2.414550e+06,1.151200e+00,7.408320e-05,6.301160e-05
2250,0.00101325,1.340140e-02,1.576830e+04,2.792100e+06,1.153640e+00,7.258530e-05,6.345430e-05
2275,0.00101325,1.326610e-02,1.717200e+04,3.203670e+06,1.156710e+00,7.106300e-05,6.388780e-05
2300,0.00101325,1.312010e-02,1.865810e+04,3.651380e+06,1.160330e+00,6.951700e-05,6.431060e-05
2325,0.00101325,1.296340e-02,2.022250e+04,4.137230e+06,1.164460e+00,6.794840e-05,6.472170e-05
2350,0.00101325,1.279640e-02,2.185910e+04,4.663110e+06,1.169030e+00,6.635940e-05,6.512000e-05
2375,0.00101325,1.261940e-02,2.356000e+04,5.230730e+06,1.173970e+00,6.475250e-05,6.550450e-05
2400,0.00101325,1.243300e-02,2.531330e+04,5.841550e+06,1.179190e+00,6.313140e-05,6.587470e-05
2425,0.00101325,1.223790e-02,2.710010e+04,6.496670e+06,1.184610e+00,6.150020e-05,6.623080e-05
2450,0.00101325,1.203520e-02,2.888900e+04,7.196580e+06,1.190110e+00,5.986430e-05,6.657300e-05
2475,0.00101325,1.182610e-02,3.062840e+04,7.940720e+06,1.195520e+00,5.823000e-05,6.690220e-05
2500,0.00101325,1.161230e-02,3.223760e+04,8.726920e+06,1.200640e+00,5.660560e-05,6.721980e-05
2525,0.00101325,1.139600e-02,3.360360e+04,9.550580e+06,1.205190e+00,5.500150e-05,6.752670e-05
2550,0.00101325,1.118010e-02,3.458740e+04,1.040390e+07,1.208830e+00,5.343040e-05,6.782390e-05
2575,0.00101325,1.096780e-02,3.504810e+04,1.127560e+07,1.211250e+00,5.190690e-05,6.811180e-05
2600,0.00101325,1.076270e-02,3.488020e+04,1.215110e+07,1.212240e+00,5.044650e-05,6.839060e-05
2625,0.00101325,1.056830e-02,3.404970e+04,1.301400e+07,1.211780e+00,4.906350e-05,6.866030e-05
2650,0.00101325,1.038750e-02,3.260970e+04,1.384840e+07,1.210050e+00,4.776900e-05,6.892190e-05
2675,0.00101325,1.022220e-02,3.068600e+04,1.464050e+07,1.207460e+00,4.656950e-05,6.917690e-05
2700,0.00101325,1.007340e-02,2.844220e+04,1.538010e+07,1.204460e+00,4.546700e-05,6.942820e-05
2725,0.00101325,9.941300e-03,2.604100e+04,1.606130e+07,1.201530e+00,4.445890e-05,6.967900e-05
2750,0.00101325,9.825060e-03,2.361860e+04,1.668200e+07,1.199060e+00,4.353960e-05,6.993290e-05
2775,0.00101325,9.723610e-03,2.127420e+04,1.724290e+07,1.197350e+00,4.270180e-05,7.019310e-05
2800,0.00101325,9.635580e-03,1.907180e+04,1.774690e+07,1.196640e+00,4.193740e-05,7.046230e-05
2825,0.00101325,9.559520e-03,1.704740e+04,1.819800e+07,1.197070e+00,4.123820e-05,7.074240e-05
2850,0.00101325,9.494010e-03,1.521630e+04,1.860080e+07,1.198740e+00,4.059630e-05,7.103440e-05
2875,0.00101325,9.437720e-03,1.358040e+04,1.896040e+07,1.201700e+00,4.000470e-05,7.133890e-05
2900,0.00101325,9.389440e-03,1.213310e+04,1.928140e+07,1.205980e+00,3.945700e-05,7.165570e-05
2925,0.00101325,9.348070e-03,1.086230e+04,1.956850e+07,1.211580e+00,3.894740e-05,7.198440e-05
2950,0.00101325,9.312650e-03,9.753280e+03,1.982590e+07,1.218460e+00,3.847100e-05,7.232430e-05
2975,0.00101325,9.282320e-03,8.790320e+03,2.005740e+07,1.226580e+00,3.802350e-05,7.267460e-05
3000,0.00101325,9.256370e-03,7.957410e+03,2.026650e+07,1.235830e+00,3.760120e-05,7.303420e-05
3025,0.00101325,9.234140e-03,7.239210e+03,2.045620e+07,1.246110e+00,3.720080e-05,7.340210e-05
3050,0.00101325,9.215090e-03,6.621370e+03,2.062930e+07,1.257270e+00,3.681980e-05,7.377760e-05
3075,0.00101325,9.198750e-03,6.090800e+03,2.078800e+07,1.269160e+00,3.645570e-05,7.415960e-05
3100,0.00101325,9.184730e-03,5.635710e+03,2.093450e+07,1.281590e+00,3.610660e-05,7.454740e-05
3125,0.00101325,9.172680e-03,5.245660e+03,2.107040e+07,1.294370e+00,3.577080e-05,7.494020e-05
3150,0.00101325,9.162310e-03,4.911480e+03,2.119720e+07,1.307320e+00,3.544680e-05,7.533740e-05
3175,0.00101325,9.153380e-03,4.625180e+03,2.131630e+07,1.320240e+00,3.513340e-05,7.573850e-05
3200,0.00101325,9.145670e-03,4.379850e+03,2.142880e+07,1.332960e+00,3.482950e-05,7.614280e-05
