char_yield,x_C,x_H,x_O,k
0.1,0.2746444354050527,0.4990674928885301,0.2262880717064173,9.0
0.15,0.24885728970795523,0.516809861983042,0.23433284830900278,5.666666666666667
0.2,0.2211690379424878,0.5358602519787052,0.24297071007880694,4.0
0.25,0.19136140111610234,0.5563688457029199,0.25226975318097794,3.0
0.3,0.15918135429060362,0.5785097322889425,0.26230891342045404,2.3333333333333335
