Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
1.0,0.001,6.000000e+02,0.000000e+00,-4.182300e+00,4.624220e-52,1.002970e-15,1.743680e-35,1.329220e-37,2.096150e-02,2.155510e-32,1.356010e-02,1.058540e-01,3.995060e-60,1.742950e-41,7.084050e-18,3.062650e-59,1.787940e-77,4.250220e-35,5.649010e-78,5.805140e-11,4.704980e-01,1.300890e-01,2.590380e-01,1.124000e-23,1.414010e-54,1.986800e-52,5.178700e-42,1.265450e-23,4.540020e-16,1.000000e+00
1.0,0.001,6.250000e+02,0.000000e+00,-3.866240e+00,1.475650e-49,6.043870e-15,6.459740e-34,5.881880e-36,1.224820e-02,7.185400e-31,2.773270e-02,1.102190e-01,3.228700e-57,1.702720e-39,4.673230e-17,2.606250e-56,9.067370e-74,1.697420e-33,3.188020e-74,1.707620e-10,5.021490e-01,9.644300e-02,2.512080e-01,5.109770e-23,2.233050e-52,4.850810e-50,1.849320e-40,2.694910e-23,2.199820e-15,1.000000e+00
1.0,0.001,6.500000e+02,0.000000e+00,-3.504580e+00,3.024120e-47,3.140340e-14,1.753010e-32,1.945020e-34,7.103830e-03,1.826920e-29,5.184290e-02,1.067870e-01,1.559960e-54,1.155920e-37,2.604960e-16,1.318690e-53,2.386850e-70,4.991480e-32,9.262920e-71,4.565440e-10,5.214580e-01,6.901920e-02,2.437890e-01,1.927470e-22,2.387430e-50,7.758460e-48,4.843720e-39,5.037390e-23,9.326190e-15,1.000000e+00
1.0,0.001,6.750000e+02,0.000000e+00,-3.078550e+00,4.180330e-45,1.432380e-13,3.554290e-31,4.957630e-33,4.119040e-03,3.646120e-28,8.815650e-02,9.421650e-02,4.769950e-52,5.686230e-36,1.253920e-15,4.202540e-51,3.507020e-67,1.121400e-30,1.491360e-67,1.121450e-09,5.300870e-01,4.731160e-02,2.361090e-01,6.097370e-22,1.799670e-48,8.507830e-46,9.463620e-38,8.465300e-23,3.511710e-14,1.000000e+00
1.0,0.001,7.000000e+02,0.000000e+00,-2.595400e+00,4.065410e-43,5.823950e-13,5.447710e-30,1.001110e-31,2.402020e-03,5.859440e-27,1.350920e-01,7.354260e-02,9.692660e-50,2.100940e-34,5.309870e-15,8.863110e-49,3.061090e-64,1.986580e-29,1.417130e-64,2.556590e-09,5.301970e-01,3.069600e-02,2.280700e-01,1.623710e-21,9.921350e-47,6.657120e-44,1.394570e-36,1.305180e-22,1.190630e-13,1.000000e+00
1.0,0.001,7.250000e+02,0.000000e+00,-2.109560e+00,2.884350e-41,2.141210e-12,6.368910e-29,1.642940e-30,1.422030e-03,7.765010e-26,1.848520e-01,4.942560e-02,1.365210e-47,6.019890e-33,2.014260e-14,1.290860e-46,1.674860e-61,2.857680e-28,8.391590e-62,5.472260e-09,5.252040e-01,1.867550e-02,2.204200e-01,3.659210e-21,4.143370e-45,3.854170e-42,1.568780e-35,1.890810e-22,3.688630e-13,1.000000e+00
1.0,0.001,7.500000e+02,0.000000e+00,-1.702570e+00,1.540670e-39,7.214490e-12,5.781890e-28,2.243460e-29,8.651470e-04,8.675510e-25,2.263450e-01,2.850400e-02,1.382470e-45,1.376710e-31,6.967500e-14,1.347210e-44,6.018320e-59,3.431110e-27,3.246140e-59,1.113640e-08,5.192380e-01,1.069800e-02,2.143500e-01,7.103680e-21,1.355400e-43,1.706260e-40,1.379190e-34,2.643570e-22,1.060230e-12,1.000000e+00
1.0,0.001,7.750000e+02,0.000000e+00,-1.418510e+00,6.367950e-38,2.252080e-11,4.223770e-27,2.599800e-28,5.449580e-04,8.324000e-24,2.535060e-01,1.464010e-02,1.039040e-43,2.574650e-30,2.228450e-13,1.040510e-42,1.479110e-56,3.516380e-26,8.547220e-57,2.174940e-08,5.149740e-01,5.898440e-03,2.104370e-01,1.227970e-20,3.569930e-42,5.939180e-39,9.851900e-34,3.633850e-22,2.860590e-12,1.000000e+00
1.0,0.001,8.000000e+02,0.000000e+00,-1.238940e+00,2.086110e-36,6.563030e-11,2.596120e-26,2.595710e-27,3.550040e-04,6.955880e-23,2.683090e-01,7.106480e-03,5.959930e-42,4.014310e-29,6.645240e-13,6.117140e-41,2.576210e-54,3.125010e-25,1.587960e-54,4.093270e-08,5.127140e-01,3.221900e-03,2.082940e-01,1.960790e-20,7.722470e-41,1.662080e-37,5.970740e-33,4.934380e-22,7.289860e-12,1.000000e+00
1.0,0.001,8.250000e+02,0.000000e+00,-1.122760e+00,5.532000e-35,1.795720e-10,1.393620e-25,2.260580e-26,2.379700e-04,5.120170e-22,2.756370e-01,3.421800e-03,2.673740e-40,5.302310e-28,1.857440e-12,2.806090e-39,3.280870e-52,2.437000e-24,2.148530e-52,7.435840e-08,5.117080e-01,1.781330e-03,2.072140e-01,2.972180e-20,1.393380e-39,3.809720e-36,3.176650e-32,6.606670e-22,1.760730e-11,1.000000e+00
1.0,0.001,8.500000e+02,0.000000e+00,-1.039060e+00,1.209830e-33,4.636230e-10,6.698210e-25,1.736300e-25,1.634140e-04,3.353960e-21,2.791640e-01,1.678440e-03,9.586520e-39,6.017400e-27,4.889320e-12,1.026600e-37,3.140490e-50,1.685220e-23,2.177000e-50,1.305960e-07,5.113060e-01,1.007780e-03,2.066800e-01,4.346000e-20,2.126600e-38,7.271940e-35,1.517360e-31,8.707230e-22,4.043650e-11,1.000000e+00
1.0,0.001,8.750000e+02,0.000000e+00,-9.709810e-01,2.218300e-32,1.134780e-09,2.928630e-24,1.188220e-24,1.146050e-04,1.973650e-20,2.808790e-01,8.481950e-04,2.800210e-37,5.942470e-26,1.217600e-11,3.053970e-36,2.315340e-48,1.043450e-22,1.693280e-48,2.222120e-07,5.111610e-01,5.856990e-04,2.064110e-01,6.183790e-20,2.781880e-37,1.173490e-33,6.602200e-31,1.129380e-21,8.860770e-11,1.000000e+00
1.0,0.001,9.000000e+02,0.000000e+00,-9.103300e-01,3.460530e-31,2.644520e-09,1.177510e-23,7.312840e-24,8.190690e-05,1.052400e-19,2.817350e-01,4.431180e-04,6.778080e-36,5.165540e-25,2.881310e-11,7.515720e-35,1.343620e-46,5.836990e-22,1.033490e-46,3.671260e-07,5.111180e-01,3.498520e-04,2.062720e-01,8.603980e-20,3.157610e-36,1.623040e-32,2.643520e-30,1.442680e-21,1.859130e-10,1.000000e+00
