Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
0.2,177.828,3.625000e+03,1.287940e-01,4.211050e+00,3.866520e-05,1.385170e-02,2.123450e-07,2.067120e-05,2.817150e-05,3.514580e-03,3.274690e-01,8.564770e-06,4.714100e-05,1.397070e-03,1.567950e-02,4.171790e-04,9.665950e-06,1.801150e-03,1.905060e-05,8.632260e-02,5.644710e-02,1.248520e-05,4.925940e-01,1.718980e-09,4.909820e-08,4.320650e-05,1.427240e-08,3.403290e-11,2.350170e-05,4.956710e-05,8.679460e-05,7.592500e-06,9.835150e-10,3.823350e-07,1.081230e-04,8.633670e-15,2.218030e-15,1.795520e-11,1.610250e-06,1.000000e+00
0.2,177.828,3.650000e+03,1.309360e-01,4.282430e+00,4.542160e-05,1.440170e-02,2.319240e-07,2.304890e-05,2.628330e-05,3.867930e-03,3.272560e-01,8.293570e-06,5.660520e-05,1.561420e-03,1.602140e-02,4.985490e-04,1.222910e-05,1.931470e-03,2.405820e-05,8.751520e-02,5.493700e-02,1.182100e-05,4.914650e-01,1.684580e-09,5.660000e-08,5.023150e-05,1.549950e-08,3.183070e-11,2.648930e-05,5.247470e-05,8.578720e-05,7.245560e-06,8.866570e-10,4.034180e-07,1.113250e-04,8.381930e-15,2.055550e-15,1.905620e-11,1.648720e-06,1.000000e+00
0.2,177.828,3.675000e+03,1.331290e-01,4.355200e+00,5.324020e-05,1.495900e-02,2.530060e-07,2.566160e-05,2.450300e-05,4.251070e-03,3.270280e-01,8.034260e-06,6.779600e-05,1.741580e-03,1.635080e-02,5.942800e-04,1.542120e-05,2.067230e-03,3.028150e-05,8.866290e-02,5.343880e-02,1.119050e-05,4.903180e-01,1.649020e-09,6.511610e-08,5.827330e-05,1.681110e-08,2.971690e-11,2.979400e-05,5.545720e-05,8.468800e-05,6.906270e-06,7.983140e-10,4.247510e-07,1.144140e-04,8.122250e-15,1.901750e-15,2.020840e-11,1.686800e-06,1.000000e+00
0.2,177.828,3.700000e+03,1.353790e-01,4.429490e+00,6.226900e-05,1.552300e-02,2.756790e-07,2.852830e-05,2.282550e-05,4.665960e-03,3.267830e-01,7.786100e-06,8.099600e-05,1.938680e-03,1.666670e-02,7.066360e-04,1.938410e-05,2.208310e-03,3.799080e-05,8.976390e-02,5.195380e-02,1.059170e-05,4.891500e-01,1.612390e-09,7.476470e-08,6.746000e-05,1.821140e-08,2.769270e-11,3.344170e-05,5.850960e-05,8.350110e-05,6.575050e-06,7.178400e-10,4.462650e-07,1.173780e-04,7.855810e-15,1.756450e-15,2.141310e-11,1.724420e-06,1.000000e+00
0.2,177.828,3.725000e+03,1.376950e-01,4.505490e+00,7.267390e-05,1.609300e-02,3.000370e-07,3.166920e-05,2.124620e-05,5.114670e-03,3.265200e-01,7.548400e-06,9.652880e-05,2.153870e-03,1.696840e-02,8.381920e-04,2.428860e-05,2.354590e-03,4.751120e-05,9.081630e-02,5.048280e-02,1.002310e-05,4.879590e-01,1.574800e-09,8.567530e-08,7.793340e-05,1.970420e-08,2.575920e-11,3.745990e-05,6.162630e-05,8.223100e-05,6.252250e-06,6.446300e-10,4.678850e-07,1.202060e-04,7.583780e-15,1.619450e-15,2.267160e-11,1.761510e-06,1.000000e+00
0.2,177.828,3.750000e+03,1.400850e-01,4.583370e+00,8.464050e-05,1.666830e-02,3.261740e-07,3.510600e-05,1.976040e-05,5.599370e-03,3.262360e-01,7.320500e-06,1.147640e-04,2.388360e-03,1.725500e-02,9.918730e-04,3.034020e-05,2.505900e-03,5.923190e-05,9.181850e-02,4.902690e-02,9.483010e-06,4.867400e-01,1.536330e-09,9.798910e-08,8.984980e-05,2.129370e-08,2.391650e-11,4.187710e-05,6.480110e-05,8.088200e-05,5.938170e-06,5.781150e-10,4.895320e-07,1.228840e-04,7.307310e-15,1.490540e-15,2.398500e-11,1.798010e-06,1.000000e+00
0.2,177.828,3.775000e+03,1.425600e-01,4.663330e+00,9.837590e-05,1.724830e-02,3.541870e-07,3.886130e-05,1.836350e-05,6.122270e-03,3.259300e-01,7.101790e-06,1.361230e-04,2.643360e-03,1.752560e-02,1.170990e-03,3.778480e-05,2.662030e-03,7.361840e-05,9.276850e-02,4.758690e-02,8.969980e-06,4.854910e-01,1.497090e-09,1.118610e-07,1.033820e-04,2.298370e-08,2.216450e-11,4.672320e-05,6.802760e-05,7.945880e-05,5.633060e-06,5.177620e-10,5.111250e-07,1.254020e-04,7.027530e-15,1.369480e-15,2.535420e-11,1.833850e-06,1.000000e+00
0.2,177.828,3.800000e+03,1.451330e-01,4.745620e+00,1.141110e-04,1.783210e-02,3.841790e-07,4.295890e-05,1.705110e-05,6.685720e-03,3.255990e-01,6.891710e-06,1.610840e-04,2.920150e-03,1.777960e-02,1.379300e-03,4.691670e-05,2.822750e-03,9.122510e-05,9.366450e-02,4.616370e-02,8.482610e-06,4.842080e-01,1.457160e-09,1.274570e-07,1.187180e-04,2.477810e-08,2.050260e-11,5.202930e-05,7.129840e-05,7.796610e-05,5.337130e-06,4.630700e-10,5.325800e-07,1.277490e-04,6.745510e-15,1.256000e-15,2.678040e-11,1.868960e-06,1.000000e+00
0.2,177.828,3.825000e+03,1.478160e-01,4.830490e+00,1.321030e-04,1.841890e-02,4.162510e-07,4.742430e-05,1.581910e-05,7.292110e-03,3.252420e-01,6.689680e-06,1.901920e-04,3.220020e-03,1.801610e-02,1.621030e-03,5.808620e-05,2.987790e-03,1.127100e-04,9.450460e-02,4.475810e-02,8.019540e-06,4.828860e-01,1.416630e-09,1.449610e-07,1.360670e-04,2.668070e-08,1.892960e-11,5.782760e-05,7.460590e-05,7.640850e-05,5.050540e-06,4.135750e-10,5.538080e-07,1.299130e-04,6.462290e-15,1.149830e-15,2.826410e-11,1.903260e-06,1.000000e+00
0.2,177.828,3.850000e+03,1.506260e-01,4.918220e+00,1.526370e-04,1.900810e-02,4.505080e-07,5.228390e-05,1.466330e-05,7.943940e-03,3.248540e-01,6.495210e-06,2.240610e-04,3.544250e-03,1.823450e-02,1.900940e-03,7.170980e-05,3.156850e-03,1.388550e-04,9.528700e-02,4.337060e-02,7.579510e-06,4.815190e-01,1.375600e-09,1.645680e-07,1.556540e-04,2.869500e-08,1.744400e-11,6.415140e-05,7.794190e-05,7.479070e-05,4.773410e-06,3.688410e-10,5.747180e-07,1.318860e-04,6.178870e-15,1.050700e-15,2.980590e-11,1.936670e-06,1.000000e+00
