Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
0.1,0.001,3.000000e+02,0.000000e+00,-2.926790e+00,1.502170e-114,6.422190e-37,2.831850e-74,1.381480e-78,3.238160e-04,2.174630e-70,4.940810e-10,1.693180e-01,1.271300e-132,5.399950e-93,5.088060e-42,1.855540e-132,6.383070e-170,1.165750e-78,1.502000e-171,1.881910e-24,2.339310e-05,8.598020e-02,7.443540e-01,1.957520e-45,2.548120e-109,6.220870e-112,3.089270e-80,2.892060e-43,1.056870e-99,2.704300e-70,4.113260e-35,6.345020e-25,4.008230e-15,1.484570e-85,8.722140e-65,1.826770e-69,3.207120e-51,3.652360e-70,2.003750e-43,1.000000e+00
0.1,0.001,3.250000e+02,0.000000e+00,-2.900150e+00,5.992150e-105,1.071520e-33,2.667920e-68,2.966080e-72,5.142340e-04,1.636140e-64,7.078730e-09,1.695380e-01,1.704390e-121,4.158450e-85,2.319420e-38,3.318940e-121,1.006670e-155,4.993250e-72,3.496050e-157,2.280920e-22,9.374630e-05,8.552600e-02,7.443280e-01,3.886610e-42,7.789440e-101,9.321280e-103,2.768970e-74,2.341630e-40,2.124440e-91,1.830860e-64,3.021150e-32,5.074050e-23,1.901020e-14,1.258350e-78,1.939120e-59,1.084320e-64,4.468200e-48,6.817310e-65,5.472690e-40,1.000000e+00
0.1,0.001,3.500000e+02,0.000000e+00,-2.872890e+00,1.023700e-96,6.227260e-31,3.540910e-63,7.966040e-67,7.525760e-04,1.787480e-59,6.960630e-08,1.698650e-01,5.975630e-112,2.409820e-78,3.176630e-35,1.479450e-111,1.511250e-143,2.436240e-66,7.347610e-145,1.393120e-20,3.088190e-04,8.482490e-02,7.442480e-01,2.586650e-39,1.465730e-93,6.884510e-95,3.531350e-69,7.080810e-38,2.794520e-84,1.821670e-59,8.596730e-30,2.135230e-21,7.032360e-14,1.084020e-72,7.420620e-55,1.311120e-60,2.163160e-45,2.250020e-60,4.837000e-37,1.000000e+00
0.1,0.001,3.750000e+02,0.000000e+00,-2.844640e+00,1.405130e-89,1.553430e-28,9.795950e-59,4.054450e-62,1.026040e-03,4.168060e-55,5.062440e-07,1.703700e-01,1.133040e-103,1.757990e-72,1.656740e-32,3.432750e-103,5.465930e-133,2.081800e-61,3.565190e-134,4.909160e-19,8.666630e-04,8.369590e-02,7.440400e-01,7.152580e-37,2.964100e-87,4.571040e-88,9.459530e-65,9.672930e-36,4.139730e-78,3.894670e-55,1.140230e-27,5.348280e-20,2.116480e-13,1.492200e-67,6.914850e-51,4.416220e-57,4.466360e-43,1.857760e-56,1.730810e-34,1.000000e+00
0.1,0.001,4.000000e+02,0.000000e+00,-2.814690e+00,2.484250e-83,1.943030e-26,7.580450e-55,5.340080e-58,1.306950e-03,2.769380e-51,2.881300e-06,1.711720e-01,2.003980e-96,2.372110e-67,3.920330e-30,7.205280e-96,9.560040e-124,4.290960e-57,8.078190e-125,1.103200e-17,2.122810e-03,8.182340e-02,7.435720e-01,9.617430e-35,9.783650e-82,4.282200e-82,7.128830e-61,6.829560e-34,1.036460e-72,2.372980e-51,8.066910e-26,8.699540e-19,5.306450e-13,4.590910e-63,2.027350e-47,5.205210e-54,4.549730e-41,4.979980e-53,2.962960e-32,1.000000e+00
0.1,0.001,4.250000e+02,4.852450e-04,-2.782000e+00,8.117240e-78,1.370030e-24,2.055190e-51,2.309600e-54,1.547760e-03,6.539600e-48,1.340300e-05,1.724390e-01,5.017060e-90,7.932510e-63,4.795200e-28,2.088200e-89,1.377910e-115,2.715510e-53,1.465210e-116,1.703650e-16,4.606780e-03,7.874980e-02,7.426440e-01,7.055470e-33,7.254380e-77,7.990100e-77,1.890110e-57,2.732250e-32,5.972360e-68,5.095670e-48,3.357000e-24,9.752150e-18,1.116430e-12,4.058700e-59,2.262950e-44,2.533170e-51,2.528600e-39,5.292540e-50,2.752910e-30,1.000000e+00
0.1,0.001,4.500000e+02,1.579550e-03,-2.745320e+00,6.491420e-73,5.953730e-23,2.326170e-48,3.947670e-51,1.684640e-03,6.517530e-45,5.271760e-05,1.743480e-01,2.459550e-84,8.239390e-59,3.342710e-26,1.161220e-83,2.477920e-108,6.341600e-50,3.235810e-109,1.912400e-15,8.927450e-03,7.396650e-02,7.410210e-01,3.071080e-31,1.548970e-72,3.882670e-72,2.098040e-54,6.575290e-31,1.005210e-63,4.532190e-45,8.815950e-23,7.829690e-17,1.959380e-12,1.246490e-55,1.109000e-41,5.733570e-49,8.195600e-38,2.605470e-47,1.528590e-28,1.000000e+00
0.1,0.001,4.750000e+02,3.063370e-03,-2.703590e+00,1.586080e-68,1.708790e-21,1.262070e-45,3.086540e-48,1.661210e-03,3.139990e-42,1.800660e-04,1.769830e-01,3.051090e-79,3.172950e-55,1.430650e-24,1.606800e-78,7.715090e-102,6.302820e-47,1.211830e-102,1.629060e-14,1.550470e-02,6.714560e-02,7.385260e-01,8.439060e-30,1.158710e-68,6.072600e-68,1.118310e-51,9.898470e-30,5.957330e-60,1.891660e-42,1.538390e-21,4.616530e-16,2.832380e-12,1.538690e-52,2.659910e-39,6.584360e-47,1.619330e-36,6.715480e-45,5.465190e-27,1.000000e+00
0.1,0.001,5.000000e+02,4.942170e-03,-2.656480e+00,1.414010e-64,3.423960e-20,3.663780e-43,1.241040e-45,1.467940e-03,8.152730e-40,5.452980e-04,1.801930e-01,1.175920e-74,5.220480e-52,3.991280e-23,6.811790e-74,5.405850e-96,2.989270e-44,1.003310e-96,1.090200e-13,2.420950e-02,5.843430e-02,7.351500e-01,1.538090e-28,3.552990e-65,3.621800e-64,3.192960e-49,9.624650e-29,1.443950e-56,4.095730e-40,1.859750e-20,2.040560e-15,3.340880e-12,8.583010e-50,3.407350e-37,4.112810e-45,2.021040e-35,9.982100e-43,1.334850e-25,1.000000e+00
0.1,0.001,5.250000e+02,7.165510e-03,-2.604310e+00,5.310650e-61,5.019710e-19,6.214450e-41,2.821700e-43,1.161240e-03,1.245940e-37,1.487430e-03,1.834900e-01,1.662770e-70,4.124630e-49,7.649000e-22,1.047120e-69,1.054130e-90,7.451940e-42,2.276470e-91,5.907250e-13,3.420880e-02,4.857440e-02,7.310780e-01,1.944630e-27,5.072460e-62,9.450840e-61,5.331150e-47,6.276360e-28,1.619090e-53,5.008700e-38,1.620580e-19,6.929230e-15,3.228900e-12,2.392810e-47,2.516900e-35,1.491290e-43,1.657460e-34,9.235120e-41,2.338880e-24,1.000000e+00
