Tw_K,P_atm,M[kg/kmol],Cp[kJ/kg-K],h[kJ/kg],gamma[-],rho[kg/m3],mu[millipoise]
3350,0.0316228,6.599820e+00,3.404650e+01,3.855670e+04,1.236530e+00,7.592230e-04,7.055460e-01
3375,0.0316228,6.535090e+00,3.275150e+01,3.939150e+04,1.233760e+00,7.462070e-04,7.061570e-01
3400,0.0316228,6.474810e+00,3.151750e+01,4.019480e+04,1.231080e+00,7.338890e-04,7.069000e-01
3425,0.0316228,6.418650e+00,3.035600e+01,4.096800e+04,1.228550e+00,7.222130e-04,7.077830e-01
3450,0.0316228,6.366260e+00,2.927430e+01,4.171320e+04,1.226170e+00,7.111270e-04,7.088120e-01
3475,0.0316228,6.317300e+00,2.827560e+01,4.243240e+04,1.223960e+00,7.005820e-04,7.099870e-01
3500,0.0316228,6.271450e+00,2.735900e+01,4.312770e+04,1.221940e+00,6.905290e-04,7.113100e-01
3525,0.0316228,6.228430e+00,2.652010e+01,4.380100e+04,1.220120e+00,6.809280e-04,7.127800e-01
3550,0.0316228,6.187950e+00,2.575140e+01,4.445430e+04,1.218510e+00,6.717390e-04,7.143930e-01
3575,0.0316228,6.149790e+00,2.504260e+01,4.508910e+04,1.217110e+00,6.629280e-04,7.161480e-01
3600,0.0316228,6.113730e+00,2.438120e+01,4.570680e+04,1.215940e+00,6.544640e-04,7.180410e-01
3625,0.0316228,6.079600e+00,2.375330e+01,4.630840e+04,1.215020e+00,6.463220e-04,7.200680e-01
3650,0.0316228,6.047250e+00,2.314370e+01,4.689460e+04,1.214360e+00,6.384790e-04,7.222240e-01
3675,0.0316228,6.016560e+00,2.253730e+01,4.746570e+04,1.213980e+00,6.309180e-04,7.245060e-01
3700,0.0316228,5.987460e+00,2.191920e+01,4.802140e+04,1.213910e+00,6.236240e-04,7.269100e-01
3725,0.0316228,5.959880e+00,2.127630e+01,4.856140e+04,1.214180e+00,6.165850e-04,7.294320e-01
3750,0.0316228,5.933780e+00,2.059740e+01,4.908490e+04,1.214830e+00,6.097930e-04,7.320670e-01
3775,0.0316228,5.909150e+00,1.987460e+01,4.959090e+04,1.215890e+00,6.032400e-04,7.348100e-01
3800,0.0316228,5.885990e+00,1.910410e+01,5.007820e+04,1.217430e+00,5.969220e-04,7.376570e-01
3825,0.0316228,5.864290e+00,1.828600e+01,5.054570e+04,1.219510e+00,5.908350e-04,7.406010e-01
3850,0.0316228,5.844070e+00,1.742520e+01,5.099220e+04,1.222180e+00,5.849740e-04,7.436380e-01
3875,0.0316228,5.825310e+00,1.653070e+01,5.141670e+04,1.225540e+00,5.793340e-04,7.467580e-01
3900,0.0316228,5.808010e+00,1.561490e+01,5.181850e+04,1.229660e+00,5.739110e-04,7.499570e-01
3925,0.0316228,5.792140e+00,1.469250e+01,5.219740e+04,1.234610e+00,5.686980e-04,7.532250e-01
3950,0.0316228,5.777670e+00,1.377920e+01,5.255320e+04,1.240450e+00,5.636870e-04,7.565560e-01
3975,0.0316228,5.764540e+00,1.289000e+01,5.288650e+04,1.247220e+00,5.588690e-04,7.599410e-01
4000,0.0316228,5.752690e+00,1.203850e+01,5.319810e+04,1.254950e+00,5.542340e-04,7.633720e-01
200,0.0562341,2.199600e+01,1.511860e+00,-7.246370e+03,1.333370e+00,7.536950e-02,9.196210e-02
225,0.0562341,2.199600e+01,1.533560e+00,-7.208310e+03,1.327110e+00,6.699510e-02,1.024210e-01
250,0.0562341,2.199600e+01,1.559720e+00,-7.169660e+03,1.319880e+00,6.029560e-02,1.127750e-01
275,0.0562341,2.199600e+01,1.592460e+00,-7.130270e+03,1.311280e+00,5.481410e-02,1.230010e-01
300,0.0562341,2.199580e+01,1.632440e+00,-7.089970e+03,1.301470e+00,5.024580e-02,1.330740e-01
325,0.0562341,2.199520e+01,1.680640e+00,-7.048580e+03,1.290620e+00,4.637950e-02,1.432650e-01
350,0.0562341,2.199350e+01,1.739570e+00,-7.005850e+03,1.278800e+00,4.306340e-02,1.533210e-01
375,0.0562341,2.198950e+01,1.814160e+00,-6.961470e+03,1.265930e+00,4.018510e-02,1.632220e-01
400,0.0562341,2.198080e+01,1.912380e+00,-6.914950e+03,1.251930e+00,3.765870e-02,1.729470e-01
425,0.0562341,2.196380e+01,2.045470e+00,-6.865560e+03,1.236890e+00,3.541600e-02,1.824640e-01
450,0.0562341,2.193310e+01,2.227580e+00,-6.812270e+03,1.221270e+00,3.340180e-02,1.917300e-01
475,0.0562341,2.188180e+01,2.474870e+00,-6.753640e+03,1.205910e+00,3.156980e-02,2.006880e-01
500,0.0562341,2.180130e+01,2.804620e+00,-6.687840e+03,1.191740e+00,2.988100e-02,2.092660e-01
525,0.0562341,2.168240e+01,3.237120e+00,-6.612550e+03,1.179400e+00,2.830280e-02,2.171010e-01
550,0.0562341,2.151540e+01,3.806530e+00,-6.524850e+03,1.168870e+00,2.680820e-02,2.243810e-01
575,0.0562341,2.128960e+01,4.590560e+00,-6.420470e+03,1.159610e+00,2.537360e-02,2.310870e-01
600,0.0562341,2.098860e+01,5.759060e+00,-6.292150e+03,1.151670e+00,2.397250e-02,2.372790e-01
625,0.0562341,2.058260e+01,7.591170e+00,-6.126980e+03,1.147340e+00,2.256850e-02,2.429190e-01
650,0.0562341,2.002630e+01,1.034890e+01,-5.904800e+03,1.150570e+00,2.111390e-02,2.483520e-01
675,0.0562341,1.927690e+01,1.402330e+01,-5.601780e+03,1.163220e+00,1.957110e-02,2.538250e-01
700,0.0562341,1.832900e+01,1.817490e+01,-5.199520e+03,1.182870e+00,1.794410e-02,2.597310e-01
725,0.0562341,1.723960e+01,2.185340e+01,-4.696800e+03,1.203470e+00,1.629560e-02,2.666530e-01
750,0.0562341,1.612950e+01,2.352640e+01,-4.123490e+03,1.216490e+00,1.473810e-02,2.750750e-01
775,0.0562341,1.515590e+01,2.156620e+01,-3.551190e+03,1.214120e+00,1.340170e-02,2.847970e-01
800,0.0562341,1.445200e+01,1.598090e+01,-3.076420e+03,1.198000e+00,1.238000e-02,2.946540e-01
825,0.0562341,1.405070e+01,9.750770e+00,-2.757520e+03,1.186770e+00,1.167150e-02,3.033940e-01
850,0.0562341,1.386850e+01,5.789540e+00,-2.568880e+03,1.198390e+00,1.118130e-02,3.108330e-01
875,0.0562341,1.379660e+01,4.032090e+00,-2.449470e+03,1.223070e+00,1.080550e-02,3.174910e-01
900,0.0562341,1.376930e+01,3.374240e+00,-2.358290e+03,1.240780e+00,1.048460e-02,3.237920e-01
925,0.0562341,1.375850e+01,3.159350e+00,-2.277190e+03,1.247280e+00,1.019320e-02,3.299270e-01
950,0.0562341,1.375260e+01,3.189140e+00,-2.198390e+03,1.243900e+00,9.920730e-03,3.359640e-01
975,0.0562341,1.374050e+01,3.741210e+00,-2.113620e+03,1.223260e+00,9.657830e-03,3.419070e-01
1000,0.0562341,1.369340e+01,5.575990e+00,-2.000090e+03,1.194340e+00,9.384100e-03,3.476760e-01
1025,0.0562341,1.357880e+01,7.857930e+00,-1.830870e+03,1.187730e+00,9.078640e-03,3.529430e-01
1050,0.0562341,1.341260e+01,9.160470e+00,-1.615960e+03,1.190970e+00,8.754000e-03,3.579810e-01
1075,0.0562341,1.322730e+01,9.639230e+00,-1.379700e+03,1.194600e+00,8.432280e-03,3.629070e-01
1100,0.0562341,1.304260e+01,9.672800e+00,-1.137660e+03,1.197150e+00,8.125550e-03,3.677940e-01
1125,0.0562341,1.286800e+01,9.490370e+00,-8.978400e+02,1.198470e+00,7.838610e-03,3.726870e-01
1150,0.0562341,1.270730e+01,9.237060e+00,-6.637210e+02,1.198460e+00,7.572460e-03,3.776130e-01
1175,0.0562341,1.256110e+01,9.019740e+00,-4.356820e+02,1.196880e+00,7.326100e-03,3.825880e-01
1200,0.0562341,1.242800e+01,8.925480e+00,-2.117050e+02,1.193430e+00,7.097430e-03,3.876240e-01
1225,0.0562341,1.230490e+01,9.028580e+00,1.223940e+01,1.188010e+00,6.883740e-03,3.927320e-01
1250,0.0562341,1.218810e+01,9.391790e+00,2.418960e+02,1.180910e+00,6.682050e-03,3.979210e-01
1275,0.0562341,1.207330e+01,1.006040e+01,4.843830e+02,1.173000e+00,6.489290e-03,4.031990e-01
1300,0.0562341,1.195590e+01,1.104380e+01,7.475600e+02,1.165530e+00,6.302620e-03,4.085760e-01
1325,0.0562341,1.183210e+01,1.227450e+01,1.038670e+03,1.159690e+00,6.119680e-03,4.140550e-01
1350,0.0562341,1.170000e+01,1.353590e+01,1.361610e+03,1.156210e+00,5.939300e-03,4.196260e-01
1375,0.0562341,1.156160e+01,1.438270e+01,1.712080e+03,1.155150e+00,5.762290e-03,4.252580e-01
1400,0.0562341,1.142460e+01,1.419220e+01,2.072040e+03,1.156210e+00,5.592350e-03,4.308870e-01
1425,0.0562341,1.130230e+01,1.259960e+01,2.409730e+03,1.159970e+00,5.435430e-03,4.364360e-01
1450,0.0562341,1.120660e+01,1.010230e+01,2.694290e+03,1.168950e+00,5.296490e-03,4.418440e-01
1475,0.0562341,1.114020e+01,7.744790e+00,2.916190e+03,1.185180e+00,5.175880e-03,4.471060e-01
1500,0.0562341,1.109720e+01,6.100690e+00,3.087670e+03,1.205950e+00,5.069930e-03,4.522570e-01
1525,0.0562341,1.106930e+01,5.115490e+00,3.226750e+03,1.225600e+00,4.974320e-03,4.573360e-01
1550,0.0562341,1.105080e+01,4.550640e+00,3.346930e+03,1.240640e+00,4.885870e-03,4.623700e-01
1575,0.0562341,1.103780e+01,4.222330e+00,3.456230e+03,1.250830e+00,4.802690e-03,4.673730e-01
1600,0.0562341,1.102840e+01,4.025130e+00,3.559120e+03,1.257300e+00,4.723630e-03,4.723510e-01
1625,0.0562341,1.102140e+01,3.903430e+00,3.658110e+03,1.261180e+00,4.647980e-03,4.773080e-01
1650,0.0562341,1.101590e+01,3.828030e+00,3.754670e+03,1.263290e+00,4.575290e-03,4.822460e-01
1675,0.0562341,1.101150e+01,3.783130e+00,3.849760e+03,1.264160e+00,4.505210e-03,4.871650e-01
1700,0.0562341,1.100790e+01,3.759760e+00,3.944010e+03,1.264130e+00,4.437500e-03,4.920670e-01
1725,0.0562341,1.100480e+01,3.752690e+00,4.037890e+03,1.263380e+00,4.371960e-03,4.969520e-01
1750,0.0562341,1.100210e+01,3.758750e+00,4.131750e+03,1.262070e+00,4.308430e-03,5.018210e-01
1775,0.0562341,1.099950e+01,3.776030e+00,4.225920e+03,1.260270e+00,4.246760e-03,5.066750e-01
1800,0.0562341,1.099700e+01,3.803460e+00,4.320640e+03,1.258050e+00,4.186830e-03,5.115130e-01
1825,0.0562341,1.099450e+01,3.840500e+00,4.416170e+03,1.255460e+00,4.128540e-03,5.163370e-01
1850,0.0562341,1.099190e+01,3.887020e+00,4.512740e+03,1.252520e+00,4.071770e-03,5.211480e-01
1875,0.0562341,1.098910e+01,3.943190e+00,4.610600e+03,1.249260e+00,4.016450e-03,5.259450e-01
1900,0.0562341,1.098600e+01,4.009390e+00,4.709990e+03,1.245710e+00,3.962480e-03,5.307290e-01
1925,0.0562341,1.098250e+01,4.086210e+00,4.811160e+03,1.241890e+00,3.909780e-03,5.355010e-01
1950,0.0562341,1.097860e+01,4.174390e+00,4.914390e+03,1.237820e+00,3.858270e-03,5.402610e-01
1975,0.0562341,1.097410e+01,4.274800e+00,5.019980e+03,1.233520e+00,3.807890e-03,5.450110e-01
2000,0.0562341,1.096900e+01,4.388440e+00,5.128240e+03,1.229050e+00,3.758550e-03,5.497490e-01
2025,0.0562341,1.096320e+01,4.516410e+00,5.239520e+03,1.224420e+00,3.710190e-03,5.543130e-01
2050,0.0562341,1.095660e+01,4.659920e+00,5.354190e+03,1.219680e+00,3.662730e-03,5.588640e-01
2075,0.0562341,1.094910e+01,4.820260e+00,5.472660e+03,1.214880e+00,3.616120e-03,5.634020e-01
2100,0.0562341,1.094050e+01,4.998820e+00,5.595360e+03,1.210050e+00,3.570280e-03,5.679290e-01
2125,0.0562341,1.093080e+01,5.197070e+00,5.722760e+03,1.205240e+00,3.525140e-03,5.724450e-01
2150,0.0562341,1.091980e+01,5.416560e+00,5.855390e+03,1.200510e+00,3.480640e-03,5.769490e-01
2175,0.0562341,1.090740e+01,5.658940e+00,5.993780e+03,1.195900e+00,3.436730e-03,5.814430e-01
2200,0.0562341,1.089340e+01,5.925920e+00,6.138540e+03,1.191450e+00,3.393320e-03,5.859280e-01
2225,0.0562341,1.087780e+01,6.219280e+00,6.290300e+03,1.187200e+00,3.350360e-03,5.904020e-01
2250,0.0562341,1.086020e+01,6.540910e+00,6.449740e+03,1.183200e+00,3.307780e-03,5.948670e-01
2275,0.0562341,1.084060e+01,6.892750e+00,6.617590e+03,1.179480e+00,3.265530e-03,5.993220e-01
2300,0.0562341,1.081880e+01,7.276850e+00,6.794640e+03,1.176070e+00,3.223530e-03,6.037680e-01
2325,0.0562341,1.079450e+01,7.695320e+00,6.981720e+03,1.173000e+00,3.181730e-03,6.082040e-01
2350,0.0562341,1.076770e+01,8.150380e+00,7.179710e+03,1.170290e+00,3.140070e-03,6.126290e-01
2375,0.0562341,1.073820e+01,8.644340e+00,7.389570e+03,1.167960e+00,3.098480e-03,6.170430e-01
2400,0.0562341,1.070560e+01,9.179600e+00,7.612280e+03,1.166020e+00,3.056910e-03,6.214440e-01
2425,0.0562341,1.066990e+01,9.758700e+00,7.848910e+03,1.164480e+00,3.015300e-03,6.258300e-01
2450,0.0562341,1.063080e+01,1.038430e+01,8.100600e+03,1.163370e+00,2.973590e-03,6.302000e-01
2475,0.0562341,1.058810e+01,1.105910e+01,8.368530e+03,1.162670e+00,2.931730e-03,6.345510e-01
2500,0.0562341,1.054160e+01,1.178600e+01,8.653990e+03,1.162400e+00,2.889660e-03,6.388790e-01
2525,0.0562341,1.049100e+01,1.256820e+01,8.958300e+03,1.162570e+00,2.847340e-03,6.431800e-01
2550,0.0562341,1.043630e+01,1.340870e+01,9.282880e+03,1.163160e+00,2.804720e-03,6.474500e-01
2575,0.0562341,1.037720e+01,1.431090e+01,9.629250e+03,1.164200e+00,2.761750e-03,6.516820e-01
2600,0.0562341,1.031350e+01,1.527820e+01,9.998970e+03,1.165670e+00,2.718400e-03,6.558700e-01
2625,0.0562341,1.024490e+01,1.631380e+01,1.039370e+04,1.167580e+00,2.674620e-03,6.600060e-01
2650,0.0562341,1.017140e+01,1.742100e+01,1.081530e+04,1.169930e+00,2.630380e-03,6.640830e-01
2675,0.0562341,1.009280e+01,1.860260e+01,1.126540e+04,1.172730e+00,2.585650e-03,6.680900e-01
2700,0.0562341,1.000890e+01,1.986080e+01,1.174600e+04,1.175960e+00,2.540430e-03,6.720170e-01
2725,0.0562341,9.919720e+00,2.119680e+01,1.225910e+04,1.179630e+00,2.494680e-03,6.758540e-01
2750,0.0562341,9.825050e+00,2.261010e+01,1.280650e+04,1.183720e+00,2.448410e-03,6.795890e-01
2775,0.0562341,9.724940e+00,2.409800e+01,1.339020e+04,1.188220e+00,2.401630e-03,6.832090e-01
2800,0.0562341,9.619410e+00,2.565470e+01,1.401200e+04,1.193110e+00,2.354360e-03,6.867030e-01
2825,0.0562341,9.508570e+00,2.727100e+01,1.467340e+04,1.198340e+00,2.306630e-03,6.900590e-01
2850,0.0562341,9.392610e+00,2.893290e+01,1.537590e+04,1.203870e+00,2.258520e-03,6.932650e-01
2875,0.0562341,9.271850e+00,3.062170e+01,1.612030e+04,1.209630e+00,2.210090e-03,6.963100e-01
2900,0.0562341,9.146670e+00,3.231410e+01,1.690700e+04,1.215530e+00,2.161460e-03,6.991860e-01
2925,0.0562341,9.017600e+00,3.398200e+01,1.773580e+04,1.221480e+00,2.112740e-03,7.018830e-01
2950,0.0562341,8.885270e+00,3.559440e+01,1.860570e+04,1.227370e+00,2.064100e-03,7.043930e-01
2975,0.0562341,8.750420e+00,3.711850e+01,1.951480e+04,1.233070e+00,2.015690e-03,7.067120e-01
3000,0.0562341,8.613850e+00,3.852160e+01,2.046060e+04,1.238480e+00,1.967700e-03,7.088350e-01
3025,0.0562341,8.476440e+00,3.977330e+01,2.143960e+04,1.243470e+00,1.920310e-03,7.107590e-01
3050,0.0562341,8.339090e+00,4.084710e+01,2.244780e+04,1.247960e+00,1.873700e-03,7.124830e-01
3075,0.0562341,8.202680e+00,4.172210e+01,2.348030e+04,1.251870e+00,1.828070e-03,7.140080e-01
3100,0.0562341,8.068070e+00,4.238370e+01,2.453210e+04,1.255130e+00,1.783570e-03,7.153390e-01
3125,0.0562341,7.936040e+00,4.282400e+01,2.559770e+04,1.257720e+00,1.740350e-03,7.164830e-01
3150,0.0562341,7.807310e+00,4.304150e+01,2.667140e+04,1.259630e+00,1.698530e-03,7.174500e-01
3175,0.0562341,7.682470e+00,4.304100e+01,2.774790e+04,1.260850e+00,1.658210e-03,7.182540e-01
3200,0.0562341,7.562040e+00,4.283230e+01,2.882170e+04,1.261440e+00,1.619460e-03,7.189120e-01
3225,0.0562341,7.446400e+00,4.243020e+01,2.988790e+04,1.261410e+00,1.582340e-03,7.194450e-01
3250,0.0562341,7.335860e+00,4.185290e+01,3.094180e+04,1.260830e+00,1.546860e-03,7.198760e-01
3275,0.0562341,7.230610e+00,4.112140e+01,3.197930e+04,1.259770e+00,1.513020e-03,7.202290e-01
3300,0.0562341,7.130740e+00,4.025880e+01,3.299680e+04,1.258280e+00,1.480820e-03,7.205320e-01
3325,0.0562341,7.036280e+00,3.928950e+01,3.399130e+04,1.256440e+00,1.450220e-03,7.208100e-01
3350,0.0562341,6.947180e+00,3.823800e+01,3.496060e+04,1.254320e+00,1.421170e-03,7.210890e-01
3375,0.0562341,6.863330e+00,3.712870e+01,3.590270e+04,1.251990e+00,1.393620e-03,7.213950e-01
3400,0.0562341,6.784560e+00,3.598480e+01,3.681670e+04,1.249520e+00,1.367490e-03,7.217480e-01
3425,0.0562341,6.710670e+00,3.482770e+01,3.770190e+04,1.246960e+00,1.342730e-03,7.221710e-01
3450,0.0562341,6.641430e+00,3.367680e+01,3.855820e+04,1.244380e+00,1.319240e-03,7.226800e-01
3475,0.0562341,6.576570e+00,3.254840e+01,3.938590e+04,1.241810e+00,1.296960e-03,7.232900e-01
3500,0.0562341,6.515820e+00,3.145630e+01,4.018590e+04,1.239310e+00,1.275800e-03,7.240130e-01
3525,0.0562341,6.458910e+00,3.041070e+01,4.095910e+04,1.236890e+00,1.255690e-03,7.248580e-01
3550,0.0562341,6.405560e+00,2.941890e+01,4.170690e+04,1.234600e+00,1.236550e-03,7.258320e-01
3575,0.0562341,6.355480e+00,2.848480e+01,4.243050e+04,1.232440e+00,1.218300e-03,7.269400e-01
3600,0.0562341,6.308420e+00,2.760920e+01,4.313160e+04,1.230450e+00,1.200880e-03,7.281840e-01
3625,0.0562341,6.264140e+00,2.679020e+01,4.381150e+04,1.228630e+00,1.184230e-03,7.295660e-01
3650,0.0562341,6.222390e+00,2.602320e+01,4.447150e+04,1.226990e+00,1.168280e-03,7.310860e-01
3675,0.0562341,6.182990e+00,2.530160e+01,4.511300e+04,1.225560e+00,1.152980e-03,7.327420e-01
3700,0.0562341,6.145730e+00,2.461660e+01,4.573690e+04,1.224340e+00,1.138290e-03,7.345320e-01
3725,0.0562341,6.110470e+00,2.395840e+01,4.634410e+04,1.223350e+00,1.124160e-03,7.364550e-01
3750,0.0562341,6.077050e+00,2.331620e+01,4.693500e+04,1.222610e+00,1.110560e-03,7.385070e-01
3775,0.0562341,6.045390e+00,2.267870e+01,4.750990e+04,1.222120e+00,1.097460e-03,7.406860e-01
3800,0.0562341,6.015380e+00,2.203510e+01,4.806890e+04,1.221920e+00,1.084830e-03,7.429880e-01
3825,0.0562341,5.986950e+00,2.137550e+01,4.861150e+04,1.222030e+00,1.072650e-03,7.454090e-01
3850,0.0562341,5.960070e+00,2.069150e+01,4.913740e+04,1.222470e+00,1.060890e-03,7.479460e-01
3875,0.0562341,5.934680e+00,1.997710e+01,4.964580e+04,1.223300e+00,1.049560e-03,7.505930e-01
3900,0.0562341,5.910790e+00,1.922860e+01,5.013600e+04,1.224530e+00,1.038630e-03,7.533460e-01
3925,0.0562341,5.888360e+00,1.844590e+01,5.060700e+04,1.226230e+00,1.028100e-03,7.562000e-01
3950,0.0562341,5.867380e+00,1.763170e+01,5.105800e+04,1.228450e+00,1.017960e-03,7.591480e-01
3975,0.0562341,5.847850e+00,1.679200e+01,5.148840e+04,1.231250e+00,1.008190e-03,7.621850e-01
4000,0.0562341,5.829740e+00,1.593550e+01,5.189750e+04,1.234680e+00,9.987830e-04,7.653030e-01
200,0.1,2.199600e+01,1.511860e+00,-7.246370e+03,1.333370e+00,1.340280e-01,9.196210e-02
225,0.1,2.199600e+01,1.533550e+00,-7.208310e+03,1.327120e+00,1.191360e-01,1.024210e-01
250,0.1,2.199600e+01,1.559690e+00,-7.169660e+03,1.319890e+00,1.072220e-01,1.127750e-01
275,0.1,2.199600e+01,1.592320e+00,-7.130270e+03,1.311310e+00,9.747480e-02,1.230010e-01
300,0.1,2.199580e+01,1.631890e+00,-7.089980e+03,1.301560e+00,8.935140e-02,1.330750e-01
325,0.1,2.199540e+01,1.678940e+00,-7.048610e+03,1.290890e+00,8.247650e-02,1.432660e-01
350,0.1,2.199410e+01,1.735100e+00,-7.005960e+03,1.279420e+00,7.658100e-02,1.533240e-01
375,0.1,2.199110e+01,1.803830e+00,-6.961750e+03,1.267170e+00,7.146570e-02,1.632310e-01
400,0.1,2.198460e+01,1.890950e+00,-6.915620e+03,1.254090e+00,6.697920e-02,1.729680e-01
425,0.1,2.197180e+01,2.004910e+00,-6.866980e+03,1.240220e+00,6.300250e-02,1.825120e-01
450,0.1,2.194860e+01,2.156710e+00,-6.815050e+03,1.225800e+00,5.943970e-02,1.918290e-01
475,0.1,2.190960e+01,2.359580e+00,-6.758720e+03,1.211360e+00,5.621130e-02,2.008750e-01
500,0.1,2.184790e+01,2.628650e+00,-6.696520e+03,1.197590e+00,5.325030e-02,2.095940e-01
525,0.1,2.175550e+01,2.982080e+00,-6.626590e+03,1.185080e+00,5.050010e-02,2.176380e-01
550,0.1,2.162370e+01,3.446770e+00,-6.546500e+03,1.174070e+00,4.791260e-02,2.251940e-01
575,0.1,2.144270e+01,4.074120e+00,-6.452910e+03,1.164360e+00,4.544590e-02,2.322250e-01
600,0.1,2.119960e+01,4.969050e+00,-6.340590e+03,1.155870e+00,4.305840e-02,2.387410e-01
625,0.1,2.087330e+01,6.315460e+00,-6.200710e+03,1.149700e+00,4.069990e-02,2.446430e-01
650,0.1,2.043100e+01,8.339440e+00,-6.019140e+03,1.148720e+00,3.830530e-02,2.502140e-01
675,0.1,1.983300e+01,1.116320e+01,-5.777000e+03,1.155660e+00,3.580700e-02,2.556240e-01
700,0.1,1.905380e+01,1.464620e+01,-5.455400e+03,1.170600e+00,3.317160e-02,2.611190e-01
725,0.1,1.810670e+01,1.831590e+01,-5.043020e+03,1.190450e+00,3.043560e-02,2.670990e-01
750,0.1,1.705660e+01,2.130200e+01,-4.545170e+03,1.209510e+00,2.771490e-02,2.740760e-01
775,0.1,1.601500e+01,2.233270e+01,-3.994210e+03,1.220430e+00,2.518300e-02,2.823930e-01
800,0.1,1.511400e+01,2.023010e+01,-3.455030e+03,1.217220e+00,2.302350e-02,2.917640e-01
825,0.1,1.445880e+01,1.521620e+01,-3.007710e+03,1.202250e+00,2.135800e-02,3.011780e-01
850,0.1,1.407230e+01,9.693160e+00,-2.698460e+03,1.191210e+00,2.017570e-02,3.096350e-01
875,0.1,1.388580e+01,5.993080e+00,-2.507060e+03,1.199190e+00,1.933950e-02,3.169670e-01
900,0.1,1.380670e+01,4.214390e+00,-2.382570e+03,1.219770e+00,1.869520e-02,3.235810e-01
925,0.1,1.377460e+01,3.491920e+00,-2.287650e+03,1.236330e+00,1.814760e-02,3.298430e-01
950,0.1,1.376130e+01,3.229510e+00,-2.204240e+03,1.243500e+00,1.765290e-02,3.359350e-01
975,0.1,1.375460e+01,3.201810e+00,-2.124300e+03,1.242440e+00,1.719190e-02,3.419300e-01
1000,0.1,1.374540e+01,3.533000e+00,-2.041320e+03,1.228910e+00,1.675100e-02,3.478410e-01
1025,0.1,1.371390e+01,4.815970e+00,-1.939600e+03,1.202670e+00,1.630500e-02,3.533960e-01
1050,0.1,1.362800e+01,6.918700e+00,-1.793050e+03,1.190720e+00,1.581710e-02,3.587150e-01
1075,0.1,1.348680e+01,8.448760e+00,-1.599010e+03,1.192380e+00,1.528910e-02,3.638000e-01
1100,0.1,1.331770e+01,9.162290e+00,-1.377520e+03,1.196040e+00,1.475430e-02,3.687490e-01
1125,0.1,1.314220e+01,9.384870e+00,-1.144950e+03,1.198850e+00,1.423630e-02,3.736390e-01
1150,0.1,1.297150e+01,9.356080e+00,-9.103440e+02,1.200420e+00,1.374590e-02,3.785190e-01
1175,0.1,1.281070e+01,9.224530e+00,-6.779920e+02,1.200640e+00,1.328670e-02,3.834160e-01
1200,0.1,1.266170e+01,9.095030e+00,-4.490940e+02,1.199330e+00,1.285850e-02,3.883510e-01
1225,0.1,1.252380e+01,9.050910e+00,-2.225250e+02,1.196310e+00,1.245890e-02,3.933380e-01
1250,0.1,1.239500e+01,9.162540e+00,4.751980e+00,1.191530e+00,1.208420e-02,3.983870e-01
1275,0.1,1.227240e+01,9.488900e+00,2.373950e+02,1.185240e+00,1.173010e-02,4.035100e-01
1300,0.1,1.215230e+01,1.007290e+01,4.813520e+02,1.178140e+00,1.139200e-02,4.087140e-01
1325,0.1,1.203100e+01,1.092710e+01,7.433080e+02,1.171240e+00,1.106540e-02,4.140090e-01
1350,0.1,1.190490e+01,1.200310e+01,1.029590e+03,1.165600e+00,1.074670e-02,4.193980e-01
1375,0.1,1.177220e+01,1.313850e+01,1.344010e+03,1.161950e+00,1.043360e-02,4.248730e-01
1400,0.1,1.163380e+01,1.399510e+01,1.684240e+03,1.160480e+00,1.012690e-02,4.304110e-01
1425,0.1,1.149560e+01,1.407130e+01,2.037250e+03,1.160980e+00,9.831050e-03,4.359650e-01
1450,0.1,1.136820e+01,1.296820e+01,2.377800e+03,1.163590e+00,9.554450e-03,4.414670e-01
1475,0.1,1.126290e+01,1.087780e+01,2.677220e+03,1.169900e+00,9.305530e-03,4.468570e-01
1500,0.1,1.118510e+01,8.601830e+00,2.920200e+03,1.181940e+00,9.087190e-03,4.521160e-01
1525,0.1,1.113160e+01,6.813130e+00,3.111550e+03,1.198950e+00,8.895510e-03,4.572640e-01
1550,0.1,1.109570e+01,5.642140e+00,3.266080e+03,1.216910e+00,8.723820e-03,4.623350e-01
1575,0.1,1.107120e+01,4.929380e+00,3.397470e+03,1.232150e+00,8.566380e-03,4.673560e-01
1600,0.1,1.105390e+01,4.497910e+00,3.514880e+03,1.243430e+00,8.419340e-03,4.723420e-01
1625,0.1,1.104130e+01,4.230310e+00,3.623720e+03,1.251150e+00,8.280330e-03,4.773030e-01
1650,0.1,1.103170e+01,4.059570e+00,3.727190e+03,1.256190e+00,8.147830e-03,4.822420e-01
1675,0.1,1.102440e+01,3.948770e+00,3.827200e+03,1.259310e+00,8.020860e-03,4.871630e-01
1700,0.1,1.101850e+01,3.877280e+00,3.924950e+03,1.261020e+00,7.898710e-03,4.920650e-01
1725,0.1,1.101370e+01,3.833170e+00,4.021290e+03,1.261700e+00,7.780860e-03,4.969500e-01
1750,0.1,1.100980e+01,3.809260e+00,4.116780e+03,1.261590e+00,7.666930e-03,5.018190e-01
