Bg,P_atm,regime,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH,CH4,CO,CO2,CN,C2H,"C2H2,acetylene",C3,C3H,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,C(gr)
2.0,0.001,OK,6.750000e+02,0.000000e+00,-3.506680e+00,4.180330e-45,1.601550e-13,3.174610e-31,3.594740e-33,1.178990e-39,6.437670e-03,7.873930e-02,7.516260e-02,2.643770e-28,6.357820e-36,1.567600e-15,4.202540e-51,2.989230e-46,3.507020e-67,1.401940e-30,1.491360e-67,9.091910e-10,6.626950e-01,5.282890e-02,1.241360e-01,1.000000e+00
2.0,0.001,OK,7.000000e+02,0.000000e+00,-2.888970e+00,4.065410e-43,6.509910e-13,4.869300e-30,7.262230e-32,5.286920e-38,3.749780e-03,1.207490e-01,5.875500e-02,4.250530e-27,2.348390e-34,6.634360e-15,8.863110e-49,2.890180e-44,3.061090e-64,2.482100e-29,1.417130e-64,2.073030e-09,6.624490e-01,3.428070e-02,1.200170e-01,1.000000e+00
2.0,0.001,OK,7.250000e+02,0.000000e+00,-2.290160e+00,2.884350e-41,2.394500e-12,5.674230e-29,1.193080e-30,1.815560e-36,2.223970e-03,1.646900e-01,3.923160e-02,5.638880e-26,6.732000e-33,2.518990e-14,1.290860e-46,2.029150e-42,1.674860e-61,3.573750e-28,8.391590e-62,4.443980e-09,6.568070e-01,2.080770e-02,1.162390e-01,1.000000e+00
2.0,0.001,OK,7.500000e+02,0.000000e+00,-1.804440e+00,1.540670e-39,8.074280e-12,5.125810e-28,1.631260e-29,4.918490e-35,1.357320e-03,2.006610e-01,2.240220e-02,6.308100e-25,1.540780e-31,8.727170e-14,1.347210e-44,1.071310e-40,6.018320e-59,4.297660e-27,3.246140e-59,9.062460e-09,6.503740e-01,1.187930e-02,1.133260e-01,1.000000e+00
2.0,0.001,OK,7.750000e+02,0.000000e+00,-1.471550e+00,6.367950e-38,2.522190e-11,3.728960e-27,1.892270e-28,1.077760e-33,8.573070e-04,2.238070e-01,1.141080e-02,6.058650e-24,2.883450e-30,2.795050e-13,1.040510e-42,4.381070e-39,1.479110e-56,4.410450e-26,8.547220e-57,1.772900e-08,6.459100e-01,6.531470e-03,1.114830e-01,1.000000e+00
2.0,0.001,OK,8.000000e+02,0.000000e+00,-1.260500e+00,2.086110e-36,7.353120e-11,2.286380e-26,1.890430e-27,1.949180e-32,5.593720e-04,2.362970e-01,5.511900e-03,5.065890e-23,4.497570e-29,8.341510e-13,6.117140e-41,1.421760e-37,2.576210e-54,3.922700e-25,1.587960e-54,3.339960e-08,6.435890e-01,3.561800e-03,1.104800e-01,1.000000e+00
2.0,0.001,OK,8.250000e+02,0.000000e+00,-1.121160e+00,5.532000e-35,2.012280e-10,1.225900e-25,1.646840e-26,2.959260e-31,3.752480e-04,2.424660e-01,2.647780e-03,3.730070e-22,5.941750e-28,2.332460e-12,2.806090e-39,3.737270e-36,3.280870e-52,3.060230e-24,2.148530e-52,6.070320e-08,6.425710e-01,1.967690e-03,1.099720e-01,1.000000e+00
2.0,0.001,OK,8.500000e+02,0.000000e+00,-1.018170e+00,1.209830e-33,5.195760e-10,5.889140e-25,1.265070e-25,3.828500e-30,2.577670e-04,2.454440e-01,1.297460e-03,2.443700e-21,6.743620e-27,6.140690e-12,1.026600e-37,8.102910e-35,3.140490e-50,2.116530e-23,2.177000e-50,1.066360e-07,6.421690e-01,1.112830e-03,1.097180e-01,1.000000e+00
2.0,0.001,OK,8.750000e+02,0.000000e+00,-9.326970e-01,2.218300e-32,1.271780e-09,2.574340e-24,8.657910e-25,4.278030e-29,1.807990e-04,2.469000e-01,6.553910e-04,1.438090e-20,6.659860e-26,1.529340e-11,3.053970e-36,1.472800e-33,2.315340e-48,1.310600e-22,1.693280e-48,1.814600e-07,6.420280e-01,6.466550e-04,1.095880e-01,1.000000e+00
2.0,0.001,OK,9.000000e+02,0.000000e+00,-8.556050e-01,3.460530e-31,2.963810e-09,1.034970e-23,5.328590e-24,4.179120e-28,1.292220e-04,2.476310e-01,3.423350e-04,7.668440e-20,5.789220e-25,3.619070e-11,7.515720e-35,2.277160e-32,1.343620e-46,7.331570e-22,1.033490e-46,2.998090e-07,6.419910e-01,3.862400e-04,1.095200e-01,1.000000e+00
2.0,0.001,OK,9.250000e+02,0.000000e+00,-7.825650e-01,4.653410e-30,6.601920e-09,3.857790e-23,2.974350e-23,3.608020e-27,9.396330e-05,2.480110e-01,1.848790e-04,3.734490e-19,4.475410e-24,8.170880e-11,1.553790e-33,3.034320e-31,6.257480e-45,3.735450e-21,5.047880e-45,4.820280e-07,6.419910e-01,2.368920e-04,1.094820e-01,1.000000e+00
2.0,0.001,OK,9.500000e+02,0.000000e+00,-7.114890e-01,5.457430e-29,1.410600e-08,1.341970e-22,1.517290e-22,2.779870e-26,6.941980e-05,2.482140e-01,1.030840e-04,1.672800e-18,3.105420e-23,1.766540e-10,2.735910e-32,3.525620e-30,2.379660e-43,1.746210e-20,2.008020e-43,7.557320e-07,6.420030e-01,1.489720e-04,1.094610e-01,1.000000e+00
