Bg,P_atm,regime,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH,CH4,CO,CO2,CN,C2H,"C2H2,acetylene",C3,C3H,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,C(gr)
0.0,0.001,OK,3.000000e+02,8.742740e-02,-2.632220e+00,1.502170e-114,0.000000e+00,3.153750e-74,1.423210e-78,0.000000e+00,0.000000e+00,5.502450e-10,2.100000e-01,2.240320e-70,0.000000e+00,0.000000e+00,1.855540e-132,0.000000e+00,6.383070e-170,0.000000e+00,1.502000e-171,0.000000e+00,0.000000e+00,0.000000e+00,7.900000e-01,1.000000e+00
0.0,0.001,OK,3.250000e+02,8.742740e-02,-2.607560e+00,5.992150e-105,0.000000e+00,2.969270e-68,3.055730e-72,0.000000e+00,0.000000e+00,7.878290e-09,2.100000e-01,1.685590e-64,0.000000e+00,0.000000e+00,3.318940e-121,0.000000e+00,1.006670e-155,0.000000e+00,3.496050e-157,0.000000e+00,0.000000e+00,0.000000e+00,7.900000e-01,1.000000e+00
0.0,0.001,OK,3.500000e+02,8.742740e-02,-2.582700e+00,1.023700e-96,0.000000e+00,3.937060e-63,8.207240e-67,0.000000e+00,0.000000e+00,7.739360e-08,2.100000e-01,1.841610e-59,0.000000e+00,0.000000e+00,1.479450e-111,0.000000e+00,1.511250e-143,0.000000e+00,7.347610e-145,0.000000e+00,0.000000e+00,0.000000e+00,7.900000e-01,1.000000e+00
0.0,0.001,OK,3.750000e+02,8.742750e-02,-2.557660e+00,1.405130e-89,0.000000e+00,1.087570e-58,4.177790e-62,0.000000e+00,0.000000e+00,5.620460e-07,2.100000e-01,4.294870e-55,0.000000e+00,0.000000e+00,3.432750e-103,0.000000e+00,5.465930e-133,0.000000e+00,3.565190e-134,0.000000e+00,0.000000e+00,0.000000e+00,7.900000e-01,1.000000e+00
0.0,0.001,OK,4.000000e+02,8.742810e-02,-2.532410e+00,2.484250e-83,0.000000e+00,8.396270e-55,5.504270e-58,0.000000e+00,0.000000e+00,3.191390e-06,2.099980e-01,2.854530e-51,0.000000e+00,0.000000e+00,7.205280e-96,0.000000e+00,9.560040e-124,0.000000e+00,8.078190e-125,0.000000e+00,0.000000e+00,0.000000e+00,7.899990e-01,1.000000e+00
0.0,0.001,OK,4.250000e+02,8.743050e-02,-2.506950e+00,8.117240e-78,0.000000e+00,2.267960e-51,2.382090e-54,0.000000e+00,0.000000e+00,1.479060e-05,2.099910e-01,6.744860e-48,0.000000e+00,0.000000e+00,2.088200e-89,0.000000e+00,1.377910e-115,0.000000e+00,1.465210e-116,0.000000e+00,0.000000e+00,0.000000e+00,7.899940e-01,1.000000e+00
0.0,0.001,OK,4.500000e+02,8.743950e-02,-2.481200e+00,6.491420e-73,0.000000e+00,2.552740e-48,4.075980e-51,0.000000e+00,0.000000e+00,5.785230e-05,2.099650e-01,6.729380e-45,0.000000e+00,0.000000e+00,1.161220e-83,0.000000e+00,2.477920e-108,0.000000e+00,3.235810e-109,0.000000e+00,0.000000e+00,0.000000e+00,7.899770e-01,1.000000e+00
0.0,0.001,OK,4.750000e+02,8.746820e-02,-2.454950e+00,1.586080e-68,0.000000e+00,1.374380e-45,3.192140e-48,0.000000e+00,0.000000e+00,1.960890e-04,2.098810e-01,3.247420e-42,0.000000e+00,0.000000e+00,1.606800e-78,0.000000e+00,7.715090e-102,0.000000e+00,1.211830e-102,0.000000e+00,0.000000e+00,0.000000e+00,7.899230e-01,1.000000e+00
0.0,0.001,OK,5.000000e+02,8.754990e-02,-2.427670e+00,1.414010e-64,0.000000e+00,3.951870e-43,1.286320e-45,0.000000e+00,0.000000e+00,5.881750e-04,2.096440e-01,8.450160e-40,0.000000e+00,0.000000e+00,6.811790e-74,0.000000e+00,5.405850e-96,0.000000e+00,1.003310e-96,0.000000e+00,0.000000e+00,0.000000e+00,7.897680e-01,1.000000e+00
0.0,0.001,OK,5.250000e+02,8.775820e-02,-2.398210e+00,5.310650e-61,0.000000e+00,6.633000e-41,2.932040e-43,0.000000e+00,0.000000e+00,1.587610e-03,2.090390e-01,1.294670e-37,0.000000e+00,0.000000e+00,1.047120e-69,0.000000e+00,1.054130e-90,0.000000e+00,2.276470e-91,0.000000e+00,0.000000e+00,0.000000e+00,7.893730e-01,1.000000e+00
0.0,0.001,OK,5.500000e+02,8.824230e-02,-2.364230e+00,9.451540e-58,0.000000e+00,6.984860e-39,4.084730e-41,0.000000e+00,0.000000e+00,3.907040e-03,2.076360e-01,1.254980e-35,0.000000e+00,0.000000e+00,6.700040e-66,0.000000e+00,6.806800e-86,0.000000e+00,1.687670e-86,0.000000e+00,0.000000e+00,0.000000e+00,7.884570e-01,1.000000e+00
0.0,0.001,OK,5.750000e+02,8.927820e-02,-2.321400e+00,8.784870e-55,0.000000e+00,4.892720e-37,3.706980e-39,0.000000e+00,0.000000e+00,8.852020e-03,2.046450e-01,8.166380e-34,0.000000e+00,0.000000e+00,1.999940e-62,0.000000e+00,1.680420e-81,0.000000e+00,4.727630e-82,0.000000e+00,0.000000e+00,0.000000e+00,7.865030e-01,1.000000e+00
0.0,0.001,OK,6.000000e+02,9.133150e-02,-2.262520e+00,4.624220e-52,0.000000e+00,2.389340e-35,2.310470e-37,0.000000e+00,0.000000e+00,1.858110e-02,1.987580e-01,3.746750e-32,0.000000e+00,0.000000e+00,3.062650e-59,0.000000e+00,1.787940e-77,0.000000e+00,5.649010e-78,0.000000e+00,0.000000e+00,0.000000e+00,7.826600e-01,1.000000e+00
0.0,0.001,OK,6.250000e+02,9.510760e-02,-2.176800e+00,1.475650e-49,0.000000e+00,8.438400e-34,1.033580e-35,0.000000e+00,0.000000e+00,3.622740e-02,1.880820e-01,1.262640e-30,0.000000e+00,0.000000e+00,2.606250e-56,0.000000e+00,9.067370e-74,0.000000e+00,3.188020e-74,0.000000e+00,0.000000e+00,0.000000e+00,7.756900e-01,1.000000e+00
0.0,0.001,OK,6.500000e+02,1.015200e-01,-2.050810e+00,3.024120e-47,0.000000e+00,2.214300e-32,3.443510e-34,0.000000e+00,0.000000e+00,6.548500e-02,1.703820e-01,3.234440e-29,0.000000e+00,0.000000e+00,1.318690e-53,0.000000e+00,2.386850e-70,0.000000e+00,9.262920e-71,0.000000e+00,0.000000e+00,0.000000e+00,7.641330e-01,1.000000e+00
0.0,0.001,OK,6.750000e+02,1.114260e-01,-1.873030e+00,4.180330e-45,0.000000e+00,4.394890e-31,8.817830e-33,0.000000e+00,0.000000e+00,1.090060e-01,1.440510e-01,6.485130e-28,0.000000e+00,0.000000e+00,4.202540e-51,0.000000e+00,3.507020e-67,0.000000e+00,1.491360e-67,0.000000e+00,0.000000e+00,0.000000e+00,7.469430e-01,1.000000e+00
0.0,0.001,OK,7.000000e+02,1.249220e-01,-1.644830e+00,4.065410e-43,0.000000e+00,6.663460e-30,1.784580e-31,0.000000e+00,0.000000e+00,1.652400e-01,1.100300e-01,1.044500e-26,0.000000e+00,0.000000e+00,8.863110e-49,0.000000e+00,3.061090e-64,0.000000e+00,1.417130e-64,0.000000e+00,0.000000e+00,0.000000e+00,7.247300e-01,1.000000e+00
0.0,0.001,OK,7.250000e+02,1.403370e-01,-1.393750e+00,2.884350e-41,0.000000e+00,7.769940e-29,2.929740e-30,0.000000e+00,0.000000e+00,2.255160e-01,7.356270e-02,1.384680e-25,0.000000e+00,0.000000e+00,1.290860e-46,0.000000e+00,1.674860e-61,0.000000e+00,8.391590e-62,0.000000e+00,0.000000e+00,0.000000e+00,7.009210e-01,1.000000e+00
0.0,0.001,OK,7.500000e+02,1.542730e-01,-1.169110e+00,1.540670e-39,0.000000e+00,7.068160e-28,3.997940e-29,0.000000e+00,0.000000e+00,2.766990e-01,4.259690e-02,1.546010e-24,0.000000e+00,0.000000e+00,1.347210e-44,0.000000e+00,6.018320e-59,0.000000e+00,3.246140e-59,0.000000e+00,0.000000e+00,0.000000e+00,6.807040e-01,1.000000e+00
0.0,0.001,OK,7.750000e+02,1.640120e-01,-1.006410e+00,6.367950e-38,0.000000e+00,5.177500e-27,4.629390e-28,0.000000e+00,0.000000e+00,3.107470e-01,2.199800e-02,1.482230e-23,0.000000e+00,0.000000e+00,1.040510e-42,0.000000e+00,1.479110e-56,0.000000e+00,8.547220e-57,0.000000e+00,0.000000e+00,0.000000e+00,6.672550e-01,1.000000e+00
0.0,0.001,OK,8.000000e+02,1.695160e-01,-9.031370e-01,2.086110e-36,0.000000e+00,3.187260e-26,4.620110e-27,0.000000e+00,0.000000e+00,3.294030e-01,1.071120e-02,1.238080e-22,0.000000e+00,0.000000e+00,6.117140e-41,0.000000e+00,2.576210e-54,0.000000e+00,1.587960e-54,0.000000e+00,0.000000e+00,0.000000e+00,6.598860e-01,1.000000e+00
