Tw_K,P_bar,M[kg/kmol],Cp[kJ/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[millipoise]
2225,0.0101325,1.230320e+01,8.631210e+00,7.721140e+06,1.152540e+00,6.738630e-04,6.065460e-01
2250,0.0101325,1.225820e+01,9.297720e+00,7.945110e+06,1.150790e+00,6.639340e-04,6.110470e-01
2275,0.0101325,1.220780e+01,1.003500e+01,8.186610e+06,1.149550e+00,6.539420e-04,6.155190e-01
2300,0.0101325,1.215180e+01,1.085020e+01,8.447510e+06,1.148870e+00,6.438660e-04,6.199590e-01
2325,0.0101325,1.208970e+01,1.175140e+01,8.729840e+06,1.148750e+00,6.336850e-04,6.243590e-01
2350,0.0101325,1.202090e+01,1.274750e+01,9.035870e+06,1.149220e+00,6.233750e-04,6.287130e-01
2375,0.0101325,1.194490e+01,1.384870e+01,9.368090e+06,1.150300e+00,6.129150e-04,6.330120e-01
2400,0.0101325,1.186120e+01,1.506600e+01,9.729270e+06,1.152020e+00,6.022820e-04,6.372460e-01
2425,0.0101325,1.176930e+01,1.641140e+01,1.012250e+07,1.154390e+00,5.914550e-04,6.414020e-01
2450,0.0101325,1.166860e+01,1.789720e+01,1.055100e+07,1.157440e+00,5.804120e-04,6.454690e-01
2475,0.0101325,1.155860e+01,1.953500e+01,1.101860e+07,1.161210e+00,5.691320e-04,6.494300e-01
2500,0.0101325,1.143880e+01,2.133490e+01,1.152910e+07,1.165710e+00,5.575990e-04,6.532700e-01
2525,0.0101325,1.130870e+01,2.330250e+01,1.208670e+07,1.170950e+00,5.457980e-04,6.569730e-01
2550,0.0101325,1.116800e+01,2.543710e+01,1.269560e+07,1.176930e+00,5.337220e-04,6.605230e-01
2575,0.0101325,1.101650e+01,2.772790e+01,1.335990e+07,1.183600e+00,5.213720e-04,6.639060e-01
2600,0.0101325,1.085430e+01,3.015120e+01,1.408310e+07,1.190870e+00,5.087590e-04,6.671090e-01
2625,0.0101325,1.068200e+01,3.266790e+01,1.486820e+07,1.198620e+00,4.959110e-04,6.701230e-01
2650,0.0101325,1.050010e+01,3.522280e+01,1.571690e+07,1.206650e+00,4.828690e-04,6.729420e-01
2675,0.0101325,1.030990e+01,3.774630e+01,1.662910e+07,1.214740e+00,4.696930e-04,6.755610e-01
2700,0.0101325,1.011310e+01,4.015870e+01,1.760320e+07,1.222610e+00,4.564590e-04,6.779820e-01
2725,0.0101325,9.911430e+00,4.237740e+01,1.863540e+07,1.230000e+00,4.432530e-04,6.802030e-01
2750,0.0101325,9.707140e+00,4.432420e+01,1.971980e+07,1.236650e+00,4.301710e-04,6.822250e-01
2775,0.0101325,9.502500e+00,4.593300e+01,2.084880e+07,1.242340e+00,4.173080e-04,6.840490e-01
2800,0.0101325,9.299740e+00,4.715490e+01,2.201330e+07,1.246930e+00,4.047570e-04,6.856740e-01
2825,0.0101325,9.100950e+00,4.796160e+01,2.320310e+07,1.250320e+00,3.926000e-04,6.870990e-01
2850,0.0101325,8.907990e+00,4.834540e+01,2.440780e+07,1.252510e+00,3.809050e-04,6.883270e-01
2875,0.0101325,8.722390e+00,4.831720e+01,2.561690e+07,1.253510e+00,3.697260e-04,6.893650e-01
2900,0.0101325,8.545340e+00,4.790350e+01,2.682050e+07,1.253420e+00,3.590980e-04,6.902250e-01
2925,0.0101325,8.377710e+00,4.714300e+01,2.800920e+07,1.252360e+00,3.490450e-04,6.909250e-01
2950,0.0101325,8.220040e+00,4.608270e+01,2.917510e+07,1.250450e+00,3.395740e-04,6.914920e-01
2975,0.0101325,8.072600e+00,4.477500e+01,3.031130e+07,1.247850e+00,3.306800e-04,6.919560e-01
3000,0.0101325,7.935410e+00,4.327510e+01,3.141230e+07,1.244700e+00,3.223520e-04,6.923530e-01
3025,0.0101325,7.808300e+00,4.163850e+01,3.247390e+07,1.241160e+00,3.145670e-04,6.927180e-01
3050,0.0101325,7.690920e+00,3.991960e+01,3.349350e+07,1.237360e+00,3.072980e-04,6.930870e-01
3075,0.0101325,7.582810e+00,3.816920e+01,3.446960e+07,1.233420e+00,3.005160e-04,6.934930e-01
3100,0.0101325,7.483430e+00,3.643390e+01,3.540210e+07,1.229450e+00,2.941850e-04,6.939670e-01
3125,0.0101325,7.392130e+00,3.475460e+01,3.629180e+07,1.225530e+00,2.882710e-04,6.945330e-01
3150,0.0101325,7.308270e+00,3.316560e+01,3.714060e+07,1.221740e+00,2.827390e-04,6.952110e-01
3175,0.0101325,7.231150e+00,3.169450e+01,3.795110e+07,1.218100e+00,2.775530e-04,6.960140e-01
3200,0.0101325,7.160090e+00,3.036210e+01,3.872650e+07,1.214660e+00,2.726780e-04,6.969520e-01
3225,0.0101325,7.094420e+00,2.918220e+01,3.947040e+07,1.211430e+00,2.680830e-04,6.980290e-01
3250,0.0101325,7.033510e+00,2.816260e+01,4.018690e+07,1.208410e+00,2.637370e-04,6.992470e-01
3275,0.0101325,6.976730e+00,2.730500e+01,4.087990e+07,1.205590e+00,2.596110e-04,7.006030e-01
3300,0.0101325,6.923520e+00,2.660600e+01,4.155350e+07,1.202980e+00,2.556790e-04,7.020930e-01
3325,0.0101325,6.873360e+00,2.605790e+01,4.221150e+07,1.200590e+00,2.519180e-04,7.037130e-01
3350,0.0101325,6.825780e+00,2.564840e+01,4.285750e+07,1.198400e+00,2.483070e-04,7.054550e-01
3375,0.0101325,6.780370e+00,2.536210e+01,4.349490e+07,1.196450e+00,2.448280e-04,7.073140e-01
3400,0.0101325,6.736780e+00,2.517990e+01,4.412650e+07,1.194720e+00,2.414660e-04,7.092850e-01
3425,0.0101325,6.694690e+00,2.508020e+01,4.475460e+07,1.193250e+00,2.382060e-04,7.113610e-01
3450,0.0101325,6.653890e+00,2.503870e+01,4.538100e+07,1.192040e+00,2.350380e-04,7.135400e-01
3475,0.0101325,6.614170e+00,2.502870e+01,4.600680e+07,1.191090e+00,2.319540e-04,7.158170e-01
3500,0.0101325,6.575430e+00,2.502220e+01,4.663250e+07,1.190410e+00,2.289490e-04,7.181910e-01
3525,0.0101325,6.537580e+00,2.498970e+01,4.725770e+07,1.190000e+00,2.260170e-04,7.206610e-01
3550,0.0101325,6.500640e+00,2.490180e+01,4.788150e+07,1.189850e+00,2.231560e-04,7.232270e-01
3575,0.0101325,6.464620e+00,2.473010e+01,4.850210e+07,1.189960e+00,2.203680e-04,7.258900e-01
3600,0.0101325,6.429620e+00,2.444890e+01,4.911710e+07,1.190320e+00,2.176530e-04,7.286510e-01
3625,0.0101325,6.395760e+00,2.403680e+01,4.972340e+07,1.190940e+00,2.150140e-04,7.315130e-01
3650,0.0101325,6.363190e+00,2.347870e+01,5.031770e+07,1.191840e+00,2.124530e-04,7.344750e-01
3675,0.0101325,6.332070e+00,2.276770e+01,5.089610e+07,1.193050e+00,2.099760e-04,7.375370e-01
3700,0.0101325,6.302580e+00,2.190620e+01,5.145480e+07,1.194640e+00,2.075860e-04,7.407000e-01
3725,0.0101325,6.274860e+00,2.090690e+01,5.199030e+07,1.196690e+00,2.052860e-04,7.439610e-01
3750,0.0101325,6.249060e+00,1.979180e+01,5.249920e+07,1.199310e+00,2.030790e-04,7.473150e-01
3775,0.0101325,6.225250e+00,1.859060e+01,5.297910e+07,1.202620e+00,2.009660e-04,7.507560e-01
3800,0.0101325,6.203490e+00,1.733810e+01,5.342830e+07,1.206740e+00,1.989460e-04,7.542770e-01
3825,0.0101325,6.183780e+00,1.607070e+01,5.384590e+07,1.211830e+00,1.970170e-04,7.578700e-01
3850,0.0101325,6.166080e+00,1.482270e+01,5.423200e+07,1.218000e+00,1.951780e-04,7.615250e-01
3875,0.0101325,6.150290e+00,1.362400e+01,5.458750e+07,1.225340e+00,1.934220e-04,7.652330e-01
3900,0.0101325,6.136300e+00,1.249760e+01,5.491380e+07,1.233900e+00,1.917450e-04,7.689830e-01
3925,0.0101325,6.123970e+00,1.145940e+01,5.521310e+07,1.243680e+00,1.901410e-04,7.727680e-01
3950,0.0101325,6.113150e+00,1.051810e+01,5.548760e+07,1.254650e+00,1.886030e-04,7.765790e-01
3975,0.0101325,6.103670e+00,9.676460e+00,5.573980e+07,1.266690e+00,1.871270e-04,7.804100e-01
4000,0.0101325,6.095390e+00,8.932420e+00,5.597220e+07,1.279650e+00,1.857050e-04,7.842540e-01
200,0.0180184,2.575290e+01,1.321060e+00,-5.940200e+06,1.323440e+00,2.790470e-02,8.941740e-02
225,0.0180184,2.575290e+01,1.352440e+00,-5.906790e+06,1.313580e+00,2.480420e-02,9.938210e-02
250,0.0180184,2.575290e+01,1.388770e+00,-5.872540e+06,1.302890e+00,2.232380e-02,1.092570e-01
275,0.0180184,2.575290e+01,1.430950e+00,-5.837300e+06,1.291360e+00,2.029440e-02,1.190290e-01
300,0.0180184,2.575290e+01,1.478590e+00,-5.800950e+06,1.279360e+00,1.860310e-02,1.286830e-01
325,0.0180184,2.575280e+01,1.531730e+00,-5.763330e+06,1.267160e+00,1.717210e-02,1.385830e-01
350,0.0180184,2.575210e+01,1.593270e+00,-5.724290e+06,1.254550e+00,1.594510e-02,1.484120e-01
375,0.0180184,2.574960e+01,1.674630e+00,-5.683510e+06,1.240450e+00,1.488060e-02,1.581650e-01
400,0.0180184,2.574070e+01,1.806420e+00,-5.640150e+06,1.222640e+00,1.394570e-02,1.678470e-01
425,0.0180184,2.571430e+01,2.056020e+00,-5.592220e+06,1.198910e+00,1.311200e-02,1.774810e-01
450,0.0180184,2.564620e+01,2.548940e+00,-5.535340e+06,1.170580e+00,1.235070e-02,1.871280e-01
475,0.0180184,2.549070e+01,3.480670e+00,-5.461130e+06,1.144770e+00,1.162970e-02,1.969000e-01
500,0.0180184,2.517600e+01,5.077480e+00,-5.355730e+06,1.129610e+00,1.091180e-02,2.069700e-01
525,0.0180184,2.461920e+01,7.415090e+00,-5.200930e+06,1.127980e+00,1.016240e-02,2.171520e-01
550,0.0180184,2.378400e+01,1.000110e+01,-4.982610e+06,1.136340e+00,9.371410e-03,2.277840e-01
575,0.0180184,2.277020e+01,1.143400e+01,-4.710430e+06,1.145790e+00,8.581850e-03,2.385080e-01
600,0.0180184,2.182380e+01,1.034140e+01,-4.432590e+06,1.148020e+00,7.882430e-03,2.486570e-01
625,0.0180184,2.117470e+01,7.345020e+00,-4.210430e+06,1.145310e+00,7.342080e-03,2.575070e-01
650,0.0180184,2.076290e+01,7.374070e+00,-4.037200e+06,1.143970e+00,6.922410e-03,2.652760e-01
675,0.0180184,2.026210e+01,9.257200e+00,-3.827140e+06,1.149140e+00,6.505230e-03,2.727440e-01
700,0.0180184,1.972410e+01,8.709980e+00,-3.595520e+06,1.153070e+00,6.106330e-03,2.802530e-01
725,0.0180184,1.935960e+01,5.767530e+00,-3.413150e+06,1.158340e+00,5.786820e-03,2.876660e-01
750,0.0180184,1.919380e+01,4.265300e+00,-3.294290e+06,1.167450e+00,5.546020e-03,2.947540e-01
775,0.0180184,1.904820e+01,5.332190e+00,-3.176530e+06,1.155720e+00,5.326420e-03,3.014580e-01
800,0.0180184,1.883670e+01,6.500500e+00,-3.028030e+06,1.152510e+00,5.102660e-03,3.078360e-01
825,0.0180184,1.857190e+01,7.472810e+00,-2.853110e+06,1.153910e+00,4.878480e-03,3.139720e-01
850,0.0180184,1.826620e+01,8.344130e+00,-2.655200e+06,1.157330e+00,4.657050e-03,3.199010e-01
875,0.0180184,1.792920e+01,9.110680e+00,-2.436760e+06,1.161820e+00,4.440530e-03,3.256460e-01
900,0.0180184,1.757140e+01,9.733270e+00,-2.200870e+06,1.166740e+00,4.231030e-03,3.312310e-01
925,0.0180184,1.720440e+01,1.016700e+01,-1.951680e+06,1.171550e+00,4.030690e-03,3.366870e-01
950,0.0180184,1.684000e+01,1.037800e+01,-1.694380e+06,1.175830e+00,3.841500e-03,3.420480e-01
975,0.0180184,1.648940e+01,1.035580e+01,-1.434730e+06,1.179280e+00,3.665070e-03,3.473510e-01
1000,0.0180184,1.616170e+01,1.011930e+01,-1.178390e+06,1.181780e+00,3.502430e-03,3.526330e-01
1025,0.0180184,1.586350e+01,9.715830e+00,-9.301660e+05,1.183360e+00,3.353950e-03,3.577130e-01
1050,0.0180184,1.559780e+01,9.214720e+00,-6.934120e+05,1.184030e+00,3.219260e-03,3.628220e-01
1075,0.0180184,1.536500e+01,8.696080e+00,-4.695760e+05,1.183760e+00,3.097460e-03,3.679820e-01
1100,0.0180184,1.516260e+01,8.241890e+00,-2.580700e+05,1.182320e+00,2.987200e-03,3.732060e-01
1125,0.0180184,1.498640e+01,7.931310e+00,-5.628420e+04,1.179300e+00,2.886860e-03,3.785060e-01
1150,0.0180184,1.483030e+01,7.840880e+00,1.403300e+05,1.174260e+00,2.794700e-03,3.838900e-01
1175,0.0180184,1.468750e+01,8.048250e+00,3.382400e+05,1.167110e+00,2.708890e-03,3.893700e-01
1200,0.0180184,1.454980e+01,8.636430e+00,5.459140e+05,1.158480e+00,2.627600e-03,3.949620e-01
1225,0.0180184,1.440860e+01,9.694290e+00,7.739760e+05,1.149790e+00,2.548980e-03,4.006890e-01
1250,0.0180184,1.425410e+01,1.130430e+01,1.035240e+06,1.142760e+00,2.471230e-03,4.065740e-01
1275,0.0180184,1.407700e+01,1.349810e+01,1.344100e+06,1.138770e+00,2.392660e-03,4.126410e-01
1300,0.0180184,1.386950e+01,1.614170e+01,1.714000e+06,1.138340e+00,2.312060e-03,4.188960e-01
1325,0.0180184,1.363020e+01,1.870490e+01,2.150710e+06,1.140700e+00,2.229290e-03,4.253030e-01
1350,0.0180184,1.337100e+01,2.001390e+01,2.638930e+06,1.143500e+00,2.146400e-03,4.317610e-01
1375,0.0180184,1.312250e+01,1.862970e+01,3.128550e+06,1.144150e+00,2.068210e-03,4.380950e-01
1400,0.0180184,1.292360e+01,1.455770e+01,3.547220e+06,1.144460e+00,2.000490e-03,4.441380e-01
1425,0.0180184,1.279300e+01,1.000520e+01,3.852610e+06,1.152230e+00,1.945530e-03,4.498450e-01
1450,0.0180184,1.271890e+01,6.823010e+00,4.059500e+06,1.171860e+00,1.900910e-03,4.552980e-01
1475,0.0180184,1.267900e+01,5.095180e+00,4.206030e+06,1.197030e+00,1.862840e-03,4.606000e-01
1500,0.0180184,1.265700e+01,4.247280e+00,4.321530e+06,1.218150e+00,1.828610e-03,4.658180e-01
1525,0.0180184,1.264400e+01,3.837410e+00,4.421980e+06,1.231670e+00,1.796790e-03,4.709870e-01
1550,0.0180184,1.263570e+01,3.634990e+00,4.515100e+06,1.239030e+00,1.766640e-03,4.761220e-01
1575,0.0180184,1.262990e+01,3.532900e+00,4.604550e+06,1.242580e+00,1.737810e-03,4.812290e-01
1600,0.0180184,1.262570e+01,3.482460e+00,4.692160e+06,1.243920e+00,1.710080e-03,4.863120e-01
1625,0.0180184,1.262230e+01,3.461120e+00,4.778910e+06,1.243960e+00,1.683330e-03,4.913730e-01
1650,0.0180184,1.261950e+01,3.458110e+00,4.865370e+06,1.243190e+00,1.657450e-03,4.964140e-01
1675,0.0180184,1.261700e+01,3.468140e+00,4.951930e+06,1.241850e+00,1.632390e-03,5.014340e-01
1700,0.0180184,1.261470e+01,3.488580e+00,5.038860e+06,1.240070e+00,1.608090e-03,5.064350e-01
1725,0.0180184,1.261230e+01,3.518210e+00,5.126430e+06,1.237910e+00,1.584490e-03,5.114180e-01
1750,0.0180184,1.260990e+01,3.556600e+00,5.214850e+06,1.235420e+00,1.561550e-03,5.163820e-01
1775,0.0180184,1.260720e+01,3.603840e+00,5.304330e+06,1.232620e+00,1.539230e-03,5.213290e-01
1800,0.0180184,1.260420e+01,3.660330e+00,5.395120e+06,1.229520e+00,1.517490e-03,5.262600e-01
1825,0.0180184,1.260080e+01,3.726750e+00,5.487430e+06,1.226140e+00,1.496300e-03,5.311740e-01
1850,0.0180184,1.259690e+01,3.803950e+00,5.581540e+06,1.222490e+00,1.475620e-03,5.360720e-01
1875,0.0180184,1.259240e+01,3.892990e+00,5.677730e+06,1.218600e+00,1.455430e-03,5.409560e-01
1900,0.0180184,1.258720e+01,3.995070e+00,5.776300e+06,1.214480e+00,1.435680e-03,5.458250e-01
1925,0.0180184,1.258110e+01,4.111520e+00,5.877600e+06,1.210170e+00,1.416340e-03,5.506800e-01
1950,0.0180184,1.257400e+01,4.243840e+00,5.982010e+06,1.205700e+00,1.397400e-03,5.555210e-01
1975,0.0180184,1.256580e+01,4.393650e+00,6.089940e+06,1.201120e+00,1.378810e-03,5.603500e-01
2000,0.0180184,1.255630e+01,4.562710e+00,6.201850e+06,1.196460e+00,1.360540e-03,5.651650e-01
2025,0.0180184,1.254530e+01,4.752920e+00,6.318250e+06,1.191790e+00,1.342580e-03,5.698260e-01
2050,0.0180184,1.253270e+01,4.966350e+00,6.439690e+06,1.187150e+00,1.324870e-03,5.744720e-01
2075,0.0180184,1.251830e+01,5.205190e+00,6.566780e+06,1.182600e+00,1.307400e-03,5.791040e-01
2100,0.0180184,1.250180e+01,5.471810e+00,6.700180e+06,1.178190e+00,1.290140e-03,5.837210e-01
2125,0.0180184,1.248310e+01,5.768770e+00,6.840630e+06,1.173980e+00,1.273050e-03,5.883240e-01
2150,0.0180184,1.246180e+01,6.098810e+00,6.988900e+06,1.170020e+00,1.256100e-03,5.929120e-01
2175,0.0180184,1.243780e+01,6.464880e+00,7.145870e+06,1.166340e+00,1.239270e-03,5.974850e-01
2200,0.0180184,1.241070e+01,6.870200e+00,7.312470e+06,1.162990e+00,1.222520e-03,6.020420e-01
2225,0.0180184,1.238020e+01,7.318250e+00,7.489730e+06,1.160020e+00,1.205810e-03,6.065820e-01
2250,0.0180184,1.234610e+01,7.812840e+00,7.678770e+06,1.157440e+00,1.189130e-03,6.111050e-01
2275,0.0180184,1.230800e+01,8.358160e+00,7.880800e+06,1.155280e+00,1.172430e-03,6.156070e-01
2300,0.0180184,1.226550e+01,8.958820e+00,8.097140e+06,1.153580e+00,1.155690e-03,6.200860e-01
2325,0.0180184,1.221830e+01,9.619960e+00,8.329240e+06,1.152350e+00,1.138860e-03,6.245390e-01
2350,0.0180184,1.216610e+01,1.034730e+01,8.578690e+06,1.151610e+00,1.121930e-03,6.289620e-01
2375,0.0180184,1.210830e+01,1.114720e+01,8.847210e+06,1.151370e+00,1.104850e-03,6.333500e-01
2400,0.0180184,1.204470e+01,1.202680e+01,9.136710e+06,1.151670e+00,1.087590e-03,6.376960e-01
2425,0.0180184,1.197470e+01,1.299400e+01,9.449280e+06,1.152510e+00,1.070120e-03,6.419930e-01
2450,0.0180184,1.189790e+01,1.405740e+01,9.787220e+06,1.153920e+00,1.052410e-03,6.462340e-01
2475,0.0180184,1.181380e+01,1.522630e+01,1.015300e+07,1.155920e+00,1.034420e-03,6.504070e-01
2500,0.0180184,1.172210e+01,1.651030e+01,1.054950e+07,1.158520e+00,1.016120e-03,6.545010e-01
2525,0.0180184,1.162210e+01,1.791860e+01,1.097960e+07,1.161770e+00,9.974830e-04,6.585060e-01
2550,0.0180184,1.151350e+01,1.945960e+01,1.144650e+07,1.165670e+00,9.784770e-04,6.624070e-01
2575,0.0180184,1.139600e+01,2.113930e+01,1.195370e+07,1.170240e+00,9.590810e-04,6.661900e-01
2600,0.0180184,1.126900e+01,2.295950e+01,1.250470e+07,1.175480e+00,9.392800e-04,6.698430e-01
2625,0.0180184,1.113250e+01,2.491590e+01,1.310280e+07,1.181370e+00,9.190660e-04,6.733530e-01
2650,0.0180184,1.098640e+01,2.699610e+01,1.375150e+07,1.187860e+00,8.984490e-04,6.767060e-01
2675,0.0180184,1.083090e+01,2.917700e+01,1.445350e+07,1.194870e+00,8.774520e-04,6.798950e-01
2700,0.0180184,1.066640e+01,3.142420e+01,1.521090e+07,1.202270e+00,8.561220e-04,6.829120e-01
2725,0.0180184,1.049360e+01,3.369170e+01,1.602490e+07,1.209910e+00,8.345260e-04,6.857520e-01
2750,0.0180184,1.031360e+01,3.592350e+01,1.689520e+07,1.217570e+00,8.127530e-04,6.884140e-01
2775,0.0180184,1.012770e+01,3.805730e+01,1.782020e+07,1.225050e+00,7.909160e-04,6.908960e-01
2800,0.0180184,9.937620e+00,4.002950e+01,1.879670e+07,1.232100e+00,7.691410e-04,6.931990e-01
2825,0.0180184,9.745070e+00,4.177980e+01,1.981980e+07,1.238530e+00,7.475640e-04,6.953230e-01
2850,0.0180184,9.551980e+00,4.325710e+01,2.088340e+07,1.244150e+00,7.263240e-04,6.972660e-01
2875,0.0180184,9.360190e+00,4.442270e+01,2.198010e+07,1.248840e+00,7.055520e-04,6.990280e-01
2900,0.0180184,9.171490e+00,4.525220e+01,2.310170e+07,1.252490e+00,6.853680e-04,7.006070e-01
2925,0.0180184,8.987450e+00,4.573660e+01,2.423980e+07,1.255090e+00,6.658740e-04,7.020020e-01
2950,0.0180184,8.809410e+00,4.588030e+01,2.538570e+07,1.256650e+00,6.471530e-04,7.032190e-01
2975,0.0180184,8.638480e+00,4.570000e+01,2.653110e+07,1.257210e+00,6.292630e-04,7.042630e-01
3000,0.0180184,8.475470e+00,4.522170e+01,2.766820e+07,1.256870e+00,6.122440e-04,7.051480e-01
3025,0.0180184,8.320960e+00,4.447840e+01,2.879000e+07,1.255710e+00,5.961150e-04,7.058920e-01
3050,0.0180184,8.175290e+00,4.350820e+01,2.989030e+07,1.253860e+00,5.808790e-04,7.065200e-01
3075,0.0180184,8.038610e+00,4.235220e+01,3.096390e+07,1.251430e+00,5.665230e-04,7.070570e-01
3100,0.0180184,7.910860e+00,4.105290e+01,3.200670e+07,1.248540e+00,5.530240e-04,7.075360e-01
3125,0.0180184,7.791880e+00,3.965280e+01,3.301570e+07,1.245310e+00,5.403490e-04,7.079860e-01
3150,0.0180184,7.681350e+00,3.819300e+01,3.398880e+07,1.241850e+00,5.284560e-04,7.084390e-01
3175,0.0180184,7.578890e+00,3.671230e+01,3.492520e+07,1.238260e+00,5.173020e-04,7.089220e-01
3200,0.0180184,7.484020e+00,3.524610e+01,3.582460e+07,1.234620e+00,5.068350e-04,7.094630e-01
3225,0.0180184,7.396240e+00,3.382550e+01,3.668780e+07,1.231000e+00,4.970080e-04,7.100820e-01
3250,0.0180184,7.314990e+00,3.247720e+01,3.751640e+07,1.227460e+00,4.877670e-04,7.107970e-01
3275,0.0180184,7.239710e+00,3.122260e+01,3.831250e+07,1.224050e+00,4.790620e-04,7.116210e-01
3300,0.0180184,7.169840e+00,3.007780e+01,3.907850e+07,1.220780e+00,4.708450e-04,7.125640e-01
3325,0.0180184,7.104830e+00,2.905420e+01,3.981740e+07,1.217690e+00,4.630670e-04,7.136310e-01
3350,0.0180184,7.044130e+00,2.815780e+01,4.053230e+07,1.214780e+00,4.556850e-04,7.148260e-01
3375,0.0180184,6.987250e+00,2.739020e+01,4.122630e+07,1.212060e+00,4.486570e-04,7.161480e-01
3400,0.0180184,6.933710e+00,2.674890e+01,4.190280e+07,1.209540e+00,4.419450e-04,7.175970e-01
3425,0.0180184,6.883060e+00,2.622730e+01,4.256480e+07,1.207230e+00,4.355150e-04,7.191680e-01
3450,0.0180184,6.834930e+00,2.581560e+01,4.321510e+07,1.205120e+00,4.293350e-04,7.208590e-01
3475,0.0180184,6.788950e+00,2.550080e+01,4.385640e+07,1.203240e+00,4.233790e-04,7.226660e-01
3500,0.0180184,6.744820e+00,2.526710e+01,4.449080e+07,1.201590e+00,4.176230e-04,7.245850e-01
3525,0.0180184,6.702290e+00,2.509630e+01,4.512030e+07,1.200170e+00,4.120470e-04,7.266130e-01
3550,0.0180184,6.661160e+00,2.496820e+01,4.574600e+07,1.199000e+00,4.066340e-04,7.287470e-01
3575,0.0180184,6.621270e+00,2.486090e+01,4.636880e+07,1.198080e+00,4.013720e-04,7.309850e-01
3600,0.0180184,6.582510e+00,2.475130e+01,4.698900e+07,1.197410e+00,3.962510e-04,7.333250e-01
3625,0.0180184,6.544810e+00,2.461580e+01,4.760620e+07,1.196990e+00,3.912650e-04,7.357670e-01
3650,0.0180184,6.508170e+00,2.443090e+01,4.821940e+07,1.196810e+00,3.864090e-04,7.383110e-01
3675,0.0180184,6.472600e+00,2.417450e+01,4.882710e+07,1.196870e+00,3.816830e-04,7.409570e-01
3700,0.0180184,6.438170e+00,2.382700e+01,4.942740e+07,1.197180e+00,3.770880e-04,7.437060e-01
3725,0.0180184,6.404960e+00,2.337250e+01,5.001760e+07,1.197740e+00,3.726250e-04,7.465580e-01
3750,0.0180184,6.373090e+00,2.280000e+01,5.059500e+07,1.198570e+00,3.682990e-04,7.495130e-01
3775,0.0180184,6.342670e+00,2.210510e+01,5.115660e+07,1.199710e+00,3.641140e-04,7.525700e-01
3800,0.0180184,6.313840e+00,2.129040e+01,5.169930e+07,1.201210e+00,3.600740e-04,7.557280e-01
3825,0.0180184,6.286700e+00,2.036590e+01,5.222020e+07,1.203130e+00,3.561830e-04,7.589820e-01
3850,0.0180184,6.261350e+00,1.934860e+01,5.271680e+07,1.205560e+00,3.524430e-04,7.623290e-01
3875,0.0180184,6.237860e+00,1.826110e+01,5.318700e+07,1.208610e+00,3.488560e-04,7.657620e-01
3900,0.0180184,6.216260e+00,1.713000e+01,5.362950e+07,1.212370e+00,3.454190e-04,7.692740e-01
3925,0.0180184,6.196550e+00,1.598330e+01,5.404340e+07,1.216950e+00,3.421310e-04,7.728560e-01
3950,0.0180184,6.178690e+00,1.484820e+01,5.442870e+07,1.222460e+00,3.389860e-04,7.765010e-01
3975,0.0180184,6.162620e+00,1.374860e+01,5.478610e+07,1.228960e+00,3.359780e-04,7.801990e-01
4000,0.0180184,6.148240e+00,1.270450e+01,5.511660e+07,1.236510e+00,3.330980e-04,7.839410e-01
200,0.0320418,2.575290e+01,1.321060e+00,-5.940200e+06,1.323440e+00,4.962240e-02,8.941740e-02
225,0.0320418,2.575290e+01,1.352440e+00,-5.906790e+06,1.313580e+00,4.410880e-02,9.938210e-02
250,0.0320418,2.575290e+01,1.388770e+00,-5.872540e+06,1.302890e+00,3.969790e-02,1.092570e-01
275,0.0320418,2.575290e+01,1.430940e+00,-5.837300e+06,1.291370e+00,3.608900e-02,1.190290e-01
300,0.0320418,2.575290e+01,1.478520e+00,-5.800950e+06,1.279380e+00,3.308160e-02,1.286830e-01
325,0.0320418,2.575280e+01,1.531240e+00,-5.763340e+06,1.267240e+00,3.053680e-02,1.385830e-01
350,0.0320418,2.575230e+01,1.590960e+00,-5.724330e+06,1.254900e+00,2.835510e-02,1.484120e-01
375,0.0320418,2.575050e+01,1.665690e+00,-5.683670e+06,1.241610e+00,2.646280e-02,1.581630e-01
400,0.0320418,2.574400e+01,1.777520e+00,-5.640740e+06,1.225670e+00,2.480260e-02,1.678390e-01
425,0.0320418,2.572480e+01,1.975420e+00,-5.594090e+06,1.205020e+00,2.332630e-02,1.774540e-01
450,0.0320418,2.567510e+01,2.351810e+00,-5.540500e+06,1.179550e+00,2.198780e-02,1.870540e-01
475,0.0320418,2.556090e+01,3.055190e+00,-5.473780e+06,1.153860e+00,2.073790e-02,1.967210e-01
500,0.0320418,2.532610e+01,4.276150e+00,-5.383420e+06,1.135370e+00,1.952000e-02,2.065910e-01
525,0.0320418,2.489810e+01,6.154150e+00,-5.254420e+06,1.128750e+00,1.827630e-02,2.164620e-01
550,0.0320418,2.421900e+01,8.526290e+00,-5.071400e+06,1.133320e+00,1.696970e-02,2.267500e-01
575,0.0320418,2.331280e+01,1.056440e+01,-4.830690e+06,1.143280e+00,1.562460e-02,2.373020e-01
600,0.0320418,2.233950e+01,1.091670e+01,-4.557460e+06,1.149930e+00,1.434840e-02,2.476310e-01
625,0.0320418,2.153010e+01,9.041640e+00,-4.303970e+06,1.149300e+00,1.327540e-02,2.569760e-01
650,0.0320418,2.101710e+01,6.717400e+00,-4.111070e+06,1.146690e+00,1.246070e-02,2.652280e-01
