Tw_K,P_bar,M[kg/kmol],Cp[kJ/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[millipoise]
1550,0.00101325,1.261130e+01,3.402380e+00,4.552950e+06,1.245140e+00,9.915400e-05,4.761270e-01
1575,0.00101325,1.260950e+01,3.451950e+00,4.638610e+06,1.241790e+00,9.756620e-05,4.812310e-01
1600,0.00101325,1.260730e+01,3.512460e+00,4.725640e+06,1.237990e+00,9.602530e-05,4.863130e-01
1625,0.00101325,1.260470e+01,3.585450e+00,4.814340e+06,1.233720e+00,9.452830e-05,4.913730e-01
1650,0.00101325,1.260150e+01,3.672840e+00,4.905040e+06,1.228990e+00,9.307220e-05,4.964140e-01
1675,0.00101325,1.259750e+01,3.776870e+00,4.998120e+06,1.223790e+00,9.165420e-05,5.014340e-01
1700,0.00101325,1.259270e+01,3.900160e+00,5.094040e+06,1.218160e+00,9.027140e-05,5.064360e-01
1725,0.00101325,1.258670e+01,4.045630e+00,5.193310e+06,1.212150e+00,8.892120e-05,5.114190e-01
1750,0.00101325,1.257950e+01,4.216570e+00,5.296530e+06,1.205810e+00,8.760050e-05,5.163840e-01
1775,0.00101325,1.257070e+01,4.416670e+00,5.404380e+06,1.199230e+00,8.630660e-05,5.213320e-01
1800,0.00101325,1.256020e+01,4.649970e+00,5.517640e+06,1.192510e+00,8.503660e-05,5.262640e-01
1825,0.00101325,1.254760e+01,4.920960e+00,5.637200e+06,1.185760e+00,8.378750e-05,5.311800e-01
1850,0.00101325,1.253260e+01,5.234570e+00,5.764050e+06,1.179110e+00,8.255620e-05,5.360800e-01
1875,0.00101325,1.251470e+01,5.596190e+00,5.899320e+06,1.172660e+00,8.133970e-05,5.409640e-01
1900,0.00101325,1.249370e+01,6.011770e+00,6.044310e+06,1.166540e+00,8.013470e-05,5.458330e-01
1925,0.00101325,1.246910e+01,6.487800e+00,6.200420e+06,1.160850e+00,7.893800e-05,5.506860e-01
1950,0.00101325,1.244030e+01,7.031440e+00,6.369260e+06,1.155670e+00,7.774610e-05,5.555230e-01
1975,0.00101325,1.240680e+01,7.650610e+00,6.552620e+06,1.151090e+00,7.655550e-05,5.603420e-01
2000,0.00101325,1.236810e+01,8.354070e+00,6.752490e+06,1.147160e+00,7.536260e-05,5.651410e-01
2025,0.00101325,1.232350e+01,9.151650e+00,6.971110e+06,1.143940e+00,7.416370e-05,5.697770e-01
2050,0.00101325,1.227230e+01,1.005440e+01,7.210950e+06,1.141470e+00,7.295510e-05,5.743840e-01
2075,0.00101325,1.221390e+01,1.107510e+01,7.474810e+06,1.139770e+00,7.173280e-05,5.789560e-01
2100,0.00101325,1.214740e+01,1.222810e+01,7.765810e+06,1.138870e+00,7.049280e-05,5.834880e-01
2125,0.00101325,1.207200e+01,1.353050e+01,8.087460e+06,1.138790e+00,6.923110e-05,5.879680e-01
2150,0.00101325,1.198680e+01,1.500210e+01,8.443740e+06,1.139560e+00,6.794360e-05,5.923860e-01
2175,0.00101325,1.189100e+01,1.666580e+01,8.839160e+06,1.141210e+00,6.662580e-05,5.967260e-01
2200,0.00101325,1.178360e+01,1.854810e+01,9.278850e+06,1.143780e+00,6.527360e-05,6.009710e-01
2225,0.00101325,1.166350e+01,2.067860e+01,9.768640e+06,1.147320e+00,6.388250e-05,6.050980e-01
2250,0.00101325,1.152980e+01,2.308800e+01,1.031510e+07,1.151860e+00,6.244830e-05,6.090830e-01
2275,0.00101325,1.138140e+01,2.580510e+01,1.092560e+07,1.157460e+00,6.096720e-05,6.128970e-01
2300,0.00101325,1.121750e+01,2.885000e+01,1.160810e+07,1.164150e+00,5.943600e-05,6.165110e-01
2325,0.00101325,1.103740e+01,3.222410e+01,1.237090e+07,1.171890e+00,5.785300e-05,6.198950e-01
2350,0.00101325,1.084090e+01,3.589800e+01,1.322180e+07,1.180600e+00,5.621860e-05,6.230220e-01
2375,0.00101325,1.062850e+01,3.979840e+01,1.416770e+07,1.190060e+00,5.453670e-05,6.258710e-01
2400,0.00101325,1.040130e+01,4.380000e+01,1.521260e+07,1.199920e+00,5.281500e-05,6.284270e-01
2425,0.00101325,1.016160e+01,4.772760e+01,1.635700e+07,1.209730e+00,5.106620e-05,6.306840e-01
2450,0.00101325,9.912740e+00,5.137180e+01,1.759660e+07,1.218930e+00,4.930710e-05,6.326440e-01
2475,0.00101325,9.658650e+00,5.451690e+01,1.892150e+07,1.226990e+00,4.755800e-05,6.343100e-01
2500,0.00101325,9.403830e+00,5.697320e+01,2.031670e+07,1.233450e+00,4.584020e-05,6.356900e-01
2525,0.00101325,9.152810e+00,5.860490e+01,2.176320e+07,1.238000e+00,4.417480e-05,6.367910e-01
2550,0.00101325,8.909700e+00,5.934520e+01,2.323950e+07,1.240530e+00,4.257990e-05,6.376240e-01
2575,0.00101325,8.677950e+00,5.919680e+01,2.472310e+07,1.241070e+00,4.106970e-05,6.382070e-01
2600,0.00101325,8.460160e+00,5.822250e+01,2.619240e+07,1.239830e+00,3.965400e-05,6.385670e-01
2625,0.00101325,8.258030e+00,5.652940e+01,2.762820e+07,1.237070e+00,3.833800e-05,6.387470e-01
2650,0.00101325,8.072490e+00,5.425190e+01,2.901400e+07,1.233130e+00,3.712310e-05,6.388000e-01
2675,0.00101325,7.903770e+00,5.153820e+01,3.033720e+07,1.228350e+00,3.600750e-05,6.387900e-01
2700,0.00101325,7.751530e+00,4.853790e+01,3.158860e+07,1.223070e+00,3.498690e-05,6.387800e-01
2725,0.00101325,7.615040e+00,4.539360e+01,3.276290e+07,1.217580e+00,3.405550e-05,6.388330e-01
2750,0.00101325,7.493260e+00,4.223430e+01,3.385810e+07,1.212140e+00,3.320630e-05,6.390040e-01
2775,0.00101325,7.384970e+00,3.917020e+01,3.487540e+07,1.206940e+00,3.243160e-05,6.393360e-01
2800,0.00101325,7.288830e+00,3.629080e+01,3.581820e+07,1.202130e+00,3.172350e-05,6.398610e-01
2825,0.00101325,7.203460e+00,3.366390e+01,3.669200e+07,1.197760e+00,3.107450e-05,6.405960e-01
2850,0.00101325,7.127490e+00,3.133610e+01,3.750390e+07,1.193870e+00,3.047710e-05,6.415480e-01
2875,0.00101325,7.059600e+00,2.933570e+01,3.826160e+07,1.190400e+00,2.992430e-05,6.427140e-01
2900,0.00101325,6.998550e+00,2.767450e+01,3.897350e+07,1.187290e+00,2.940980e-05,6.440860e-01
2925,0.00101325,6.943190e+00,2.635190e+01,3.964810e+07,1.184460e+00,2.892780e-05,6.456480e-01
2950,0.00101325,6.892470e+00,2.535690e+01,4.029380e+07,1.181810e+00,2.847310e-05,6.473840e-01
2975,0.00101325,6.845450e+00,2.467100e+01,4.091850e+07,1.179300e+00,2.804120e-05,6.492730e-01
3000,0.00101325,6.801310e+00,2.426960e+01,4.152970e+07,1.176920e+00,2.762820e-05,6.512980e-01
3025,0.00101325,6.759300e+00,2.412370e+01,4.213410e+07,1.174670e+00,2.723070e-05,6.534400e-01
3050,0.00101325,6.718830e+00,2.419990e+01,4.273780e+07,1.172590e+00,2.684570e-05,6.556840e-01
3075,0.00101325,6.679360e+00,2.446060e+01,4.334570e+07,1.170760e+00,2.647110e-05,6.580160e-01
3100,0.00101325,6.640490e+00,2.486410e+01,4.396200e+07,1.169220e+00,2.610480e-05,6.604250e-01
3125,0.00101325,6.601910e+00,2.536360e+01,4.458970e+07,1.168020e+00,2.574550e-05,6.629020e-01
3150,0.00101325,6.563420e+00,2.590720e+01,4.523050e+07,1.167190e+00,2.539230e-05,6.654420e-01
3175,0.00101325,6.524920e+00,2.643790e+01,4.588490e+07,1.166730e+00,2.504460e-05,6.680440e-01
3200,0.00101325,6.486410e+00,2.689390e+01,4.655180e+07,1.166630e+00,2.470230e-05,6.707070e-01
3225,0.00101325,6.448030e+00,2.721080e+01,4.722850e+07,1.166870e+00,2.436570e-05,6.734360e-01
3250,0.00101325,6.409970e+00,2.732470e+01,4.791070e+07,1.167400e+00,2.403560e-05,6.762350e-01
3275,0.00101325,6.372560e+00,2.717720e+01,4.859250e+07,1.168220e+00,2.371290e-05,6.791120e-01
3300,0.00101325,6.336160e+00,2.672230e+01,4.926690e+07,1.169320e+00,2.339880e-05,6.820750e-01
3325,0.00101325,6.301220e+00,2.593330e+01,4.992580e+07,1.170760e+00,2.309480e-05,6.851310e-01
3350,0.00101325,6.268140e+00,2.481060e+01,5.056080e+07,1.172630e+00,2.280220e-05,6.882850e-01
3375,0.00101325,6.237350e+00,2.338480e+01,5.116380e+07,1.175100e+00,2.252210e-05,6.915410e-01
3400,0.00101325,6.209150e+00,2.171630e+01,5.172800e+07,1.178400e+00,2.225540e-05,6.948970e-01
3425,0.00101325,6.183780e+00,1.988850e+01,5.224830e+07,1.182830e+00,2.200270e-05,6.983510e-01
3450,0.00101325,6.161330e+00,1.799540e+01,5.272190e+07,1.188700e+00,2.176390e-05,7.018920e-01
3475,0.00101325,6.141750e+00,1.612800e+01,5.314830e+07,1.196320e+00,2.153870e-05,7.055110e-01
3500,0.00101325,6.124920e+00,1.436220e+01,5.352920e+07,1.205930e+00,2.132620e-05,7.091940e-01
3525,0.00101325,6.110600e+00,1.275150e+01,5.386770e+07,1.217680e+00,2.112550e-05,7.129280e-01
3550,0.00101325,6.098520e+00,1.132560e+01,5.416830e+07,1.231600e+00,2.093520e-05,7.167010e-01
3575,0.00101325,6.088390e+00,1.009320e+01,5.443560e+07,1.247550e+00,2.075430e-05,7.205030e-01
3600,0.00101325,6.079930e+00,9.047690e+00,5.467450e+07,1.265260e+00,2.058150e-05,7.243230e-01
3625,0.00101325,6.072860e+00,8.172920e+00,5.488940e+07,1.284330e+00,2.041580e-05,7.281550e-01
3650,0.00101325,6.066960e+00,7.448050e+00,5.508440e+07,1.304290e+00,2.025630e-05,7.319930e-01
3675,0.00101325,6.062030e+00,6.851140e+00,5.526290e+07,1.324610e+00,2.010210e-05,7.358330e-01
3700,0.00101325,6.057890e+00,6.361360e+00,5.542790e+07,1.344790e+00,1.995270e-05,7.396730e-01
3725,0.00101325,6.054400e+00,5.960130e+00,5.558170e+07,1.364390e+00,1.980740e-05,7.435110e-01
3750,0.00101325,6.051450e+00,5.631530e+00,5.572650e+07,1.383020e+00,1.966570e-05,7.473450e-01
3775,0.00101325,6.048940e+00,5.362300e+00,5.586380e+07,1.400400e+00,1.952740e-05,7.511750e-01
3800,0.00101325,6.046800e+00,5.141620e+00,5.599500e+07,1.416340e+00,1.939210e-05,7.550020e-01
