Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,"C6H5OH,phenol",HNC,C(gr)
0.1,0.001,3.000000e+02,8.473090e-03,-3.174830e+00,1.502170e-114,8.963050e-37,2.560250e-74,1.348190e-78,1.228540e-03,2.122240e-70,4.466940e-10,1.383970e-01,1.271300e-132,7.536370e-93,9.910540e-42,1.855540e-132,6.383070e-170,2.270660e-78,1.502000e-171,2.563190e-24,4.556520e-05,1.514110e-01,7.089180e-01,4.811010e-45,2.426810e-109,6.070990e-112,2.660020e-80,2.137190e-42,2.142710e-50,8.493860e-35,1.000000e+00
0.1,0.001,3.250000e+02,9.149970e-03,-3.145290e+00,5.992150e-105,1.490250e-33,2.417040e-68,2.894570e-72,1.923950e-03,1.596690e-64,6.413070e-09,1.391510e-01,1.704390e-121,5.783490e-85,4.486380e-38,3.318940e-121,1.006670e-155,9.658270e-72,3.496050e-157,3.095780e-22,1.813300e-04,1.498740e-01,7.088700e-01,9.472320e-42,7.418370e-101,9.096550e-103,2.389080e-74,1.694600e-39,2.929490e-47,6.805350e-32,1.000000e+00
0.1,0.001,3.500000e+02,1.002790e-02,-3.114520e+00,1.023700e-96,8.622910e-31,3.216570e-63,7.773600e-67,2.766800e-03,1.744300e-59,6.323030e-08,1.401710e-01,5.975630e-112,3.336890e-78,6.090880e-35,1.479450e-111,1.511250e-143,4.671250e-66,7.347610e-145,1.882460e-20,5.921310e-04,1.477450e-01,7.087240e-01,6.238580e-39,1.395770e-93,6.718190e-95,3.054760e-69,4.991420e-37,1.385180e-44,2.100710e-29,1.000000e+00
0.1,0.001,3.750000e+02,1.113490e-02,-3.081890e+00,1.405130e-89,2.139820e-28,8.929120e-59,3.956010e-62,3.694130e-03,4.066870e-55,4.614470e-07,1.415530e-01,1.133040e-103,2.421610e-72,3.143620e-32,3.432750e-103,5.465930e-133,3.950150e-61,3.565190e-134,6.598120e-19,1.644470e-03,1.447570e-01,7.083510e-01,1.704070e-36,2.821920e-87,4.460060e-88,8.208860e-65,6.608180e-35,2.781250e-42,3.016630e-27,1.000000e+00
0.1,0.001,4.000000e+02,1.251940e-02,-3.046270e+00,2.484250e-83,2.660510e-26,6.939730e-55,5.209030e-58,4.594130e-03,2.701410e-51,2.637770e-06,1.434590e-01,2.003980e-96,3.248040e-67,7.350130e-30,7.205280e-96,9.560040e-124,8.045010e-57,8.078190e-125,1.473490e-17,3.979990e-03,1.404420e-01,7.075220e-01,2.260290e-34,9.309320e-82,4.177110e-82,6.209870e-61,4.500990e-33,2.745040e-40,2.318210e-25,1.000000e+00
0.1,0.001,4.250000e+02,1.424940e-02,-3.005990e+00,8.117240e-78,1.863630e-24,1.891860e-51,2.251750e-54,5.299420e-03,6.375810e-48,1.233780e-05,1.461190e-01,5.017060e-90,1.079050e-62,8.872950e-28,2.088200e-89,1.377910e-115,5.024740e-53,1.465210e-116,2.259410e-16,8.524310e-03,1.341370e-01,7.059080e-01,1.634760e-32,6.895540e-77,7.789970e-77,1.653830e-57,1.731040e-31,1.474700e-38,1.059310e-23,1.000000e+00
0.1,0.001,4.500000e+02,1.639640e-02,-2.959150e+00,6.491420e-73,8.043870e-23,2.155950e-48,3.845440e-51,5.613200e-03,6.348760e-45,4.885990e-05,1.497650e-01,2.459550e-84,1.113190e-58,6.101700e-26,1.161220e-83,2.477920e-108,1.157580e-49,3.235810e-109,2.516870e-15,1.629590e-02,1.251370e-01,7.031400e-01,7.019660e-31,1.469780e-72,3.782120e-72,1.845110e-54,3.999190e-30,4.619920e-37,3.118680e-22,1.000000e+00
0.1,0.001,4.750000e+02,1.900950e-02,-2.904260e+00,1.586080e-68,2.293690e-21,1.179180e-45,3.002750e-48,5.392720e-03,3.054750e-42,1.682390e-04,1.544980e-01,3.051090e-79,4.259010e-55,2.577660e-24,1.606800e-78,7.715090e-102,1.135600e-46,1.211830e-102,2.127310e-14,2.793540e-02,1.130330e-01,6.989720e-01,1.906900e-29,1.096650e-68,5.907740e-68,9.889000e-52,5.789540e-29,8.849280e-36,6.295730e-21,1.000000e+00
0.1,0.001,5.000000e+02,2.208890e-02,-2.841160e+00,1.414010e-64,4.569770e-20,3.453690e-43,1.205340e-45,4.657700e-03,7.918220e-40,5.140280e-04,1.601190e-01,1.175920e-74,6.967500e-52,7.109600e-23,6.811790e-74,5.405850e-96,5.324740e-44,1.003310e-96,1.413180e-13,4.312390e-02,9.811910e-02,6.934660e-01,3.446930e-28,3.351530e-65,3.517630e-64,2.839200e-49,5.439790e-28,1.076780e-34,9.164140e-20,1.000000e+00
0.1,0.001,5.250000e+02,2.557690e-02,-2.771110e+00,5.310650e-61,6.668840e-19,5.911050e-41,2.735380e-43,3.617500e-03,1.207830e-37,1.414810e-03,1.660110e-01,1.662770e-70,5.479700e-49,1.350040e-21,1.047120e-69,1.054130e-90,1.315260e-41,2.276470e-91,7.607870e-13,6.037840e-02,8.154790e-02,6.870300e-01,4.337240e-27,4.766840e-62,9.161710e-61,4.765350e-47,3.450950e-27,8.668330e-34,1.003960e-18,1.000000e+00
0.1,0.001,5.500000e+02,2.940750e-02,-2.695520e+00,9.451540e-58,7.431030e-18,6.341650e-39,3.793900e-41,2.556460e-03,1.165630e-35,3.547260e-03,1.711560e-01,9.884180e-67,2.286990e-46,1.854030e-20,6.700040e-66,6.806800e-86,1.864160e-39,1.687670e-86,3.413800e-12,7.757370e-02,6.498720e-02,6.801790e-01,3.971100e-26,3.503670e-59,1.168340e-57,5.017290e-45,1.553350e-26,4.850100e-33,8.599480e-18,1.000000e+00
0.1,0.001,5.750000e+02,3.364080e-02,-2.613360e+00,8.784870e-55,6.561190e-17,4.514660e-37,3.429400e-39,1.678040e-03,7.554880e-34,8.168010e-03,1.742400e-01,2.764290e-63,5.511210e-44,1.928330e-19,1.999940e-62,1.680420e-81,1.635880e-37,4.727630e-82,1.310160e-11,9.284780e-02,4.993880e-02,6.731270e-01,2.763760e-25,1.450690e-56,8.006160e-55,3.507880e-43,5.253370e-26,1.994610e-32,5.958780e-17,1.000000e+00
0.1,0.001,6.000000e+02,3.863270e-02,-2.518800e+00,4.624220e-52,4.741510e-16,2.233550e-35,2.130540e-37,1.046990e-03,3.454960e-32,1.736960e-02,1.736860e-01,3.995060e-60,8.239770e-42,1.583220e-18,3.062650e-59,1.787940e-77,9.498870e-36,5.649010e-78,4.398820e-11,1.051520e-01,3.724160e-02,6.655040e-01,1.521200e-24,3.632780e-54,3.184540e-52,1.704260e-41,1.412620e-25,6.365360e-32,3.440180e-16,1.000000e+00
0.1,0.001,6.250000e+02,4.513560e-02,-2.400360e+00,1.475650e-49,2.882090e-15,7.965720e-34,9.507410e-36,6.333440e-04,1.161440e-30,3.419810e-02,1.676020e-01,3.228700e-57,8.119600e-40,1.062680e-17,2.606250e-56,9.067370e-74,3.859870e-34,3.188020e-74,1.316220e-10,1.141870e-01,2.704360e-02,6.563360e-01,6.832630e-24,5.834330e-52,7.840810e-50,5.958200e-40,3.168820e-25,1.647050e-31,1.695610e-15,1.000000e+00
0.1,0.001,6.500000e+02,5.423480e-02,-2.242580e+00,3.024120e-47,1.506810e-14,2.104690e-32,3.162030e-34,3.765480e-04,2.970040e-29,6.224340e-02,1.539310e-01,1.559960e-54,5.546380e-38,5.997430e-17,1.318690e-53,2.386850e-70,1.149190e-32,9.262920e-71,3.561290e-10,1.200560e-01,1.907820e-02,6.443150e-01,2.556450e-23,6.309800e-50,1.261300e-47,1.536980e-38,6.147490e-25,3.556680e-31,7.274920e-15,1.000000e+00
0.1,0.001,6.750000e+02,6.698060e-02,-2.032140e+00,4.180330e-45,6.900740e-14,4.195600e-31,8.088130e-33,2.218950e-04,5.948470e-28,1.040630e-01,1.312830e-01,4.769950e-52,2.739450e-36,2.910360e-16,4.202540e-51,3.507020e-67,2.602780e-31,1.491360e-67,8.814370e-10,1.230340e-01,1.296240e-02,6.284360e-01,8.048200e-23,4.790070e-48,1.388010e-45,2.973360e-37,1.058450e-24,6.504610e-31,2.760140e-14,1.000000e+00
0.1,0.001,7.000000e+02,8.351880e-02,-1.770540e+00,4.065410e-43,2.811980e-13,6.375240e-30,1.636010e-31,1.305440e-04,9.575460e-27,1.580930e-01,1.007170e-01,9.692660e-50,1.014400e-34,1.237870e-15,8.863110e-49,3.061090e-64,4.631210e-30,1.417130e-64,2.017250e-09,1.236020e-01,8.374420e-03,6.090820e-01,2.138830e-22,2.649590e-46,1.087900e-43,4.358420e-36,1.653640e-24,1.014780e-30,9.394540e-14,1.000000e+00
0.1,0.001,7.250000e+02,1.019190e-01,-1.488530e+00,2.884350e-41,1.034610e-12,7.437200e-29,2.685560e-30,7.751470e-05,1.269280e-25,2.158590e-01,6.739700e-02,1.365210e-47,2.908760e-33,4.702770e-15,1.290860e-46,1.674860e-61,6.671930e-29,8.391590e-62,4.322150e-09,1.226210e-01,5.091590e-03,5.889540e-01,4.820460e-22,1.107090e-44,6.300070e-42,4.894800e-35,2.406360e-24,1.366260e-30,2.913390e-13,1.000000e+00
0.1,0.001,7.500000e+02,1.182950e-01,-1.239710e+00,1.540670e-39,3.485620e-12,6.761720e-28,3.665300e-29,4.713970e-05,1.417380e-24,2.647030e-01,3.898340e-02,1.382470e-45,6.651470e-32,1.626390e-14,1.347210e-44,6.018320e-59,8.009090e-28,3.246140e-59,8.790420e-09,1.212030e-01,2.920370e-03,5.721430e-01,9.369000e-22,3.617830e-43,2.787630e-40,4.305190e-34,3.362300e-24,1.630260e-30,8.368840e-13,1.000000e+00
0.1,0.001,7.750000e+02,1.296430e-01,-1.060860e+00,6.367950e-38,1.087760e-11,4.949580e-27,4.245000e-28,2.965860e-05,1.359160e-23,2.970680e-01,2.010390e-02,1.039040e-43,1.243560e-30,5.198710e-14,1.040510e-42,1.479110e-56,8.203320e-27,8.547220e-57,1.715270e-08,1.201370e-01,1.612500e-03,5.610480e-01,1.621430e-21,9.517820e-42,9.697630e-39,3.077980e-33,4.613680e-24,1.791990e-30,2.256010e-12,1.000000e+00
0.1,0.001,8.000000e+02,1.360480e-01,-9.473730e-01,2.086110e-36,3.169410e-11,3.045720e-26,4.236960e-27,1.930760e-05,1.135400e-22,3.147750e-01,9.781040e-03,5.959930e-42,1.938580e-29,1.549740e-13,6.117140e-41,2.576210e-54,7.287840e-26,1.587960e-54,3.226580e-08,1.195700e-01,8.815050e-04,5.549730e-01,2.590710e-21,2.057550e-40,2.713000e-37,1.866330e-32,6.258590e-24,1.880050e-30,5.746330e-12,1.000000e+00
0.1,0.001,8.250000e+02,1.392650e-01,-8.749600e-01,5.532000e-35,8.671470e-11,1.635570e-25,3.689510e-26,1.294010e-05,8.356660e-22,3.234910e-01,4.713080e-03,2.673740e-40,2.560470e-28,4.331350e-13,2.806090e-39,3.280870e-52,5.682820e-25,2.148530e-52,5.860480e-08,1.193250e-01,4.875050e-04,5.519700e-01,3.927930e-21,3.711660e-39,6.217860e-36,9.930990e-32,8.377380e-24,1.926260e-30,1.387700e-11,1.000000e+00
