Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,"C6H5OH,phenol",HNC,C(gr)
1.0,0.001,6.000000e+02,0.000000e+00,-4.004900e+00,4.624220e-52,9.812630e-16,1.760890e-35,1.389440e-37,1.920520e-02,2.253170e-32,1.369390e-02,1.079530e-01,3.995060e-60,1.705240e-41,6.780790e-18,3.062650e-59,1.787940e-77,4.068270e-35,5.649010e-78,5.936850e-11,4.503560e-01,1.257490e-01,2.830430e-01,1.062990e-23,1.545040e-54,2.076820e-52,5.714450e-42,1.109790e-23,3.942520e-30,4.643030e-16,1.000000e+00
1.0,0.001,6.250000e+02,0.000000e+00,-3.706960e+00,1.475650e-49,5.915110e-15,6.510440e-34,6.151570e-36,1.123730e-02,7.514860e-31,2.795030e-02,1.119560e-01,3.228700e-57,1.666440e-39,4.476230e-17,2.606250e-56,9.067370e-74,1.625870e-33,3.188020e-74,1.747860e-10,4.809810e-01,9.310260e-02,2.747720e-01,4.827700e-23,2.442520e-52,5.073230e-50,2.038670e-40,2.368270e-23,1.006070e-29,2.251670e-15,1.000000e+00
1.0,0.001,6.500000e+02,0.000000e+00,-3.365070e+00,3.024120e-47,3.074270e-14,1.764100e-32,2.034940e-34,6.524590e-03,1.911380e-29,5.217090e-02,1.081430e-01,1.559960e-54,1.131600e-37,2.496500e-16,1.318690e-53,2.386850e-70,4.783650e-32,9.262920e-71,4.676010e-10,4.997470e-01,6.656410e-02,2.668510e-01,1.819800e-22,2.613280e-50,8.117140e-48,5.335480e-39,4.434010e-23,2.150200e-29,9.552060e-15,1.000000e+00
1.0,0.001,6.750000e+02,0.000000e+00,-2.960610e+00,4.180330e-45,1.402520e-13,3.572910e-31,5.188110e-33,3.786190e-03,3.815630e-28,8.861830e-02,9.520620e-02,4.769950e-52,5.567710e-36,1.202190e-15,4.202540e-51,3.507020e-67,1.075140e-30,1.491360e-67,1.149120e-09,5.082190e-01,4.559740e-02,2.585730e-01,5.753960e-22,1.970900e-48,8.903370e-46,1.041830e-37,7.460230e-23,3.904180e-29,3.598370e-14,1.000000e+00
1.0,0.001,7.000000e+02,0.000000e+00,-2.500110e+00,4.065410e-43,5.703340e-13,5.472180e-30,1.047830e-31,2.209140e-03,6.132860e-27,1.356990e-01,7.420490e-02,9.692660e-50,2.057430e-34,5.092230e-15,8.863110e-49,3.061090e-64,1.905150e-29,1.417130e-64,2.620470e-09,5.084650e-01,2.957010e-02,2.498520e-01,1.531760e-21,1.086890e-46,6.967760e-44,1.534620e-36,1.151180e-22,6.063710e-29,1.220380e-13,1.000000e+00
1.0,0.001,7.250000e+02,0.000000e+00,-2.035530e+00,2.884350e-41,2.097060e-12,6.394410e-29,1.719780e-30,1.308320e-03,8.128210e-26,1.855930e-01,4.982220e-02,1.365210e-47,5.895770e-33,1.932050e-14,1.290860e-46,1.674860e-61,2.741050e-28,8.391590e-62,5.610110e-09,5.037690e-01,1.798500e-02,2.415230e-01,3.451260e-21,4.540040e-45,4.034450e-42,1.725850e-35,1.668620e-22,8.145540e-29,3.781550e-13,1.000000e+00
1.0,0.001,7.500000e+02,0.000000e+00,-1.645420e+00,1.540670e-39,7.066150e-12,5.803240e-28,2.348560e-29,7.961580e-04,9.081920e-25,2.271810e-01,2.871480e-02,1.382470e-45,1.348410e-31,6.683920e-14,1.347210e-44,6.018320e-59,3.291470e-27,3.246140e-59,1.141840e-08,4.981050e-01,1.030050e-02,2.349030e-01,6.699090e-21,1.485360e-43,1.786190e-40,1.517010e-34,2.333750e-22,9.711550e-29,1.087080e-12,1.000000e+00
1.0,0.001,7.750000e+02,0.000000e+00,-1.372740e+00,6.367950e-38,2.205860e-11,4.238510e-27,2.721700e-28,5.015770e-04,8.714330e-24,2.543900e-01,1.474240e-02,1.039040e-43,2.521810e-30,2.137910e-13,1.040510e-42,1.479110e-56,3.373520e-26,8.547220e-57,2.230190e-08,4.940520e-01,5.678550e-03,2.306360e-01,1.157930e-20,3.912580e-42,6.217680e-39,1.083520e-33,3.208700e-22,1.067240e-28,2.933260e-12,1.000000e+00
1.0,0.001,8.000000e+02,0.000000e+00,-1.200210e+00,2.086110e-36,6.428480e-11,2.604850e-26,2.717510e-27,3.267750e-04,7.282260e-23,2.692110e-01,7.154330e-03,5.959930e-42,3.932010e-29,6.375570e-13,6.117140e-41,2.576210e-54,2.998190e-25,1.587960e-54,4.197480e-08,4.919070e-01,3.101540e-03,2.283000e-01,1.848850e-20,8.464180e-41,1.740070e-37,6.566200e-33,4.357690e-22,1.119550e-28,7.475450e-12,1.000000e+00
1.0,0.001,8.250000e+02,0.000000e+00,-1.088490e+00,5.532000e-35,1.758930e-10,1.398190e-25,2.366690e-26,2.190590e-04,5.360520e-22,2.765420e-01,3.444300e-03,2.673740e-40,5.193680e-28,1.782110e-12,2.806090e-39,3.280870e-52,2.338170e-24,2.148530e-52,7.625400e-08,4.909560e-01,1.714700e-03,2.271240e-01,2.802390e-20,1.527270e-39,3.988550e-36,3.493320e-32,5.835040e-22,1.146960e-28,1.805610e-11,1.000000e+00
