Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,Si,SiO,SiO2,Si2,SiN,C(gr),SiO2(a-qz),SiO2(b-qz),SiO2(b-crt)
0.5,0.001,3.000000e+02,0.000000e+00,1.000490e+01,1.502170e-114,1.713680e-36,1.883010e-134,3.482330e-79,1.641680e-02,5.481650e-71,3.285340e-70,7.486310e-122,1.271300e-132,1.440910e-92,3.622820e-41,1.855540e-132,6.383070e-170,8.300420e-78,1.502000e-171,1.265820e-24,1.665640e-04,4.070760e-61,4.729670e-02,2.473030e-104,1.619090e-110,1.568110e-112,1.305240e-141,1.043980e-40,2.820140e-99,1.925530e-69,7.814970e-34,3.216780e-23,1.446890e-12,2.820600e-84,1.657160e-63,1.643240e-127,7.698040e-109,1.614870e-190,3.555280e-103,1.596740e-24,1.937800e-28,1.972440e-90,9.361200e-01,4.507720e-21,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,3.250000e+02,0.000000e+00,1.002220e+01,5.992150e-105,2.539880e-33,4.517450e-123,7.476130e-73,1.623370e-02,4.123960e-65,1.198610e-63,4.860800e-111,1.704390e-121,9.857030e-85,1.303190e-37,3.318940e-121,1.006670e-155,2.805510e-71,3.496050e-157,1.362760e-22,5.267230e-04,8.136680e-56,4.728810e-02,8.764650e-96,4.948740e-102,2.349470e-103,2.978710e-130,4.153400e-38,5.035680e-91,1.028690e-63,4.023600e-31,1.601810e-21,3.371880e-12,1.675890e-77,2.582540e-58,1.373880e-117,1.341960e-100,1.954590e-174,2.196520e-94,2.215880e-22,1.315380e-25,1.507960e-82,9.359510e-01,1.494580e-19,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,3.500000e+02,0.000000e+00,1.004050e+01,1.023700e-96,1.332610e-30,2.578420e-113,2.007540e-67,1.578260e-02,4.504670e-60,5.068580e-58,9.007020e-102,5.975630e-112,5.156950e-78,1.454720e-34,1.479450e-111,1.511250e-143,1.115660e-65,7.347610e-145,7.513070e-21,1.414230e-03,2.828630e-51,4.726720e-02,1.845860e-88,9.308860e-95,1.734980e-95,1.633130e-120,6.800280e-36,5.980180e-84,8.342250e-59,8.424710e-29,4.477900e-20,6.753740e-12,1.062320e-71,7.272140e-54,4.284660e-109,1.512760e-93,1.193060e-160,7.537390e-87,1.523550e-20,3.511810e-23,8.611070e-76,9.355360e-01,3.000170e-18,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,3.750000e+02,0.000000e+00,1.006060e+01,1.405130e-89,3.028750e-28,7.388140e-105,1.021430e-62,1.482700e-02,1.050050e-55,3.818110e-53,9.691060e-94,1.133040e-103,3.427600e-72,6.297950e-32,3.432750e-103,5.465930e-133,7.913770e-61,3.565190e-134,2.411330e-19,3.294540e-03,2.399590e-47,4.722270e-02,3.998230e-82,1.881250e-88,1.151570e-88,4.528060e-112,5.313630e-34,8.071320e-78,1.480520e-54,8.451000e-27,7.728630e-19,1.162650e-11,1.105970e-66,5.125060e-50,9.384280e-102,1.850440e-87,1.056740e-148,2.545130e-80,5.969970e-19,4.442250e-21,6.167170e-70,9.346560e-01,4.031300e-17,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,4.000000e+02,0.000000e+00,1.008370e+01,2.484250e-83,3.456420e-26,1.861000e-97,1.344590e-58,1.308730e-02,6.973070e-52,7.073610e-49,1.031660e-86,2.003980e-96,4.219710e-67,1.240560e-29,7.205280e-96,9.560040e-124,1.357840e-56,8.078190e-125,4.941300e-18,6.717460e-03,6.356590e-44,4.714170e-02,1.329090e-76,6.202740e-83,1.078220e-82,1.109560e-104,2.164100e-32,1.843740e-72,7.509120e-51,4.540980e-25,8.711350e-18,1.681470e-11,2.584290e-62,1.141220e-46,2.276290e-95,3.539340e-82,3.001450e-138,1.293970e-74,1.480830e-17,3.061490e-19,8.171940e-65,9.330540e-01,3.908990e-16,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,4.250000e+02,0.000000e+00,1.011020e+01,8.117240e-78,2.207090e-24,6.325500e-91,5.811360e-55,1.042480e-02,1.645480e-48,4.125210e-45,1.633510e-80,5.017060e-90,1.277920e-62,1.244480e-27,2.088200e-89,1.377910e-115,7.047490e-53,1.465210e-116,6.905780e-17,1.195580e-02,6.290350e-41,4.701780e-02,9.079100e-72,4.592850e-78,2.010450e-77,3.683090e-98,4.776040e-31,9.621380e-68,1.322460e-47,1.403540e-23,6.568480e-17,1.951550e-11,1.696920e-58,9.461230e-44,8.459880e-90,1.360410e-77,5.013610e-129,1.364980e-69,2.519780e-16,1.279210e-17,2.697300e-60,9.306010e-01,2.897310e-15,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,4.500000e+02,0.000000e+00,1.013920e+01,6.491420e-73,8.546190e-23,4.048800e-85,9.927780e-52,7.152230e-03,1.639060e-45,9.175740e-42,5.281870e-75,2.459550e-84,1.182710e-58,6.887580e-26,1.161220e-83,2.477920e-108,1.306670e-49,3.235810e-109,6.903590e-16,1.839480e-02,2.652700e-38,4.686560e-02,1.580990e-67,9.796380e-74,9.764310e-73,2.309520e-92,5.752000e-30,1.442910e-63,9.338480e-45,2.607480e-22,3.324150e-16,1.714040e-11,3.686730e-55,3.280060e-41,6.081780e-85,1.247870e-73,7.893270e-121,3.819090e-65,3.131830e-15,3.522150e-16,2.795010e-56,9.275870e-01,1.717310e-14,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,4.750000e+02,0.000000e+00,1.016750e+01,1.586080e-68,2.142910e-21,6.348720e-80,7.763530e-49,4.108540e-03,7.897970e-43,9.058010e-39,4.478520e-70,3.051090e-79,3.979040e-55,2.249910e-24,1.606800e-78,7.715090e-102,9.912120e-47,1.211830e-102,5.138540e-15,2.438340e-02,5.311920e-36,4.672390e-02,8.372270e-64,7.330740e-70,1.527430e-68,3.559080e-87,3.850020e-29,7.470800e-60,2.974920e-42,3.033980e-21,1.141770e-15,1.101660e-11,3.034580e-52,5.245830e-39,1.027290e-80,3.168350e-70,1.699340e-113,3.447650e-61,2.988590e-14,6.826080e-15,1.091550e-52,9.247840e-01,8.440240e-14,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,5.000000e+02,0.000000e+00,1.019240e+01,1.414010e-64,3.713180e-20,3.010190e-75,3.125490e-46,2.030380e-03,2.053220e-40,4.480210e-36,1.216370e-65,1.175920e-74,5.661460e-52,4.694050e-23,6.811790e-74,5.405850e-96,3.515610e-44,1.003310e-96,2.977520e-14,2.847220e-02,5.646350e-34,4.662720e-02,1.611750e-60,2.253500e-66,9.121300e-65,1.663880e-82,1.565640e-28,1.565920e-56,4.816890e-40,2.371960e-20,2.822410e-15,5.434600e-12,1.094690e-49,4.345800e-37,5.068640e-77,2.701130e-67,6.738300e-107,1.189370e-57,2.278830e-13,9.816740e-14,1.859620e-49,9.228700e-01,3.540980e-13,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,5.250000e+02,0.000000e+00,1.021360e+01,5.310650e-61,4.750260e-19,5.118480e-71,7.122150e-44,9.312680e-04,3.144840e-38,1.225110e-33,1.244770e-61,1.662770e-70,3.903220e-49,6.849850e-22,1.047120e-69,1.054130e-90,6.673380e-42,2.276470e-91,1.410990e-13,3.063480e-02,3.582800e-32,4.657610e-02,1.357340e-57,3.231600e-63,2.385450e-61,2.797420e-78,4.507520e-28,1.532180e-53,4.485410e-38,1.373360e-19,5.556970e-15,2.318910e-12,2.027790e-47,2.132950e-35,9.321630e-74,9.804170e-65,6.264970e-101,1.822990e-54,1.433690e-12,1.093230e-12,1.555810e-46,9.218580e-01,1.297490e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,5.500000e+02,0.000000e+00,1.023270e+01,9.451540e-58,4.745110e-18,3.589300e-67,9.925350e-42,4.250390e-04,3.049450e-36,2.007700e-31,5.482850e-58,9.884180e-67,1.460360e-46,7.559830e-21,6.700040e-66,6.806800e-86,7.601150e-40,1.687670e-86,5.702900e-13,3.163080e-02,1.499790e-30,4.655250e-02,5.852100e-55,2.397970e-60,3.056520e-58,1.943550e-74,1.053070e-27,7.878310e-51,2.667700e-36,6.413730e-19,9.539810e-15,9.544930e-13,2.208280e-45,6.962300e-34,7.875070e-71,1.860990e-62,1.664520e-95,1.407200e-51,7.638400e-12,9.761560e-12,7.042710e-44,9.213920e-01,4.229230e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,5.750000e+02,0.000000e+00,1.025080e+01,8.784870e-55,3.856270e-17,1.165050e-63,9.017630e-40,2.002360e-04,1.986560e-34,2.107830e-29,1.160340e-54,2.764290e-63,3.239150e-44,6.661170e-20,1.999940e-62,1.680420e-81,5.650950e-38,4.727630e-82,2.024810e-12,3.207310e-02,4.451700e-29,4.654210e-02,1.448010e-52,1.003050e-57,2.105230e-55,6.259090e-71,2.165430e-27,2.335550e-48,1.093630e-34,2.552080e-18,1.506960e-14,4.019070e-13,1.556400e-43,1.637030e-32,3.538220e-68,2.121700e-60,1.488120e-90,6.035920e-49,3.521280e-11,7.192570e-11,1.868800e-41,9.211850e-01,1.244990e-11,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,6.000000e+02,0.000000e+00,1.026840e+01,4.624220e-52,2.626800e-16,1.927200e-60,5.633980e-38,9.862490e-05,9.136270e-33,1.498720e-27,1.293080e-51,3.995060e-60,4.564850e-42,4.859190e-19,3.062650e-59,1.787940e-77,2.915370e-36,5.649010e-78,6.444250e-12,3.227300e-02,9.862370e-28,4.653730e-02,2.231770e-50,2.540330e-55,8.421170e-53,1.028300e-67,4.084040e-27,4.293450e-46,3.264050e-33,8.937710e-18,2.250730e-14,1.770380e-13,7.590290e-42,2.924430e-31,9.342910e-66,1.587880e-58,5.129870e-86,1.554590e-46,1.430080e-10,4.479520e-10,3.107590e-39,9.210910e-01,3.352290e-11,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,6.250000e+02,0.000000e+00,1.028580e+01,1.475650e-49,1.534440e-15,1.761420e-57,2.531570e-36,5.088740e-05,3.092610e-31,7.562050e-26,8.195070e-49,3.228700e-57,4.322920e-40,3.012220e-18,2.606250e-56,9.067370e-74,1.094100e-34,3.188020e-74,1.865940e-11,3.236690e-02,1.695070e-26,4.653510e-02,2.280100e-48,4.136620e-53,2.087800e-50,9.341290e-65,7.216930e-27,5.191690e-44,7.393410e-32,2.812380e-17,3.223160e-14,8.203580e-14,2.691420e-40,4.123730e-30,1.559530e-63,8.294670e-57,7.644850e-82,2.560340e-44,5.194690e-10,2.406180e-09,3.425190e-37,9.210470e-01,8.345250e-11,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,6.500000e+02,0.000000e+00,1.030320e+01,3.024120e-47,7.829370e-15,9.524670e-55,8.497710e-35,2.744690e-05,7.981770e-30,2.816790e-24,3.152460e-46,1.559960e-54,2.881890e-38,1.619200e-17,1.318690e-53,2.386850e-70,3.102630e-33,9.262920e-71,4.972920e-11,3.241310e-02,2.330970e-25,4.653400e-02,1.622950e-46,4.557090e-51,3.389640e-48,5.023440e-62,1.209780e-26,4.336860e-42,1.314000e-30,8.068710e-17,4.461500e-14,3.994990e-14,7.215660e-39,4.727310e-29,1.741980e-61,3.167490e-55,5.425640e-78,2.841240e-42,1.709510e-09,1.133950e-08,2.623970e-35,9.210250e-01,1.938260e-10,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,6.750000e+02,0.000000e+00,1.032050e+01,4.180330e-45,3.543250e-14,3.229920e-52,2.200900e-33,1.542320e-05,1.618670e-28,8.011110e-23,7.780440e-44,4.769950e-52,1.406600e-36,7.672900e-17,4.202540e-51,3.507020e-67,6.862010e-32,1.491360e-67,1.231540e-10,3.243670e-02,2.630850e-24,4.653350e-02,8.387170e-45,3.546880e-49,3.776980e-46,1.694920e-59,1.939590e-26,2.608380e-40,1.883620e-29,2.134690e-16,6.001060e-14,2.038100e-14,1.510460e-37,4.512660e-28,1.364100e-59,9.176100e-54,1.991350e-74,2.220400e-40,5.152880e-09,4.757190e-08,1.454790e-33,9.210140e-01,4.232740e-10,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,7.000000e+02,0.000000e+00,1.033790e+01,4.065410e-43,1.440790e-13,7.220600e-50,4.521990e-32,8.997330e-06,2.646690e-27,1.790560e-21,1.291990e-41,9.692660e-50,5.197540e-35,3.249770e-16,8.863110e-49,3.061090e-64,1.215830e-30,1.417130e-64,2.856880e-10,3.244940e-02,2.490060e-23,4.653320e-02,3.258520e-43,2.024250e-47,3.007000e-44,3.771310e-57,2.992110e-26,1.170120e-38,2.229330e-28,5.256200e-16,7.874290e-14,1.085220e-14,2.536530e-36,3.659860e-27,7.786840e-58,2.079630e-52,4.056360e-71,1.268920e-38,1.436040e-08,1.798910e-07,6.042950e-32,9.210080e-01,8.748910e-10,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,7.250000e+02,0.000000e+00,1.035520e+01,2.884350e-41,5.322870e-13,1.110930e-47,7.548750e-31,5.430660e-06,3.567770e-26,3.224380e-20,1.503810e-39,1.365210e-47,1.496490e-33,1.244770e-15,1.290860e-46,1.674860e-61,1.765980e-29,8.391590e-62,6.250390e-10,3.245640e-02,2.013090e-22,4.653300e-02,9.805410e-42,8.747060e-46,1.770860e-42,5.776850e-55,4.462340e-26,4.035910e-37,2.222390e-27,1.213870e-15,1.011010e-13,6.009040e-15,3.497130e-35,2.565300e-26,3.349930e-56,3.784520e-51,4.873580e-68,5.477730e-37,3.730260e-08,6.197720e-07,1.937570e-30,9.210050e-01,1.721440e-09,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,7.500000e+02,0.000000e+00,1.037260e+01,1.540670e-39,1.803840e-12,1.221020e-45,1.045290e-29,3.381150e-06,4.042160e-25,4.779970e-19,1.271200e-37,1.382470e-45,3.442210e-32,4.355760e-15,1.347210e-44,6.018320e-59,2.144970e-28,3.246140e-59,1.297350e-09,3.246040e-02,1.412350e-21,4.653280e-02,2.344860e-40,2.942410e-44,7.949910e-41,6.322870e-53,6.458800e-26,1.098820e-35,1.898550e-26,2.646710e-15,1.273360e-13,3.448360e-15,4.038180e-34,1.577070e-25,1.117660e-54,5.655090e-50,3.640650e-65,1.836990e-35,9.095180e-08,1.963590e-06,4.920790e-29,9.210010e-01,3.240280e-09,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.5,0.001,7.750000e+02,0.000000e+00,1.039000e+01,6.367950e-38,5.654370e-12,9.903400e-44,1.222520e-28,2.165510e-06,3.914260e-24,5.943900e-18,8.048430e-36,1.039040e-43,6.464260e-31,1.404760e-14,1.040510e-42,1.479110e-56,2.216640e-27,8.547220e-57,2.567820e-09,3.246270e-02,8.718070e-21,4.653260e-02,4.556930e-39,7.893960e-43,2.792830e-39,5.107860e-51,9.102570e-26,2.416180e-34,1.410890e-25,5.479590e-15,1.576550e-13,2.044600e-15,3.973590e-33,8.612930e-25,2.964600e-53,7.074060e-49,1.770330e-62,4.903970e-34,2.094300e-07,5.767240e-06,1.012350e-27,9.209970e-01,5.860010e-09,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
