Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,Si,SiO,SiO2,Si2,SiN,C(gr),SiO2(a-qz),SiO2(b-qz),SiO2(b-crt)
2.0,0.001,3.000000e+02,0.000000e+00,9.779090e+00,1.502170e-114,2.410740e-36,1.907380e-134,3.441410e-79,6.429360e-02,5.417240e-71,3.327860e-70,7.681350e-122,1.271300e-132,2.027010e-92,7.169460e-41,1.855540e-132,6.383070e-170,1.642630e-77,1.502000e-171,1.759780e-24,3.296270e-04,8.160190e-61,4.619180e-02,6.973890e-104,1.581270e-110,1.549690e-112,1.291240e-141,8.091160e-40,3.967260e-99,3.810570e-69,2.175640e-33,1.259800e-22,1.121390e-11,7.852380e-84,4.613440e-63,9.170380e-127,6.043450e-108,1.656940e-190,5.066160e-103,1.556200e-24,1.913040e-28,1.972440e-90,8.891850e-01,4.341640e-21,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,3.250000e+02,0.000000e+00,9.797620e+00,5.992150e-105,3.577720e-33,4.576120e-123,7.387640e-73,6.391270e-02,4.075150e-65,1.214170e-63,4.987890e-111,1.704390e-121,1.388480e-84,2.585790e-37,3.318940e-121,1.006670e-155,5.566680e-71,3.496050e-157,1.896880e-22,1.045120e-03,1.635450e-55,4.617530e-02,2.481510e-95,4.832270e-102,2.321660e-103,2.946380e-130,3.244580e-37,7.093340e-91,2.041120e-63,1.124590e-30,6.306400e-21,2.634070e-11,4.684060e-77,7.218130e-58,7.718200e-117,1.061930e-99,2.005690e-174,3.134240e-94,2.159430e-22,1.298520e-25,1.507960e-82,8.888670e-01,1.439260e-19,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,3.500000e+02,0.000000e+00,9.818220e+00,1.023700e-96,1.883370e-30,2.612200e-113,1.983330e-67,6.296560e-02,4.450350e-60,5.134980e-58,9.244560e-102,5.975630e-112,7.288260e-78,2.905650e-34,1.479450e-111,1.511250e-143,2.228410e-65,7.347610e-145,1.049010e-20,2.824750e-03,5.723880e-51,4.613420e-02,5.278900e-88,9.085730e-95,1.714060e-95,1.614860e-120,5.418910e-35,8.451720e-84,1.666270e-58,2.378200e-28,1.786480e-19,5.381830e-11,2.998820e-71,2.052840e-53,2.447510e-108,1.221260e-92,1.224530e-160,1.079210e-86,1.484400e-20,3.466400e-23,8.611070e-76,8.880760e-01,2.887840e-18,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,3.750000e+02,0.000000e+00,9.842810e+00,1.405130e-89,4.312020e-28,7.486780e-105,1.008610e-62,6.091490e-02,1.036880e-55,3.869090e-53,9.951570e-94,1.133040e-103,4.879860e-72,1.276540e-31,3.432750e-103,5.465930e-133,1.604050e-60,3.565190e-134,3.389930e-19,6.677750e-03,4.928710e-47,4.604520e-02,1.169180e-81,1.834340e-88,1.137130e-88,4.474100e-112,4.424850e-33,1.149110e-77,3.000890e-54,2.438720e-26,3.175220e-18,9.681760e-11,3.191510e-66,1.478950e-49,5.562240e-101,1.561500e-86,1.085140e-148,3.671870e-80,5.813690e-19,4.383720e-21,6.167170e-70,8.863620e-01,3.876510e-17,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,4.000000e+02,0.000000e+00,9.874170e+00,2.484250e-83,4.993410e-26,1.886780e-97,1.326410e-58,5.700710e-02,6.878780e-52,7.171590e-49,1.060440e-86,2.003980e-96,6.096110e-67,2.589150e-29,7.205280e-96,9.560040e-124,2.833930e-56,8.078190e-125,7.042050e-18,1.401990e-02,1.345050e-43,4.587560e-02,4.062910e-76,6.036140e-83,1.063640e-82,1.094720e-104,1.967420e-31,2.663610e-72,1.567220e-50,1.369180e-24,3.794600e-17,1.528650e-10,7.792040e-62,3.440970e-46,1.452280e-94,3.262250e-81,3.085180e-138,1.895260e-74,1.440640e-17,3.019660e-19,8.171940e-65,8.830970e-01,3.751480e-16,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,4.250000e+02,0.000000e+00,9.915350e+00,8.117240e-78,3.273840e-24,6.418860e-91,5.722550e-55,5.046810e-02,1.620330e-48,4.186090e-45,1.682080e-80,5.017060e-90,1.895570e-62,2.738180e-27,2.088200e-89,1.377910e-115,1.550630e-52,1.465210e-116,1.008700e-16,2.630590e-02,1.404470e-40,4.559180e-02,3.006880e-71,4.453550e-78,1.979730e-77,3.624090e-98,5.087320e-30,1.427160e-67,2.909760e-47,4.580730e-23,3.179890e-16,2.078740e-10,5.538230e-58,3.087860e-43,6.164680e-89,1.470460e-76,5.162690e-129,2.054590e-69,2.447020e-16,1.260610e-17,2.697300e-60,8.776340e-01,2.770650e-15,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,4.500000e+02,0.000000e+00,9.967900e+00,6.491420e-73,1.322560e-22,4.114500e-85,9.747810e-52,4.102210e-02,1.609350e-45,9.324640e-42,5.454680e-75,2.459550e-84,1.830300e-58,1.649510e-25,1.161220e-83,2.477920e-108,3.129350e-49,3.235810e-109,1.049000e-15,4.405380e-02,6.456050e-38,4.518180e-02,5.954580e-67,9.444420e-74,9.587300e-73,2.262680e-92,7.901000e-29,2.232980e-63,2.236470e-44,9.663900e-22,1.906590e-15,2.354430e-10,1.366390e-54,1.215660e-40,5.485810e-84,1.741910e-72,8.151530e-121,6.006130e-65,3.032610e-15,3.465910e-16,2.795010e-56,8.697420e-01,1.632760e-14,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,4.750000e+02,0.000000e+00,1.002900e+01,1.586080e-68,3.511460e-21,6.464640e-80,7.592420e-49,2.962220e-02,7.723900e-43,9.223390e-39,4.643560e-70,3.051090e-79,6.520210e-55,6.041310e-24,1.606800e-78,7.715090e-102,2.661530e-46,1.211830e-102,8.234610e-15,6.547250e-02,1.452360e-35,4.468700e-02,3.751020e-63,7.011160e-70,1.493770e-68,3.466070e-87,7.453480e-28,1.224190e-59,7.988050e-42,1.334940e-20,8.232070e-15,2.132760e-10,1.335200e-51,2.308140e-38,1.235850e-79,6.245780e-69,1.761960e-113,5.752590e-61,2.882380e-14,6.703680e-15,1.091550e-52,8.602180e-01,7.960860e-14,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,5.000000e+02,0.000000e+00,1.009010e+01,1.414010e-64,6.460070e-20,3.071820e-75,3.043360e-46,1.860130e-02,1.999260e-40,4.571930e-36,1.266690e-65,1.175920e-74,9.849630e-52,1.420790e-22,6.811790e-74,5.405850e-96,1.064100e-43,1.003310e-96,5.044060e-14,8.617950e-02,1.744020e-33,4.420870e-02,8.661110e-60,2.136610e-66,8.881600e-65,1.609870e-82,4.341490e-27,2.724340e-56,1.457970e-39,1.249050e-19,2.585740e-14,1.507010e-10,5.764560e-49,2.288460e-36,8.244220e-76,7.643540e-66,7.017020e-107,2.111580e-57,2.188310e-13,9.619790e-14,1.859620e-49,8.510110e-01,3.310960e-13,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
2.0,0.001,5.250000e+02,0.000000e+00,1.014170e+01,5.310650e-61,8.659550e-19,5.232550e-71,6.910400e-44,1.028460e-02,3.051340e-38,1.252410e-33,1.300870e-61,1.662770e-70,7.115440e-49,2.276340e-21,1.047120e-69,1.054130e-90,2.217700e-41,2.276470e-91,2.495710e-13,1.018050e-01,1.217170e-31,4.384770e-02,8.406140e-57,3.042300e-63,2.314530e-61,2.692250e-78,1.654270e-26,2.793100e-53,1.490590e-37,8.319930e-19,6.136930e-14,8.510470e-11,1.228450e-46,1.292160e-34,1.918470e-72,3.678350e-63,6.547320e-101,3.397300e-54,1.371860e-12,1.069400e-12,1.555810e-46,8.440620e-01,1.204620e-12,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
