Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
1.0,0.001,5.500000e+02,0.000000e+00,-5.536230e+00,9.451540e-58,1.240250e-17,7.229840e-39,2.647340e-41,1.983750e-02,8.133640e-36,4.044070e-03,2.224560e-01,9.884180e-67,3.817030e-46,5.164650e-20,6.700040e-66,6.806800e-86,5.192870e-39,1.687670e-86,3.975790e-12,2.160920e-01,2.063850e-01,3.311850e-01,2.104860e-25,1.705970e-59,8.152510e-58,2.785110e-45,3.357710e-25,2.059200e-50,1.822490e-35,1.145260e-17,4.452430e-13,3.043400e-10,3.943190e-44,1.243210e-32,1.935060e-40,1.195220e-31,6.753460e-39,7.408680e-23,1.000000e+00
1.0,0.001,5.750000e+02,0.000000e+00,-5.329820e+00,8.784870e-55,1.099380e-16,5.217660e-37,2.371480e-39,1.322730e-02,5.224310e-34,9.439910e-03,2.327290e-01,2.764290e-63,9.234510e-44,5.413960e-19,1.999940e-62,1.680420e-81,4.592890e-37,4.727630e-82,1.518080e-11,2.606790e-01,1.620400e-01,3.218850e-01,1.502630e-24,6.937070e-57,5.536380e-55,1.938650e-43,1.162620e-24,6.658410e-48,8.888610e-34,5.913450e-17,9.954740e-13,2.157840e-10,3.606360e-42,3.793180e-31,2.984210e-39,5.101650e-31,2.984710e-37,7.706530e-22,1.000000e+00
1.0,0.001,6.000000e+02,0.000000e+00,-5.106370e+00,4.624220e-52,7.969190e-16,2.614730e-35,1.461340e-37,8.354760e-03,2.369760e-32,2.033390e-02,2.380250e-01,3.995060e-60,1.384880e-41,4.472370e-18,3.062650e-59,1.787940e-77,2.683290e-35,5.649010e-78,5.071010e-11,2.970390e-01,1.231560e-01,3.130920e-01,8.454930e-24,1.709070e-54,2.184280e-52,9.386150e-42,3.184280e-24,1.302550e-45,3.004210e-32,2.495670e-16,1.906650e-12,1.380350e-10,2.119430e-40,8.165870e-30,3.257730e-38,1.679730e-30,9.442880e-36,6.398830e-21,1.000000e+00
1.0,0.001,6.250000e+02,1.473930e-02,-4.850780e+00,1.475650e-49,4.852510e-15,9.441290e-34,6.474440e-36,5.089540e-03,7.909290e-31,4.053290e-02,2.354450e-01,3.228700e-57,1.367080e-39,3.012450e-17,2.606250e-56,9.067370e-74,1.094190e-33,3.188020e-74,1.509140e-10,3.236950e-01,9.086380e-02,3.043730e-01,3.865210e-23,2.705650e-52,5.339510e-50,3.274930e-40,7.218640e-24,1.641820e-43,7.394000e-31,8.894590e-16,3.223670e-12,8.205520e-11,8.512020e-39,1.304190e-28,2.643910e-37,4.447040e-30,2.196380e-34,4.339940e-20,1.000000e+00
1.0,0.001,6.500000e+02,4.525890e-02,-4.536680e+00,3.024120e-47,2.537530e-14,2.527040e-32,2.139160e-34,3.028540e-03,2.009280e-29,7.473390e-02,2.219090e-01,1.559960e-54,9.340340e-38,1.700870e-16,1.318690e-53,2.386850e-70,3.259110e-32,9.262920e-71,4.057320e-10,3.404790e-01,6.496340e-02,2.948860e-01,1.465960e-22,2.887830e-50,8.532890e-48,8.445950e-39,1.402220e-23,1.405590e-41,1.380270e-29,2.747010e-15,4.922900e-12,4.630480e-11,2.456580e-37,1.609420e-27,1.652840e-36,9.740650e-30,3.819230e-33,2.443180e-19,1.000000e+00
1.0,0.001,6.750000e+02,8.609930e-02,-4.136320e+00,4.180330e-45,1.160310e-13,5.114050e-31,5.435500e-33,1.773620e-03,3.997580e-28,1.268430e-01,1.950530e-01,4.769950e-52,4.606180e-36,8.228160e-16,4.202540e-51,3.507020e-67,7.358590e-31,1.491360e-67,9.960030e-10,3.478400e-01,4.466970e-02,2.838210e-01,4.663420e-22,2.163340e-48,9.327910e-46,1.636820e-37,2.391890e-23,8.541670e-40,2.019930e-28,7.496350e-15,6.901040e-12,2.513360e-11,5.304250e-36,1.584700e-26,8.133540e-36,1.791680e-29,4.992250e-32,1.151270e-18,1.000000e+00
1.0,0.001,7.000000e+02,1.391030e-01,-3.642440e+00,4.065410e-43,4.711360e-13,7.918650e-30,1.091360e-31,1.028710e-03,6.387670e-27,1.963660e-01,1.553870e-01,9.692660e-50,1.699580e-34,3.474900e-15,8.863110e-49,3.061090e-64,1.300060e-29,1.417130e-64,2.254640e-09,3.469730e-01,2.919970e-02,2.710460e-01,1.249490e-21,1.179080e-46,7.257270e-44,2.409070e-36,3.658030e-23,3.826260e-38,2.383780e-27,1.837840e-14,9.003090e-12,1.326750e-11,8.869010e-35,1.279680e-25,3.192750e-35,2.788260e-29,4.878570e-31,4.550500e-18,1.000000e+00
1.0,0.001,7.250000e+02,2.007620e-01,-3.097200e+00,2.884350e-41,1.724070e-12,9.451850e-29,1.776590e-30,5.977130e-04,8.396700e-26,2.743320e-01,1.088570e-01,1.365210e-47,4.847130e-33,1.305890e-14,1.290860e-46,1.674860e-61,1.852700e-28,8.391590e-62,4.764630e-09,3.405020e-01,1.796860e-02,2.577420e-01,2.834830e-21,4.844920e-45,4.167710e-42,2.722370e-35,5.152560e-23,1.307230e-36,2.331520e-26,4.124810e-14,1.112750e-11,6.938500e-12,1.188340e-33,8.717030e-25,1.016060e-34,3.717940e-29,3.527850e-30,1.509530e-17,1.000000e+00
1.0,0.001,7.500000e+02,2.601230e-01,-2.594670e+00,1.540670e-39,5.772310e-12,8.802240e-28,2.404270e-29,3.545410e-04,9.297340e-25,3.445840e-01,6.606200e-02,1.382470e-45,1.101510e-31,4.460310e-14,1.347210e-44,6.018320e-59,2.196460e-27,3.246140e-59,9.548880e-09,3.323950e-01,1.042590e-02,2.461790e-01,5.539100e-21,1.556660e-43,1.828550e-40,2.411430e-34,6.935150e-23,3.516230e-35,1.944120e-25,8.672790e-14,1.335220e-11,3.702690e-12,1.323240e-32,5.167750e-24,2.703540e-34,4.377370e-29,1.891980e-29,4.237660e-17,1.000000e+00
1.0,0.001,7.750000e+02,3.051530e-01,-2.219250e+00,6.367950e-38,1.791850e-11,6.571900e-27,2.765350e-28,2.183870e-04,8.854080e-24,3.944370e-01,3.544250e-02,1.039040e-43,2.048500e-30,1.410700e-13,1.040510e-42,1.479110e-56,2.226020e-26,8.547220e-57,1.840660e-08,3.259990e-01,5.809780e-03,2.380920e-01,9.623390e-21,4.039080e-42,6.317400e-39,1.734340e-33,9.218550e-23,7.656790e-34,1.416860e-24,1.743800e-13,1.589920e-11,2.070660e-12,1.264540e-31,2.740950e-23,6.287160e-34,4.754160e-29,7.795900e-29,1.031270e-16,1.000000e+00
