Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
1550,0.00101325,1.099450e-02,3.625660e+03,3.451550e+06,1.269030e+00,8.644200e-05,4.623850e-05
1575,0.00101325,1.099290e-02,3.684270e+03,3.542900e+06,1.264850e+00,8.505740e-05,4.673800e-05
1600,0.00101325,1.099090e-02,3.755800e+03,3.635870e+06,1.260100e+00,8.371350e-05,4.723560e-05
1625,0.00101325,1.098850e-02,3.842200e+03,3.730810e+06,1.254760e+00,8.240770e-05,4.773130e-05
1650,0.00101325,1.098560e-02,3.945800e+03,3.828120e+06,1.248840e+00,8.113750e-05,4.822510e-05
1675,0.00101325,1.098200e-02,4.069320e+03,3.928270e+06,1.242370e+00,7.990020e-05,4.871720e-05
1700,0.00101325,1.097750e-02,4.215850e+03,4.031780e+06,1.235390e+00,7.869340e-05,4.920770e-05
1725,0.00101325,1.097210e-02,4.388880e+03,4.139280e+06,1.227970e+00,7.751460e-05,4.969650e-05
1750,0.00101325,1.096550e-02,4.592320e+03,4.251480e+06,1.220200e+00,7.636140e-05,5.018390e-05
1775,0.00101325,1.095760e-02,4.830470e+03,4.369190e+06,1.212210e+00,7.523110e-05,5.066980e-05
1800,0.00101325,1.094800e-02,5.108080e+03,4.493330e+06,1.204120e+00,7.412130e-05,5.115430e-05
1825,0.00101325,1.093650e-02,5.430340e+03,4.624960e+06,1.196080e+00,7.302920e-05,5.163750e-05
1850,0.00101325,1.092280e-02,5.802890e+03,4.765270e+06,1.188230e+00,7.195220e-05,5.211950e-05
1875,0.00101325,1.090660e-02,6.231860e+03,4.915580e+06,1.180700e+00,7.088760e-05,5.260030e-05
1900,0.00101325,1.088750e-02,6.723870e+03,5.077380e+06,1.173630e+00,6.983250e-05,5.307990e-05
1925,0.00101325,1.086520e-02,7.286020e+03,5.252350e+06,1.167110e+00,6.878400e-05,5.355840e-05
1950,0.00101325,1.083910e-02,7.925940e+03,5.442330e+06,1.161250e+00,6.773920e-05,5.403570e-05
1975,0.00101325,1.080880e-02,8.651810e+03,5.649370e+06,1.156110e+00,6.669500e-05,5.451170e-05
2000,0.00101325,1.077390e-02,9.472360e+03,5.875710e+06,1.151740e+00,6.564840e-05,5.498630e-05
2025,0.00101325,1.073370e-02,1.039690e+04,6.123850e+06,1.148180e+00,6.459630e-05,5.544300e-05
2050,0.00101325,1.068780e-02,1.143550e+04,6.396510e+06,1.145450e+00,6.353560e-05,5.589750e-05
2075,0.00101325,1.063560e-02,1.259880e+04,6.696670e+06,1.143560e+00,6.246330e-05,5.634920e-05
2100,0.00101325,1.057640e-02,1.389840e+04,7.027590e+06,1.142520e+00,6.137630e-05,5.679770e-05
2125,0.00101325,1.050970e-02,1.534680e+04,7.392830e+06,1.142330e+00,6.027150e-05,5.724190e-05
2150,0.00101325,1.043480e-02,1.695740e+04,7.796280e+06,1.142980e+00,5.914630e-05,5.768090e-05
2175,0.00101325,1.035120e-02,1.874520e+04,8.242180e+06,1.144470e+00,5.799790e-05,5.811330e-05
2200,0.00101325,1.025820e-02,2.072620e+04,8.735150e+06,1.146800e+00,5.682380e-05,5.853740e-05
2225,0.00101325,1.015530e-02,2.291760e+04,9.280240e+06,1.149970e+00,5.562170e-05,5.895110e-05
2250,0.00101325,1.004200e-02,2.533710e+04,9.882930e+06,1.153980e+00,5.438980e-05,5.935200e-05
2275,0.00101325,9.917690e-03,2.800150e+04,1.054910e+07,1.158830e+00,5.312650e-05,5.973740e-05
2300,0.00101325,9.782140e-03,3.092330e+04,1.128520e+07,1.164500e+00,5.183080e-05,6.010410e-05
2325,0.00101325,9.635050e-03,3.410590e+04,1.209750e+07,1.170970e+00,5.050250e-05,6.044880e-05
2350,0.00101325,9.476430e-03,3.753520e+04,1.299250e+07,1.178180e+00,4.914270e-05,6.076800e-05
2375,0.00101325,9.306550e-03,4.117000e+04,1.397600e+07,1.186000e+00,4.775370e-05,6.105840e-05
2400,0.00101325,9.126150e-03,4.493140e+04,1.505210e+07,1.194250e+00,4.634020e-05,6.131680e-05
2425,0.00101325,8.936470e-03,4.869690e+04,1.622260e+07,1.202630e+00,4.490930e-05,6.154060e-05
2450,0.00101325,8.739380e-03,5.230270e+04,1.748560e+07,1.210760e+00,4.347070e-05,6.172790e-05
2475,0.00101325,8.537330e-03,5.555840e+04,1.883480e+07,1.218240e+00,4.203670e-05,6.187790e-05
2500,0.00101325,8.333250e-03,5.827220e+04,2.025900e+07,1.224640e+00,4.062150e-05,6.199030e-05
2525,0.00101325,8.130280e-03,6.027900e+04,2.174250e+07,1.229620e+00,3.923970e-05,6.206610e-05
2550,0.00101325,7.931570e-03,6.146460e+04,2.326610e+07,1.232960e+00,3.790540e-05,6.210770e-05
2575,0.00101325,7.739960e-03,6.177850e+04,2.480840e+07,1.234580e+00,3.663060e-05,6.211830e-05
2600,0.00101325,7.557840e-03,6.123380e+04,2.634780e+07,1.234540e+00,3.542470e-05,6.210300e-05
2625,0.00101325,7.386990e-03,5.989830e+04,2.786350e+07,1.233000e+00,3.429420e-05,6.206760e-05
2650,0.00101325,7.228600e-03,5.788150e+04,2.933710e+07,1.230220e+00,3.324220e-05,6.201940e-05
2675,0.00101325,7.083280e-03,5.531910e+04,3.075310e+07,1.226490e+00,3.226950e-05,6.196590e-05
2700,0.00101325,6.951170e-03,5.236050e+04,3.209970e+07,1.222130e+00,3.137440e-05,6.191470e-05
2725,0.00101325,6.831970e-03,4.915610e+04,3.336900e+07,1.217420e+00,3.055350e-05,6.187270e-05
2750,0.00101325,6.725100e-03,4.584820e+04,3.455670e+07,1.212650e+00,2.980220e-05,6.184590e-05
2775,0.00101325,6.629720e-03,4.256350e+04,3.566170e+07,1.208020e+00,2.911480e-05,6.183910e-05
2800,0.00101325,6.544880e-03,3.940790e+04,3.668590e+07,1.203710e+00,2.848560e-05,6.185550e-05
2825,0.00101325,6.469510e-03,3.646460e+04,3.763380e+07,1.199840e+00,2.790840e-05,6.189700e-05
2850,0.00101325,6.402540e-03,3.379290e+04,3.851140e+07,1.196430e+00,2.737720e-05,6.196430e-05
2875,0.00101325,6.342890e-03,3.143080e+04,3.932610e+07,1.193490e+00,2.688630e-05,6.205730e-05
2900,0.00101325,6.289560e-03,2.939670e+04,4.008570e+07,1.190950e+00,2.643040e-05,6.217490e-05
2925,0.00101325,6.241580e-03,2.769290e+04,4.079860e+07,1.188740e+00,2.600460e-05,6.231560e-05
2950,0.00101325,6.198080e-03,2.630880e+04,4.147300e+07,1.186770e+00,2.560460e-05,6.247770e-05
2975,0.00101325,6.158280e-03,2.522360e+04,4.211660e+07,1.184950e+00,2.522640e-05,6.265900e-05
3000,0.00101325,6.121480e-03,2.440840e+04,4.273650e+07,1.183240e+00,2.486670e-05,6.285780e-05
3025,0.00101325,6.087100e-03,2.382780e+04,4.333900e+07,1.181620e+00,2.452260e-05,6.307220e-05
3050,0.00101325,6.054620e-03,2.344120e+04,4.392950e+07,1.180110e+00,2.419180e-05,6.330050e-05
3075,0.00101325,6.023650e-03,2.320290e+04,4.451230e+07,1.178750e+00,2.387240e-05,6.354130e-05
3100,0.00101325,5.993870e-03,2.306330e+04,4.509040e+07,1.177610e+00,2.356280e-05,6.379340e-05
3125,0.00101325,5.965070e-03,2.296880e+04,4.566580e+07,1.176760e+00,2.326200e-05,6.405590e-05
3150,0.00101325,5.937110e-03,2.286350e+04,4.623880e+07,1.176270e+00,2.296930e-05,6.432810e-05
3175,0.00101325,5.909980e-03,2.269070e+04,4.680840e+07,1.176200e+00,2.268420e-05,6.460950e-05
3200,0.00101325,5.883700e-03,2.239620e+04,4.737230e+07,1.176630e+00,2.240690e-05,6.489970e-05
