P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Mo,MoO,MoO2,MoO3,Mo2O6,Mo3O9,Mo4O12,Mo5O15,Mo(cr),Mo(L),MoO2(cr),MoO3(cr),MoO3(L)
0.001,7.250000e+02,0.000000e+00,4.536200e-01,3.499410e-30,6.176240e-29,1.459310e-21,1.000000e+00,1.506340e-30,3.159200e-37,4.550220e-34,1.807470e-27,6.832010e-24,3.376680e-28,2.903110e-34,1.725950e-43,3.261300e-54,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,7.500000e+02,0.000000e+00,4.812930e-01,4.845710e-29,1.248670e-27,1.215980e-20,1.000000e+00,3.807370e-29,1.190300e-35,1.634890e-32,4.112020e-26,1.151140e-22,9.689390e-27,1.703940e-32,2.436990e-41,1.234680e-51,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,7.750000e+02,0.000000e+00,5.091190e-01,5.667320e-28,2.078430e-26,8.828180e-20,1.000000e+00,7.797490e-28,3.545600e-34,4.653240e-31,7.624800e-25,1.611550e-21,2.229780e-25,7.650990e-31,2.485170e-39,3.164700e-49,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,8.000000e+02,0.000000e+00,5.370960e-01,5.687460e-27,2.900670e-25,5.657200e-19,1.000000e+00,1.319760e-26,8.535990e-33,1.072340e-29,1.174740e-23,1.907490e-20,4.201390e-24,2.695100e-29,1.887080e-37,5.696500e-47,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,8.250000e+02,0.000000e+00,5.652230e-01,4.966040e-26,3.448980e-24,3.236320e-18,1.000000e+00,1.878390e-25,1.693390e-31,2.039690e-28,1.529440e-22,1.938330e-19,6.600760e-23,7.614030e-28,1.095970e-35,7.435800e-45,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,8.500000e+02,0.000000e+00,5.935000e-01,3.819230e-25,3.543590e-23,1.669460e-17,1.000000e+00,2.282860e-24,2.815930e-30,3.256990e-27,1.707920e-21,1.713970e-18,8.787050e-22,1.759130e-26,4.984850e-34,7.240960e-43,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,8.750000e+02,0.000000e+00,6.219230e-01,2.615360e-24,3.185600e-22,7.834830e-17,1.000000e+00,2.401390e-23,3.984930e-29,4.432100e-26,1.657620e-20,1.334670e-17,1.005340e-20,3.381530e-25,1.813180e-32,5.393950e-41,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.000000e+02,0.000000e+00,6.504900e-01,1.610150e-23,2.533760e-21,3.371640e-16,1.000000e+00,2.212970e-22,4.864030e-28,5.208830e-25,1.414720e-19,9.250340e-17,1.001140e-19,5.491810e-24,5.373360e-31,3.142970e-39,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.250000e+02,0.000000e+00,6.791980e-01,8.989170e-23,1.800830e-20,1.339880e-15,1.000000e+00,1.805860e-21,5.182740e-27,5.350280e-24,1.072910e-18,5.760520e-16,8.775680e-19,7.639010e-23,1.319070e-29,1.461250e-37,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.500000e+02,0.000000e+00,7.080450e-01,4.586050e-22,1.153900e-19,4.948100e-15,1.000000e+00,1.317540e-20,4.872730e-26,4.854500e-23,7.298460e-18,3.250610e-15,6.839790e-18,9.212660e-22,2.722410e-28,5.518000e-36,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,9.750000e+02,0.000000e+00,7.370260e-01,2.152910e-21,6.719140e-19,1.707700e-14,1.000000e+00,8.668870e-20,4.081480e-25,3.928190e-22,4.490680e-17,1.674810e-14,4.783070e-17,9.739090e-21,4.787160e-27,1.719620e-34,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.000000e+03,0.000000e+00,7.661400e-01,9.358050e-21,3.581130e-18,5.535980e-14,1.000000e+00,5.183860e-19,3.072280e-24,2.859280e-21,2.518170e-16,7.932960e-14,3.025550e-16,9.114200e-20,7.258410e-26,4.486530e-33,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.025000e+03,0.000000e+00,7.953830e-01,3.787530e-20,1.758330e-17,1.693470e-13,1.000000e+00,2.837130e-18,2.094590e-23,1.886700e-20,1.295710e-15,3.475740e-13,1.743900e-15,7.618130e-19,9.592540e-25,9.927270e-32,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.050000e+03,0.000000e+00,8.247510e-01,1.434650e-19,8.000070e-17,4.908670e-13,1.000000e+00,1.430180e-17,1.302590e-22,1.136530e-19,6.155410e-15,1.416530e-12,9.220090e-15,5.733250e-18,1.115830e-23,1.884850e-30,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.075000e+03,0.000000e+00,8.542410e-01,5.109270e-19,3.390850e-16,1.353280e-12,1.000000e+00,6.678590e-17,7.436470e-22,6.290110e-19,2.714910e-14,5.397210e-12,4.498440e-14,3.913310e-17,1.152590e-22,3.103540e-29,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.100000e+03,0.000000e+00,8.838490e-01,1.717970e-18,1.345370e-15,3.560690e-12,1.000000e+00,2.904220e-16,3.920270e-21,3.216940e-18,1.117400e-13,1.931390e-11,2.036450e-13,2.438690e-16,1.065780e-21,4.474700e-28,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.125000e+03,0.000000e+00,9.135720e-01,5.474870e-18,5.018820e-15,8.969250e-12,1.000000e+00,1.181660e-15,1.918500e-20,1.528360e-17,4.311440e-13,6.518480e-11,8.596690e-13,1.395920e-15,8.887090e-21,5.699150e-27,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
0.001,1.150000e+03,0.000000e+00,9.434060e-01,1.659400e-17,1.767400e-14,2.169150e-11,1.000000e+00,4.518140e-15,8.758120e-20,6.777890e-17,1.566140e-12,2.082850e-10,3.399460e-12,7.379900e-15,6.727490e-20,6.463650e-26,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00
