Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,CH,CH2,CH3,C2H4,C2H6,"C3H3,1-propynl","C3H3,2-propynl","C6H5O,phenoxy","C6H5OH,phenol",O2,OH,C(gr)
2.0,0.001,5.500000e+02,0.000000e+00,-5.674530e+00,9.451540e-58,1.699340e-17,4.462560e-39,2.047010e-41,6.991390e-02,6.289190e-36,2.496170e-03,8.475320e-02,9.884180e-67,5.229920e-46,9.695700e-20,6.700040e-66,6.806800e-86,9.748690e-39,1.687670e-86,4.212140e-12,4.056740e-01,2.391510e-01,1.980120e-01,3.341850e-25,1.019980e-59,6.303790e-58,1.027820e-45,2.221560e-24,2.821410e-50,3.421400e-35,2.945860e-17,1.569180e-12,2.013610e-09,1.014270e-43,3.197820e-32,5.767620e-40,4.881130e-31,2.572990e-39,6.265640e-23,1.000000e+00
2.0,0.001,5.750000e+02,0.000000e+00,-5.359490e+00,8.784870e-55,1.480000e-16,3.387480e-37,1.818420e-39,4.344280e-02,4.005950e-34,6.128700e-03,9.809600e-02,2.764290e-63,1.243160e-43,9.811580e-19,1.999940e-62,1.680420e-81,8.323570e-37,4.727630e-82,1.567040e-11,4.724210e-01,1.906550e-01,1.892570e-01,2.380060e-24,4.078760e-57,4.245230e-55,7.400320e-44,6.920060e-24,8.963600e-48,1.610860e-33,1.442700e-16,3.269470e-12,1.284370e-09,8.798410e-42,9.254190e-31,8.566210e-39,1.971430e-30,1.258070e-37,6.735510e-22,1.000000e+00
2.0,0.001,6.000000e+02,0.000000e+00,-5.011580e+00,4.624220e-52,1.057370e-15,1.767870e-35,1.114250e-37,2.589370e-02,1.806900e-32,1.374820e-02,1.088110e-01,3.995060e-60,1.837500e-41,7.873490e-18,3.062650e-59,1.787940e-77,4.723860e-35,5.649010e-78,5.130270e-11,5.229300e-01,1.465910e-01,1.820260e-01,1.335300e-23,9.936240e-55,1.665480e-52,3.689560e-42,1.737400e-23,1.728260e-45,5.288830e-32,5.829510e-16,5.909220e-12,7.531430e-10,4.950670e-40,1.907420e-29,9.057640e-38,6.196600e-30,4.316720e-36,5.740370e-21,1.000000e+00
2.0,0.001,6.250000e+02,0.000000e+00,-4.628340e+00,1.475650e-49,6.369980e-15,6.570280e-34,4.921750e-36,1.511350e-02,6.012500e-31,2.820730e-02,1.140240e-01,3.228700e-57,1.794590e-39,5.191150e-17,2.606250e-56,9.067370e-74,1.885540e-33,3.188020e-74,1.505970e-10,5.578000e-01,1.089650e-01,1.758900e-01,6.084720e-23,1.563530e-52,4.058990e-50,1.317010e-40,3.693890e-23,2.155250e-43,1.274150e-30,2.012060e-15,9.572730e-12,4.198900e-10,1.925520e-38,2.950230e-28,7.172280e-37,1.583630e-29,1.063680e-34,3.964680e-20,1.000000e+00
2.0,0.001,6.500000e+02,0.000000e+00,-4.190570e+00,3.024120e-47,3.308500e-14,1.788680e-32,1.625190e-34,8.752040e-03,1.526520e-29,5.289780e-02,1.111770e-01,1.559960e-54,1.217820e-37,2.891410e-16,1.318690e-53,2.386850e-70,5.540350e-32,9.262920e-71,4.019010e-10,5.787990e-01,7.816750e-02,1.702070e-01,2.299840e-22,1.666840e-50,6.482710e-48,3.450560e-39,6.888600e-23,1.832650e-41,2.346410e-29,6.088580e-15,1.422650e-11,2.274780e-10,5.444870e-37,3.567190e-27,4.408050e-36,3.387050e-29,1.913440e-33,2.254730e-19,1.000000e+00
2.0,0.001,6.750000e+02,0.000000e+00,-3.678170e+00,4.180330e-45,1.508320e-13,3.638710e-31,4.137370e-33,5.064600e-03,3.042850e-28,9.025040e-02,9.874530e-02,4.769950e-52,5.987730e-36,1.390420e-15,4.202540e-51,3.507020e-67,1.243470e-30,1.491360e-67,9.855210e-10,5.877900e-01,5.370780e-02,1.644420e-01,7.288690e-22,1.253410e-48,7.100170e-46,6.747640e-38,1.154160e-22,1.110360e-39,3.413330e-28,1.646700e-14,1.970600e-11,1.212780e-10,1.165160e-35,3.481050e-26,2.148160e-35,6.151350e-29,2.527320e-32,1.064830e-18,1.000000e+00
2.0,0.001,7.000000e+02,0.000000e+00,-3.100270e+00,4.065410e-43,6.128860e-13,5.598010e-30,8.345120e-32,2.945960e-03,4.884340e-27,1.388190e-01,7.765670e-02,9.692660e-50,2.210930e-34,5.880430e-15,8.863110e-49,3.061090e-64,2.200040e-29,1.417130e-64,2.242710e-09,5.871690e-01,3.493230e-02,1.584780e-01,1.944540e-21,6.893980e-47,5.549270e-44,9.957670e-37,1.772750e-22,4.977460e-38,4.033960e-27,4.045820e-14,2.578250e-11,6.429680e-11,1.952430e-34,2.817080e-25,8.408410e-35,9.552480e-29,2.438130e-31,4.184800e-18,1.000000e+00
2.0,0.001,7.250000e+02,0.000000e+00,-2.520520e+00,2.884350e-41,2.251630e-12,6.571900e-29,1.367970e-30,1.738820e-03,6.465450e-26,1.907440e-01,5.262650e-02,1.365210e-47,6.330320e-33,2.227350e-14,1.290860e-46,1.674860e-61,3.160000e-28,8.391590e-62,4.791370e-09,5.807660e-01,2.130940e-02,1.528150e-01,4.390590e-21,2.872540e-45,3.209130e-42,1.122280e-35,2.556630e-22,1.707230e-36,3.976690e-26,9.188100e-14,3.237130e-11,3.442790e-11,2.647060e-33,1.941740e-24,2.684080e-34,1.282690e-28,1.705530e-30,1.370750e-17,1.000000e+00
2.0,0.001,7.500000e+02,0.000000e+00,-2.034680e+00,1.540670e-39,7.580850e-12,5.990240e-28,1.866060e-29,1.054720e-03,7.216100e-25,2.345020e-01,3.059530e-02,1.382470e-45,1.446620e-31,7.693100e-14,1.347210e-44,6.018320e-59,3.788430e-27,3.246140e-59,9.733400e-09,5.733120e-01,1.223770e-02,1.482990e-01,8.538760e-21,9.377380e-44,1.419230e-40,9.885840e-35,3.558480e-22,4.617910e-35,3.353190e-25,1.964550e-13,3.972150e-11,1.899880e-11,2.997380e-32,1.170590e-23,7.188260e-34,1.528520e-28,8.762340e-30,3.787440e-17,1.000000e+00
2.0,0.001,7.750000e+02,0.000000e+00,-1.695750e+00,6.367950e-38,2.365080e-11,4.389520e-27,2.160770e-28,6.628380e-04,6.918320e-24,2.634540e-01,1.581170e-02,1.039040e-43,2.703830e-30,2.457670e-13,1.040510e-42,1.479110e-56,3.878100e-26,8.547220e-57,1.898350e-08,5.679460e-01,6.760470e-03,1.453650e-01,1.478050e-20,2.466020e-42,4.936230e-39,7.072520e-34,4.874530e-22,1.010630e-33,2.468410e-24,4.009890e-13,4.825640e-11,1.094910e-11,2.907820e-31,6.302830e-23,1.682310e-33,1.679080e-28,3.477920e-29,9.091640e-17,1.000000e+00
