Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
0.5,0.001,3.000000e+02,0.000000e+00,-4.630890e+00,1.502170e-114,2.172640e-36,1.151560e-74,1.164800e-78,4.241470e-02,1.833550e-70,2.009170e-10,2.799880e-02,1.271300e-132,1.826810e-92,5.823190e-41,1.855540e-132,6.383070e-170,1.334180e-77,1.502000e-171,5.367970e-24,2.677300e-04,4.001520e-01,5.291670e-01,3.082030e-44,1.811480e-109,5.245150e-112,8.930730e-81,4.335440e-40,1.778830e-34,1.000000e+00
0.5,0.001,3.250000e+02,0.000000e+00,-4.558130e+00,5.992150e-105,3.358780e-33,1.221890e-68,2.500500e-72,4.964640e-02,1.379320e-64,3.242020e-09,3.556200e-02,1.704390e-121,1.303510e-84,2.279000e-37,3.318940e-121,1.006670e-155,4.906220e-71,3.496050e-157,6.027470e-22,9.211230e-04,3.848770e-01,5.289940e-01,5.482470e-41,5.535960e-101,7.858120e-103,9.012910e-75,2.221310e-37,1.325000e-31,1.000000e+00
0.5,0.001,3.500000e+02,0.000000e+00,-4.485700e+00,1.023700e-96,1.831260e-30,1.783290e-63,6.713040e-67,5.628110e-02,1.506320e-59,3.505540e-08,4.308410e-02,5.975630e-112,7.086610e-78,2.747090e-34,1.479450e-111,1.511250e-143,2.106810e-65,7.347610e-145,3.452380e-20,2.670610e-03,3.694330e-01,5.285310e-01,3.312870e-38,1.040900e-93,5.801620e-95,1.262990e-69,4.579330e-35,3.852650e-29,1.000000e+00
0.5,0.001,3.750000e+02,0.000000e+00,-4.412700e+00,1.405130e-89,4.325860e-28,5.336350e-59,3.413720e-62,6.170050e-02,3.509380e-55,2.757770e-07,5.055790e-02,1.133040e-103,4.895520e-72,1.284750e-31,3.432750e-103,5.465930e-133,1.614370e-60,3.565190e-134,1.151020e-18,6.720680e-03,3.535610e-01,5.274590e-01,8.414040e-36,2.101290e-87,3.848670e-88,3.653080e-65,4.510730e-33,5.262430e-27,1.000000e+00
0.5,0.001,4.000000e+02,0.000000e+00,-4.336730e+00,2.484250e-83,5.161690e-26,4.417760e-55,4.488270e-58,6.508930e-02,2.327630e-51,1.679170e-06,5.813620e-02,2.003980e-96,6.301550e-67,2.766610e-29,7.205280e-96,9.560040e-124,3.028170e-56,8.078190e-125,2.463180e-17,1.498080e-02,3.365190e-01,5.252730e-01,1.050760e-33,6.911350e-82,3.599140e-82,2.934860e-61,2.400310e-31,3.875270e-25,1.000000e+00
0.5,0.001,4.250000e+02,0.000000e+00,-4.253930e+00,8.117240e-78,3.493940e-24,1.272570e-51,1.935060e-54,6.547060e-02,5.479080e-48,8.299110e-06,6.611380e-02,5.017060e-90,2.023000e-62,3.118730e-27,2.088200e-89,1.377910e-115,1.766130e-52,1.465210e-116,3.640170e-16,2.996190e-02,3.171380e-01,5.213070e-01,7.246210e-32,5.092290e-77,6.694350e-77,8.215400e-58,7.516810e-30,1.706680e-23,1.000000e+00
0.5,0.001,4.500000e+02,0.000000e+00,-4.159310e+00,6.491420e-73,1.466330e-22,1.524510e-48,3.290680e-51,6.198430e-02,5.432860e-45,3.454990e-05,7.488560e-02,2.459550e-84,2.029260e-58,2.027620e-25,1.161220e-83,2.477920e-108,3.846680e-49,3.235810e-109,3.926170e-15,5.415210e-02,2.940450e-01,5.148990e-01,3.006860e-30,1.076300e-72,3.236500e-72,9.554230e-55,1.467500e-28,4.864950e-22,1.000000e+00
0.5,0.001,4.750000e+02,0.000000e+00,-4.047750e+00,1.586080e-68,4.088380e-21,8.738330e-46,2.554140e-48,5.443420e-02,2.598370e-42,1.246740e-04,8.484370e-02,3.051090e-79,7.591450e-55,8.189510e-24,1.606800e-78,7.715090e-102,3.607940e-46,1.211830e-102,3.225300e-14,8.875360e-02,2.661250e-01,5.057190e-01,8.002470e-29,7.934470e-69,5.025120e-68,5.302120e-52,1.856690e-27,9.545230e-21,1.000000e+00
0.5,0.001,5.000000e+02,0.000000e+00,-3.916180e+00,1.414010e-64,8.003140e-20,2.676500e-43,1.017470e-45,4.381640e-02,6.684000e-40,3.983560e-04,9.616410e-02,1.175920e-74,1.220230e-51,2.180610e-22,6.811790e-74,5.405850e-96,1.633170e-43,1.003310e-96,2.089160e-13,1.322670e-01,2.332220e-01,4.941320e-01,1.434880e-27,2.388140e-65,2.969330e-64,1.567830e-49,1.569560e-26,1.354770e-19,1.000000e+00
0.5,0.001,5.250000e+02,0.000000e+00,-3.765840e+00,5.310650e-61,1.152000e-18,4.778570e-41,2.289380e-43,3.221200e-02,1.010890e-37,1.143750e-03,1.084930e-01,1.662770e-70,9.465850e-49,4.028590e-21,1.047120e-69,1.054130e-90,3.924800e-41,2.276470e-91,1.099930e-12,1.801720e-01,1.967210e-01,4.812580e-01,1.807400e-26,3.339130e-62,7.667920e-61,2.698550e-47,9.169640e-26,1.451510e-18,1.000000e+00
0.5,0.001,5.500000e+02,0.000000e+00,-3.602250e+00,9.451540e-58,1.269990e-17,5.326070e-39,3.148660e-41,2.180910e-02,9.673890e-36,2.979180e-03,1.207260e-01,9.884180e-67,3.908530e-46,5.415230e-20,6.700040e-66,6.806800e-86,5.444820e-39,1.687670e-86,4.842030e-12,2.265760e-01,1.594160e-01,4.684930e-01,1.664810e-25,2.413250e-59,9.696340e-58,2.902370e-45,3.870530e-25,1.219730e-17,1.000000e+00
0.5,0.001,5.750000e+02,0.000000e+00,-3.430700e+00,8.784870e-55,1.112070e-16,3.916240e-37,2.825030e-39,1.384840e-02,6.223480e-34,7.085350e-03,1.311100e-01,2.764290e-63,9.341050e-44,5.539610e-19,1.999940e-62,1.680420e-81,4.699480e-37,4.727630e-82,1.829280e-11,2.667290e-01,1.244460e-01,4.567810e-01,1.167320e-24,9.844290e-57,6.595230e-55,2.064910e-43,1.245460e-24,8.319770e-17,1.000000e+00
0.5,0.001,6.000000e+02,0.000000e+00,-3.249760e+00,4.624220e-52,7.986080e-16,1.987870e-35,1.744560e-37,8.425810e-03,2.829030e-32,1.545900e-02,1.375770e-01,3.995060e-60,1.387820e-41,4.491340e-18,3.062650e-59,1.787940e-77,2.694680e-35,5.649010e-78,6.066640e-11,2.982990e-01,9.402740e-02,4.462110e-01,6.468890e-24,2.435730e-54,2.607610e-52,1.016990e-41,3.224990e-24,4.744540e-16,1.000000e+00
0.5,0.001,6.250000e+02,0.000000e+00,-3.047920e+00,1.475650e-49,4.831800e-15,7.227260e-34,7.749840e-36,5.003200e-03,9.467340e-31,3.102780e-02,1.379670e-01,3.228700e-57,1.361250e-39,2.986790e-17,2.606250e-56,9.067370e-74,1.084870e-33,3.188020e-74,1.798710e-10,3.209370e-01,6.896330e-02,4.361010e-01,2.921080e-23,3.876610e-52,6.391330e-50,3.591900e-40,7.035720e-24,2.317170e-15,1.000000e+00
0.5,0.001,6.500000e+02,0.000000e+00,-2.805970e+00,3.024120e-47,2.517840e-14,1.935830e-32,2.569260e-34,2.935600e-03,2.413260e-29,5.724950e-02,1.302210e-01,1.559960e-54,9.267840e-38,1.674570e-16,1.318690e-53,2.386850e-70,3.208710e-32,9.262920e-71,4.835240e-10,3.352140e-01,4.899530e-02,4.253850e-01,1.097040e-22,4.165800e-50,1.024850e-47,9.333170e-39,1.338170e-23,9.877320e-15,1.000000e+00
0.5,0.001,6.750000e+02,0.000000e+00,-2.506700e+00,4.180330e-45,1.150550e-13,3.893770e-31,6.558230e-33,1.714720e-03,4.823290e-28,9.657650e-02,1.130740e-01,4.769950e-52,4.567450e-36,8.090380e-16,4.202540e-51,3.507020e-67,7.235370e-31,1.491360e-67,1.191630e-09,3.420160e-01,3.344140e-02,4.131780e-01,3.461850e-22,3.149330e-48,1.125460e-45,1.814260e-37,2.273730e-23,3.731470e-14,1.000000e+00
0.5,0.001,7.000000e+02,0.000000e+00,-2.152620e+00,4.065410e-43,4.682290e-13,5.946830e-30,1.325020e-31,1.003550e-03,7.755250e-27,1.474690e-01,8.763590e-02,9.692660e-50,1.689090e-34,3.432150e-15,8.863110e-49,3.061090e-64,1.284070e-29,1.417130e-64,2.720450e-09,3.427040e-01,2.165890e-02,3.995290e-01,9.210920e-22,1.738000e-46,8.811020e-44,2.666800e-36,3.524660e-23,1.266940e-13,1.000000e+00
0.5,0.001,7.250000e+02,0.000000e+00,-1.783540e+00,2.884350e-41,1.721740e-12,6.951820e-29,2.174100e-30,5.944860e-04,1.027550e-25,2.017710e-01,5.888700e-02,1.365210e-47,4.840580e-33,1.302360e-14,1.290860e-46,1.674860e-61,1.847690e-28,8.391590e-62,5.822830e-09,3.395820e-01,1.318020e-02,3.859860e-01,2.076560e-21,7.255580e-45,5.100240e-42,2.998570e-35,5.110890e-23,3.924940e-13,1.000000e+00
0.5,0.001,7.500000e+02,0.000000e+00,-1.465360e+00,1.540670e-39,5.799650e-12,6.322170e-28,2.967190e-29,3.613070e-04,1.147420e-24,2.474950e-01,3.407980e-02,1.382470e-45,1.106730e-31,4.502670e-14,1.347210e-44,6.018320e-59,2.217320e-27,3.246140e-59,1.184040e-08,3.355520e-01,7.559460e-03,3.749520e-01,4.035230e-21,2.370930e-43,2.256680e-40,2.637990e-34,7.134590e-23,1.127260e-12,1.000000e+00
0.5,0.001,7.750000e+02,0.000000e+00,-1.239510e+00,6.367950e-38,1.809880e-11,4.626770e-27,3.436770e-28,2.273140e-04,1.100380e-23,2.776930e-01,1.756710e-02,1.039040e-43,2.069120e-30,1.439240e-13,1.040510e-42,1.479110e-56,2.271060e-26,8.547220e-57,2.310600e-08,3.325960e-01,4.172980e-03,3.677440e-01,6.981760e-21,6.238530e-42,7.851230e-39,1.885910e-33,9.789510e-23,3.039010e-12,1.000000e+00
