Tw_K,P_bar,O2_C2H2,f_air,Bg,Bc
300,0.00101325,1,0,0,0.000000e+00
325,0.00101325,1,0,0,0.000000e+00
350,0.00101325,1,0,0,0.000000e+00
375,0.00101325,1,0,0,0.000000e+00
400,0.00101325,1,0,0,0.000000e+00
425,0.00101325,1,0,0,0.000000e+00
450,0.00101325,1,0,0,0.000000e+00
475,0.00101325,1,0,0,0.000000e+00
500,0.00101325,1,0,0,0.000000e+00
525,0.00101325,1,0,0,0.000000e+00
550,0.00101325,1,0,0,0.000000e+00
575,0.00101325,1,0,0,0.000000e+00
600,0.00101325,1,0,0,0.000000e+00
625,0.00101325,1,0,0,0.000000e+00
650,0.00101325,1,0,0,0.000000e+00
675,0.00101325,1,0,0,0.000000e+00
700,0.00101325,1,0,0,0.000000e+00
725,0.00101325,1,0,0,0.000000e+00
750,0.00101325,1,0,0,0.000000e+00
775,0.00101325,1,0,0,0.000000e+00
800,0.00101325,1,0,0,0.000000e+00
825,0.00101325,1,0,0,0.000000e+00
850,0.00101325,1,0,0,0.000000e+00
875,0.00101325,1,0,0,0.000000e+00
900,0.00101325,1,0,0,0.000000e+00
925,0.00101325,1,0,0,0.000000e+00
950,0.00101325,1,0,0,0.000000e+00
975,0.00101325,1,0,0,0.000000e+00
1000,0.00101325,1,0,0,0.000000e+00
1025,0.00101325,1,0,0,0.000000e+00
1050,0.00101325,1,0,0,0.000000e+00
1075,0.00101325,1,0,0,0.000000e+00
1100,0.00101325,1,0,0,0.000000e+00
1125,0.00101325,1,0,0,0.000000e+00
1150,0.00101325,1,0,0,0.000000e+00
1175,0.00101325,1,0,0,0.000000e+00
1200,0.00101325,1,0,0,0.000000e+00
1225,0.00101325,1,0,0,0.000000e+00
1250,0.00101325,1,0,0,0.000000e+00
1275,0.00101325,1,0,0,0.000000e+00
1300,0.00101325,1,0,0,0.000000e+00
1325,0.00101325,1,0,0,1.219230e-09
1350,0.00101325,1,0,0,5.598390e-07
1375,0.00101325,1,0,0,1.075640e-06
1400,0.00101325,1,0,0,1.599500e-06
1425,0.00101325,1,0,0,2.178650e-06
1450,0.00101325,1,0,0,2.860710e-06
1475,0.00101325,1,0,0,3.696960e-06
1500,0.00101325,1,0,0,4.744930e-06
1525,0.00101325,1,0,0,6.070910e-06
1550,0.00101325,1,0,0,7.752190e-06
1575,0.00101325,1,0,0,9.879270e-06
1600,0.00101325,1,0,0,1.255810e-05
1625,0.00101325,1,0,0,1.591220e-05
1650,0.00101325,1,0,0,2.008510e-05
1675,0.00101325,1,0,0,2.524220e-05
1700,0.00101325,1,0,0,3.157320e-05
1725,0.00101325,1,0,0,3.929380e-05
1750,0.00101325,1,0,0,4.864790e-05
1775,0.00101325,1,0,0,5.990870e-05
1800,0.00101325,1,0,0,7.338010e-05
1825,0.00101325,1,0,0,8.939730e-05
1850,0.00101325,1,0,0,1.083270e-04
1875,0.00101325,1,0,0,1.305640e-04
1900,0.00101325,1,0,0,1.565350e-04
1925,0.00101325,1,0,0,1.866890e-04
1950,0.00101325,1,0,0,2.214940e-04
1975,0.00101325,1,0,0,2.614370e-04
2000,0.00101325,1,0,0,3.070060e-04
2025,0.00101325,1,0,0,3.586890e-04
2050,0.00101325,1,0,0,4.169600e-04
2075,0.00101325,1,0,0,4.822680e-04
2100,0.00101325,1,0,0,5.550280e-04
2125,0.00101325,1,0,0,6.356080e-04
2150,0.00101325,1,0,0,7.243310e-04
2175,0.00101325,1,0,0,8.214780e-04
2200,0.00101325,1,0,0,9.273120e-04
2225,0.00101325,1,0,0,1.042120e-03
2250,0.00101325,1,0,0,1.166320e-03
2275,0.00101325,1,0,0,1.300560e-03
2300,0.00101325,1,0,0,1.445980e-03
2325,0.00101325,1,0,0,1.604550e-03
2350,0.00101325,1,0,0,1.779560e-03
2375,0.00101325,1,0,0,1.976340e-03
2400,0.00101325,1,0,0,2.203290e-03
2425,0.00101325,1,0,0,2.473310e-03
2450,0.00101325,1,0,0,2.805750e-03
2475,0.00101325,1,0,0,3.229110e-03
2500,0.00101325,1,0,0,3.784540e-03
2525,0.00101325,1,0,0,4.530690e-03
2550,0.00101325,1,0,0,5.550010e-03
2575,0.00101325,1,0,0,6.957160e-03
2600,0.00101325,1,0,0,8.910090e-03
2625,0.00101325,1,0,0,1.162470e-02
2650,0.00101325,1,0,0,1.539470e-02
2675,0.00101325,1,0,0,2.061750e-02
2700,0.00101325,1,0,0,2.783070e-02
2725,0.00101325,1,0,0,3.776080e-02
2750,0.00101325,1,0,0,5.139380e-02
2775,0.00101325,1,0,0,7.007520e-02
2800,0.00101325,1,0,0,9.566040e-02
2825,0.00101325,1,0,0,1.307460e-01
2850,0.00101325,1,0,0,1.790400e-01
2875,0.00101325,1,0,0,2.459940e-01
2900,0.00101325,1,0,0,3.399170e-01
2925,0.00101325,1,0,0,4.741150e-01
2950,0.00101325,1,0,0,6.713160e-01
2975,0.00101325,1,0,0,9.738880e-01
3000,0.00101325,1,0,0,1.471130e+00
3025,0.00101325,1,0,0,2.389800e+00
3050,0.00101325,1,0,0,4.526120e+00
3075,0.00101325,1,0,0,1.406660e+01
3100,0.00101325,1,0,0,2.000000e+02
3125,0.00101325,1,0,0,2.000000e+02
3150,0.00101325,1,0,0,2.000000e+02
3175,0.00101325,1,0,0,2.000000e+02
3200,0.00101325,1,0,0,2.000000e+02
3225,0.00101325,1,0,0,2.000000e+02
3250,0.00101325,1,0,0,2.000000e+02
3275,0.00101325,1,0,0,2.000000e+02
3300,0.00101325,1,0,0,2.000000e+02
3325,0.00101325,1,0,0,2.000000e+02
3350,0.00101325,1,0,0,2.000000e+02
3375,0.00101325,1,0,0,2.000000e+02
3400,0.00101325,1,0,0,2.000000e+02
3425,0.00101325,1,0,0,2.000000e+02
3450,0.00101325,1,0,0,2.000000e+02
3475,0.00101325,1,0,0,2.000000e+02
3500,0.00101325,1,0,0,2.000000e+02
3525,0.00101325,1,0,0,2.000000e+02
3550,0.00101325,1,0,0,2.000000e+02
3575,0.00101325,1,0,0,2.000000e+02
3600,0.00101325,1,0,0,2.000000e+02
3625,0.00101325,1,0,0,2.000000e+02
3650,0.00101325,1,0,0,2.000000e+02
3675,0.00101325,1,0,0,2.000000e+02
3700,0.00101325,1,0,0,2.000000e+02
3725,0.00101325,1,0,0,2.000000e+02
3750,0.00101325,1,0,0,2.000000e+02
3775,0.00101325,1,0,0,2.000000e+02
3800,0.00101325,1,0,0,2.000000e+02
3825,0.00101325,1,0,0,2.000000e+02
3850,0.00101325,1,0,0,2.000000e+02
3875,0.00101325,1,0,0,2.000000e+02
3900,0.00101325,1,0,0,2.000000e+02
3925,0.00101325,1,0,0,2.000000e+02
3950,0.00101325,1,0,0,2.000000e+02
3975,0.00101325,1,0,0,2.000000e+02
4000,0.00101325,1,0,0,2.000000e+02
4025,0.00101325,1,0,0,2.000000e+02
4050,0.00101325,1,0,0,2.000000e+02
4075,0.00101325,1,0,0,2.000000e+02
4100,0.00101325,1,0,0,2.000000e+02
4125,0.00101325,1,0,0,2.000000e+02
4150,0.00101325,1,0,0,2.000000e+02
4175,0.00101325,1,0,0,2.000000e+02
4200,0.00101325,1,0,0,2.000000e+02
4225,0.00101325,1,0,0,2.000000e+02
4250,0.00101325,1,0,0,2.000000e+02
4275,0.00101325,1,0,0,2.000000e+02
4300,0.00101325,1,0,0,2.000000e+02
4325,0.00101325,1,0,0,2.000000e+02
4350,0.00101325,1,0,0,2.000000e+02
4375,0.00101325,1,0,0,2.000000e+02
4400,0.00101325,1,0,0,2.000000e+02
4425,0.00101325,1,0,0,2.000000e+02
4450,0.00101325,1,0,0,2.000000e+02
4475,0.00101325,1,0,0,2.000000e+02
4500,0.00101325,1,0,0,2.000000e+02
4525,0.00101325,1,0,0,2.000000e+02
4550,0.00101325,1,0,0,2.000000e+02
4575,0.00101325,1,0,0,2.000000e+02
