cork_char_yield,x_C,x_H,x_O,composite_char_yield,k
0.05,0.32452234709966715,0.5726432595444895,0.10283439335584332,0.14,6.142857142857144
0.1,0.3081246200088467,0.5865446045410114,0.10533077545014188,0.18,4.555555555555555
0.125,0.2996235378203057,0.5937514860613686,0.10662497611832558,0.2,4.0
0.15,0.2909109510475019,0.6011376728096943,0.10795137614280371,0.21999999999999997,3.5454545454545467
0.2,0.27281888512285984,0.6164754113099931,0.1107057035671471,0.26,2.8461538461538467
0.25,0.25377942620675403,0.6326163121478938,0.11360426164535214,0.3,2.3333333333333335
