Tw_K,P_bar,phi,f_air,Bg,Bc
3100,0.00101325,0.8,0,0,2.000000e+02
3125,0.00101325,0.8,0,0,2.000000e+02
3150,0.00101325,0.8,0,0,2.000000e+02
3175,0.00101325,0.8,0,0,2.000000e+02
3200,0.00101325,0.8,0,0,2.000000e+02
3225,0.00101325,0.8,0,0,2.000000e+02
3250,0.00101325,0.8,0,0,2.000000e+02
3275,0.00101325,0.8,0,0,2.000000e+02
3300,0.00101325,0.8,0,0,2.000000e+02
3325,0.00101325,0.8,0,0,2.000000e+02
3350,0.00101325,0.8,0,0,2.000000e+02
3375,0.00101325,0.8,0,0,2.000000e+02
3400,0.00101325,0.8,0,0,2.000000e+02
3425,0.00101325,0.8,0,0,2.000000e+02
3450,0.00101325,0.8,0,0,2.000000e+02
3475,0.00101325,0.8,0,0,2.000000e+02
3500,0.00101325,0.8,0,0,2.000000e+02
3525,0.00101325,0.8,0,0,2.000000e+02
3550,0.00101325,0.8,0,0,2.000000e+02
3575,0.00101325,0.8,0,0,2.000000e+02
3600,0.00101325,0.8,0,0,2.000000e+02
3625,0.00101325,0.8,0,0,2.000000e+02
3650,0.00101325,0.8,0,0,2.000000e+02
3675,0.00101325,0.8,0,0,2.000000e+02
3700,0.00101325,0.8,0,0,2.000000e+02
3725,0.00101325,0.8,0,0,2.000000e+02
3750,0.00101325,0.8,0,0,2.000000e+02
3775,0.00101325,0.8,0,0,2.000000e+02
3800,0.00101325,0.8,0,0,2.000000e+02
3825,0.00101325,0.8,0,0,2.000000e+02
3850,0.00101325,0.8,0,0,2.000000e+02
3875,0.00101325,0.8,0,0,2.000000e+02
3900,0.00101325,0.8,0,0,2.000000e+02
3925,0.00101325,0.8,0,0,2.000000e+02
3950,0.00101325,0.8,0,0,2.000000e+02
3975,0.00101325,0.8,0,0,2.000000e+02
4000,0.00101325,0.8,0,0,2.000000e+02
4025,0.00101325,0.8,0,0,2.000000e+02
4050,0.00101325,0.8,0,0,2.000000e+02
4075,0.00101325,0.8,0,0,2.000000e+02
4100,0.00101325,0.8,0,0,2.000000e+02
4125,0.00101325,0.8,0,0,2.000000e+02
4150,0.00101325,0.8,0,0,2.000000e+02
4175,0.00101325,0.8,0,0,2.000000e+02
4200,0.00101325,0.8,0,0,2.000000e+02
4225,0.00101325,0.8,0,0,2.000000e+02
4250,0.00101325,0.8,0,0,2.000000e+02
4275,0.00101325,0.8,0,0,2.000000e+02
4300,0.00101325,0.8,0,0,2.000000e+02
4325,0.00101325,0.8,0,0,2.000000e+02
4350,0.00101325,0.8,0,0,2.000000e+02
4375,0.00101325,0.8,0,0,2.000000e+02
4400,0.00101325,0.8,0,0,2.000000e+02
4425,0.00101325,0.8,0,0,2.000000e+02
4450,0.00101325,0.8,0,0,2.000000e+02
4475,0.00101325,0.8,0,0,2.000000e+02
4500,0.00101325,0.8,0,0,2.000000e+02
4525,0.00101325,0.8,0,0,2.000000e+02
4550,0.00101325,0.8,0,0,2.000000e+02
4575,0.00101325,0.8,0,0,2.000000e+02
4600,0.00101325,0.8,0,0,2.000000e+02
4625,0.00101325,0.8,0,0,2.000000e+02
4650,0.00101325,0.8,0,0,2.000000e+02
4675,0.00101325,0.8,0,0,2.000000e+02
4700,0.00101325,0.8,0,0,2.000000e+02
4725,0.00101325,0.8,0,0,2.000000e+02
4750,0.00101325,0.8,0,0,2.000000e+02
4775,0.00101325,0.8,0,0,2.000000e+02
4800,0.00101325,0.8,0,0,2.000000e+02
4825,0.00101325,0.8,0,0,2.000000e+02
4850,0.00101325,0.8,0,0,2.000000e+02
4875,0.00101325,0.8,0,0,2.000000e+02
4900,0.00101325,0.8,0,0,2.000000e+02
4925,0.00101325,0.8,0,0,2.000000e+02
4950,0.00101325,0.8,0,0,2.000000e+02
4975,0.00101325,0.8,0,0,2.000000e+02
5000,0.00101325,0.8,0,0,2.000000e+02
300,0.00180184,0.8,0,0,6.235750e-02
325,0.00180184,0.8,0,0,6.331360e-02
350,0.00180184,0.8,0,0,6.455610e-02
375,0.00180184,0.8,0,0,6.611430e-02
400,0.00180184,0.8,0,0,6.804240e-02
425,0.00180184,0.8,0,0,7.043210e-02
450,0.00180184,0.8,0,0,7.341190e-02
475,0.00180184,0.8,0,0,7.713300e-02
500,0.00180184,0.8,0,0,8.174250e-02
525,0.00180184,0.8,0,0,8.735840e-02
550,0.00180184,0.8,0,0,9.406940e-02
575,0.00180184,0.8,0,0,1.019970e-01
600,0.00180184,0.8,0,0,1.114620e-01
625,0.00180184,0.8,0,0,1.232400e-01
650,0.00180184,0.8,0,0,1.388310e-01
675,0.00180184,0.8,0,0,1.605600e-01
700,0.00180184,0.8,0,0,1.912660e-01
725,0.00180184,0.8,0,0,2.329930e-01
750,0.00180184,0.8,0,0,2.841270e-01
775,0.00180184,0.8,0,0,3.367480e-01
800,0.00180184,0.8,0,0,3.799980e-01
825,0.00180184,0.8,0,0,4.086510e-01
850,0.00180184,0.8,0,0,4.249760e-01
875,0.00180184,0.8,0,0,4.336040e-01
900,0.00180184,0.8,0,0,4.380650e-01
925,0.00180184,0.8,0,0,4.403900e-01
950,0.00180184,0.8,0,0,4.416260e-01
975,0.00180184,0.8,0,0,4.423020e-01
1000,0.00180184,0.8,0,0,4.426800e-01
1025,0.00180184,0.8,0,0,4.428990e-01
1050,0.00180184,0.8,0,0,4.430280e-01
1075,0.00180184,0.8,0,0,4.431060e-01
1100,0.00180184,0.8,0,0,4.431540e-01
1125,0.00180184,0.8,0,0,4.431850e-01
1150,0.00180184,0.8,0,0,4.432050e-01
1175,0.00180184,0.8,0,0,4.432180e-01
1200,0.00180184,0.8,0,0,4.432270e-01
1225,0.00180184,0.8,0,0,4.432330e-01
1250,0.00180184,0.8,0,0,4.432370e-01
1275,0.00180184,0.8,0,0,4.432400e-01
1300,0.00180184,0.8,0,0,4.432420e-01
1325,0.00180184,0.8,0,0,4.432440e-01
1350,0.00180184,0.8,0,0,4.432450e-01
1375,0.00180184,0.8,0,0,4.432460e-01
1400,0.00180184,0.8,0,0,4.432470e-01
1425,0.00180184,0.8,0,0,4.432470e-01
1450,0.00180184,0.8,0,0,4.432480e-01
1475,0.00180184,0.8,0,0,4.432490e-01
1500,0.00180184,0.8,0,0,4.432500e-01
1525,0.00180184,0.8,0,0,4.432510e-01
1550,0.00180184,0.8,0,0,4.432530e-01
1575,0.00180184,0.8,0,0,4.432540e-01
1600,0.00180184,0.8,0,0,4.432560e-01
1625,0.00180184,0.8,0,0,4.432590e-01
1650,0.00180184,0.8,0,0,4.432620e-01
1675,0.00180184,0.8,0,0,4.432660e-01
1700,0.00180184,0.8,0,0,4.432710e-01
1725,0.00180184,0.8,0,0,4.432770e-01
1750,0.00180184,0.8,0,0,4.432840e-01
1775,0.00180184,0.8,0,0,4.432930e-01
1800,0.00180184,0.8,0,0,4.433030e-01
1825,0.00180184,0.8,0,0,4.433150e-01
1850,0.00180184,0.8,0,0,4.433290e-01
1875,0.00180184,0.8,0,0,4.433460e-01
1900,0.00180184,0.8,0,0,4.433660e-01
1925,0.00180184,0.8,0,0,4.433890e-01
1950,0.00180184,0.8,0,0,4.434160e-01
1975,0.00180184,0.8,0,0,4.434460e-01
2000,0.00180184,0.8,0,0,4.434810e-01
2025,0.00180184,0.8,0,0,4.435210e-01
2050,0.00180184,0.8,0,0,4.435650e-01
2075,0.00180184,0.8,0,0,4.436150e-01
2100,0.00180184,0.8,0,0,4.436710e-01
2125,0.00180184,0.8,0,0,4.437330e-01
2150,0.00180184,0.8,0,0,4.438010e-01
