Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
5.0,0.001,3.000000e+02,0.000000e+00,-7.991550e+00,1.502170e-114,3.708780e-36,4.944580e-75,5.844680e-79,3.601540e-01,9.200310e-71,8.626950e-11,5.162050e-03,1.271300e-132,3.118440e-92,1.696860e-40,1.855540e-132,6.383070e-170,3.887770e-77,1.502000e-171,4.597940e-24,7.801580e-04,5.006710e-01,1.332330e-01,6.582750e-44,4.560930e-110,2.631890e-112,9.654920e-82,1.072730e-38,1.523660e-34,1.000000e+00
5.0,0.001,3.250000e+02,0.000000e+00,-7.915340e+00,5.992150e-105,5.518900e-33,5.814270e-69,1.254360e-72,3.618870e-01,6.919260e-65,1.542690e-09,8.052140e-03,1.704390e-121,2.141830e-84,6.152990e-37,3.318940e-121,1.006670e-155,1.324610e-70,3.496050e-157,4.968230e-22,2.486910e-03,4.944540e-01,1.331200e-01,1.157320e-40,1.393110e-101,3.941980e-103,1.079240e-75,4.371560e-36,1.092150e-31,1.000000e+00
5.0,0.001,3.500000e+02,0.000000e+00,-7.832900e+00,1.023700e-96,2.917370e-30,9.248960e-64,3.365410e-67,3.625160e-01,7.551570e-60,1.818130e-08,1.158940e-02,5.975630e-112,1.128960e-77,6.971960e-34,1.479450e-111,1.511250e-143,5.346970e-65,7.347610e-145,2.757270e-20,6.777860e-03,4.862830e-01,1.328340e-01,6.947020e-38,2.616050e-94,2.908490e-95,1.646300e-70,7.485970e-34,3.076940e-29,1.000000e+00
5.0,0.001,3.750000e+02,0.000000e+00,-7.745890e+00,1.405130e-89,6.724080e-28,2.971530e-59,1.709050e-62,3.601920e-01,1.756940e-55,1.535660e-07,1.567700e-02,1.133040e-103,7.609570e-72,3.104130e-31,3.432750e-103,5.465930e-133,3.900540e-60,3.565190e-134,8.957200e-19,1.623810e-02,4.756900e-01,1.322030e-01,1.759640e-35,5.266700e-88,1.926800e-88,5.098580e-66,6.362300e-32,4.095190e-27,1.000000e+00
5.0,0.001,4.000000e+02,0.000000e+00,-7.655450e+00,2.484250e-83,7.872160e-26,2.606480e-55,2.241100e-58,3.521410e-01,1.162240e-51,9.907130e-07,2.023720e-02,2.003980e-96,9.610580e-67,6.435050e-29,7.205280e-96,9.560040e-124,7.043420e-56,8.078190e-125,1.875770e-17,3.484490e-02,4.618120e-01,1.309630e-01,2.199180e-33,1.723170e-82,1.797130e-82,4.317210e-62,3.020500e-30,2.951120e-25,1.000000e+00
5.0,0.001,4.250000e+02,0.000000e+00,-7.561200e+00,8.117240e-78,5.254350e-24,7.866220e-52,9.617290e-55,3.348580e-01,2.723120e-48,5.130000e-06,2.526170e-02,5.017060e-90,3.042290e-62,7.053170e-27,2.088200e-89,1.377910e-115,3.994200e-52,1.465210e-116,2.720730e-16,6.776040e-02,4.433450e-01,1.287690e-01,1.523380e-31,1.257860e-77,3.327120e-77,1.254390e-58,8.694720e-29,1.275600e-23,1.000000e+00
5.0,0.001,4.500000e+02,0.000000e+00,-7.459710e+00,6.491420e-73,2.183890e-22,9.787290e-49,1.623170e-51,3.049800e-01,2.679830e-45,2.218080e-05,3.086460e-02,2.459550e-84,3.022290e-58,4.497610e-25,1.161220e-83,2.477920e-108,8.532610e-49,3.235810e-109,2.884330e-15,1.201190e-01,4.187350e-01,1.252790e-01,6.377300e-30,2.618720e-73,1.596440e-72,1.492390e-55,1.601640e-27,3.573990e-22,1.000000e+00
5.0,0.001,4.750000e+02,0.000000e+00,-7.342280e+00,1.586080e-68,6.050630e-21,5.797400e-46,1.245850e-48,2.611380e-01,1.267430e-42,8.271420e-05,3.734470e-02,3.051090e-79,1.123500e-54,1.793730e-23,1.606800e-78,7.715090e-102,7.902380e-46,1.211830e-102,2.328320e-14,1.943950e-01,3.867140e-01,1.203250e-01,1.720990e-28,1.887840e-69,2.451150e-68,8.369530e-53,1.950910e-26,6.890640e-21,1.000000e+00
5.0,0.001,5.000000e+02,0.000000e+00,-7.192320e+00,1.414010e-64,1.178910e-19,1.835450e-43,4.890110e-46,2.063100e-01,3.212440e-40,2.731790e-04,4.522340e-02,1.175920e-74,1.797480e-51,4.731720e-22,6.811790e-74,5.405850e-96,3.543820e-43,1.003310e-96,1.479070e-13,2.870070e-01,3.470460e-01,1.141400e-01,3.145240e-27,5.516410e-66,1.427110e-64,2.483530e-50,1.603630e-25,9.591490e-20,1.000000e+00
5.0,0.001,5.250000e+02,0.000000e+00,-6.985600e+00,5.310650e-61,1.688310e-18,3.405130e-41,1.081720e-43,1.485970e-01,4.776430e-38,8.150190e-04,5.509030e-02,1.662770e-70,1.387260e-48,8.652650e-21,1.047120e-69,1.054130e-90,8.429730e-41,2.276470e-91,7.616630e-13,3.869750e-01,3.010810e-01,1.074420e-01,4.054010e-26,7.454680e-63,3.623060e-61,4.293010e-48,9.085340e-25,1.005120e-18,1.000000e+00
5.0,0.001,5.500000e+02,0.000000e+00,-6.700370e+00,9.451540e-58,1.848570e-17,3.968430e-39,1.463010e-41,9.790000e-02,4.494930e-36,2.219770e-03,6.702320e-02,9.884180e-67,5.689180e-46,1.147330e-19,6.700040e-66,6.806800e-86,1.153600e-38,1.687670e-86,3.274810e-12,4.800500e-01,2.516610e-01,1.011460e-01,3.825480e-25,5.210110e-60,4.505360e-58,4.668840e-46,3.681180e-24,8.249360e-18,1.000000e+00
5.0,0.001,5.750000e+02,0.000000e+00,-6.333830e+00,8.784870e-55,1.605780e-16,3.055750e-37,1.294130e-39,6.020240e-02,2.850930e-34,5.528530e-03,7.982420e-02,2.764290e-63,1.348810e-43,1.155010e-18,1.999940e-62,1.680420e-81,9.798460e-37,4.727630e-82,1.210000e-11,5.561310e-01,2.024590e-01,9.585490e-02,2.742210e-24,2.065810e-57,3.021220e-55,3.381070e-44,1.128900e-23,5.503240e-17,1.000000e+00
5.0,0.001,6.000000e+02,0.000000e+00,-5.900570e+00,4.624220e-52,1.144220e-15,1.616440e-35,7.905940e-38,3.550740e-02,1.282060e-32,1.257050e-02,9.096850e-02,3.995060e-60,1.988420e-41,9.219970e-18,3.062650e-59,1.787940e-77,5.531720e-35,5.649010e-78,3.939070e-11,6.123580e-01,1.569570e-01,9.163850e-02,1.547150e-23,5.002250e-55,1.181710e-52,1.698350e-42,2.789900e-23,3.080630e-16,1.000000e+00
5.0,0.001,6.250000e+02,0.000000e+00,-5.408800e+00,1.475650e-49,6.878160e-15,6.072630e-34,3.485380e-36,2.054480e-02,4.257800e-31,2.607080e-02,9.740520e-02,3.228700e-57,1.937760e-39,6.052460e-17,2.606250e-56,9.067370e-74,2.198390e-33,3.188020e-74,1.151550e-10,6.503510e-01,1.174220e-01,8.820680e-02,7.080060e-23,7.840920e-53,2.874410e-50,6.104400e-41,5.854500e-23,1.483470e-15,1.000000e+00
5.0,0.001,6.500000e+02,0.000000e+00,-4.847010e+00,3.024120e-47,3.566930e-14,1.665540e-32,1.149630e-34,1.182400e-02,1.079830e-29,4.925620e-02,9.639660e-02,1.559960e-54,1.312940e-37,3.360750e-16,1.318690e-53,2.386850e-70,6.439690e-32,9.262920e-71,3.065030e-10,6.727530e-01,8.460140e-02,8.516880e-02,2.683580e-22,8.340600e-51,4.585730e-48,1.607750e-39,1.081720e-22,6.261170e-15,1.000000e+00
5.0,0.001,6.750000e+02,0.000000e+00,-4.200310e+00,4.180330e-45,1.624700e-13,3.402280e-31,2.925400e-33,6.817970e-03,2.151510e-28,8.438610e-02,8.632970e-02,4.769950e-52,6.449700e-36,1.613240e-15,4.202540e-51,3.507020e-67,1.442750e-30,1.491360e-67,7.505940e-10,6.819880e-01,5.826580e-02,8.221210e-02,8.517330e-22,6.266380e-49,5.020310e-46,3.154260e-38,1.802730e-22,2.350420e-14,1.000000e+00
5.0,0.001,7.000000e+02,0.000000e+00,-3.488010e+00,4.065410e-43,6.599860e-13,5.240100e-30,5.901300e-32,3.961390e-03,3.453990e-27,1.299430e-01,6.804400e-02,9.692660e-50,2.380840e-34,6.818980e-15,8.863110e-49,3.061090e-64,2.551180e-29,1.417130e-64,1.707820e-09,6.808840e-01,3.791780e-02,7.924970e-02,2.272940e-21,3.447460e-47,3.924200e-44,4.661150e-37,2.764250e-22,7.953510e-14,1.000000e+00
5.0,0.001,7.250000e+02,0.000000e+00,-2.791520e+00,2.884350e-41,2.425160e-12,6.143730e-29,9.679020e-31,2.340110e-03,4.574600e-26,1.783170e-01,4.599240e-02,1.365210e-47,6.818210e-33,2.583920e-14,1.290860e-46,1.674860e-61,3.665870e-28,8.391590e-62,3.651400e-09,6.737390e-01,2.311010e-02,7.650210e-02,5.128600e-21,1.438050e-45,2.270600e-42,5.252300e-36,3.991510e-22,2.461260e-13,1.000000e+00
5.0,0.001,7.500000e+02,0.000000e+00,-2.221120e+00,1.540670e-39,8.168770e-12,5.586230e-28,1.321280e-29,1.421990e-03,5.109400e-25,2.186860e-01,2.660740e-02,1.382470e-45,1.558820e-31,8.932630e-14,1.347210e-44,6.018320e-59,4.398830e-27,3.246140e-59,7.426270e-09,6.656850e-01,1.325110e-02,7.434850e-02,9.962910e-21,4.701280e-44,1.004890e-40,4.621920e-35,5.570560e-22,7.070110e-13,1.000000e+00
5.0,0.001,7.750000e+02,0.000000e+00,-1.828920e+00,6.367950e-38,2.549530e-11,4.084570e-27,1.530850e-28,8.950870e-04,4.901470e-24,2.451510e-01,1.369100e-02,1.039040e-43,2.914700e-30,2.855970e-13,1.040510e-42,1.479110e-56,4.506580e-26,8.547220e-57,1.449830e-08,6.599880e-01,7.310290e-03,7.296450e-02,1.722910e-20,1.237790e-42,3.497200e-39,3.303350e-34,7.649270e-22,1.906890e-12,1.000000e+00
5.0,0.001,8.000000e+02,0.000000e+00,-1.583020e+00,2.086110e-36,7.429020e-11,2.512050e-26,1.528260e-27,5.828290e-04,4.095350e-23,2.596210e-01,6.653700e-03,5.959930e-42,4.544000e-29,8.514620e-13,6.117140e-41,2.576210e-54,4.004100e-25,1.587960e-54,2.727950e-08,6.569450e-01,3.994570e-03,7.220300e-02,2.751800e-20,2.676910e-41,9.785690e-38,2.002680e-33,1.038000e-21,4.858310e-12,1.000000e+00
5.0,0.001,8.250000e+02,0.000000e+00,-1.424820e+00,5.532000e-35,2.032520e-10,1.349010e-25,1.330820e-26,3.905760e-04,3.014290e-22,2.668150e-01,3.206280e-03,2.673740e-40,6.001510e-28,2.379620e-12,2.806090e-39,3.280870e-52,3.122100e-24,2.148530e-52,4.954800e-08,6.555630e-01,2.209080e-03,7.181560e-02,4.171930e-20,4.829150e-40,2.242810e-36,1.065720e-32,1.389180e-21,1.173240e-11,1.000000e+00
5.0,0.001,8.500000e+02,0.000000e+00,-1.311510e+00,1.209830e-33,5.247370e-10,6.485440e-25,1.022110e-25,2.681620e-04,1.974380e-21,2.702970e-01,1.573510e-03,9.586520e-39,6.810600e-27,6.263280e-12,1.026600e-37,3.140490e-50,2.158780e-23,2.177000e-50,8.701240e-08,6.549900e-01,1.249970e-03,7.162180e-02,6.100990e-20,7.369410e-39,4.280790e-35,5.091170e-32,1.830370e-21,2.694160e-11,1.000000e+00
5.0,0.001,8.750000e+02,0.000000e+00,-1.219900e+00,2.218300e-32,1.284330e-09,2.836030e-24,6.994460e-25,1.880450e-04,1.161790e-20,2.719980e-01,7.954060e-04,2.800210e-37,6.725610e-26,1.559680e-11,3.053970e-36,2.315340e-48,1.336610e-22,1.693280e-48,1.480430e-07,6.547690e-01,7.265260e-04,7.152310e-02,8.681540e-20,9.639410e-38,6.907760e-34,2.215380e-31,2.373730e-21,5.903270e-11,1.000000e+00
5.0,0.001,9.000000e+02,0.000000e+00,-1.138700e+00,3.460530e-31,2.992990e-09,1.140380e-23,4.304580e-24,1.343860e-04,6.194780e-20,2.728510e-01,4.156150e-04,6.778080e-36,5.846210e-25,3.690680e-11,7.515720e-35,1.343620e-46,7.476630e-22,1.033490e-46,2.445790e-07,6.546930e-01,4.339980e-04,7.147120e-02,1.207980e-19,1.094080e-36,9.553750e-33,8.870700e-31,3.031940e-21,1.238550e-10,1.000000e+00
5.0,0.001,9.250000e+02,0.000000e+00,-1.062550e+00,4.653410e-30,6.666820e-09,4.251050e-23,2.402700e-23,9.771300e-05,3.016750e-19,2.732930e-01,2.244940e-04,1.380430e-34,4.519400e-24,8.332320e-11,1.553790e-33,6.257480e-45,3.809260e-21,5.047880e-45,3.932130e-07,6.546750e-01,2.661990e-04,7.144290e-02,1.648630e-19,1.089670e-35,1.146550e-31,3.294160e-30,3.818170e-21,2.496490e-10,1.000000e+00
5.0,0.001,9.500000e+02,0.000000e+00,-9.888680e-01,5.457430e-29,1.424460e-08,1.478840e-22,1.225660e-22,7.218810e-05,1.351280e-18,2.735290e-01,1.251830e-04,2.397860e-33,3.135920e-23,1.801420e-10,2.735910e-32,2.379660e-43,1.780680e-20,2.008020e-43,6.164730e-07,6.546790e-01,1.674070e-04,7.142680e-02,2.211640e-19,9.620750e-35,1.207320e-30,1.141830e-29,4.745800e-21,4.849270e-10,1.000000e+00
5.0,0.001,9.750000e+02,0.000000e+00,-9.163700e-01,5.641030e-28,2.928710e-08,4.827910e-22,5.753440e-22,5.412300e-05,5.603030e-18,2.736590e-01,7.193150e-05,3.596180e-32,1.969410e-22,3.741930e-10,4.153950e-31,7.505620e-42,7.687980e-20,6.608860e-42,9.442860e-07,6.546880e-01,1.077680e-04,7.141730e-02,2.921090e-19,7.599310e-34,1.126690e-29,3.714720e-29,5.828310e-21,9.102740e-10,1.000000e+00
5.0,0.001,1.000000e+03,0.000000e+00,-8.444010e-01,5.187860e-27,5.810900e-08,1.486410e-21,2.500740e-21,4.113870e-05,2.163110e-17,2.737330e-01,4.250900e-05,4.708090e-31,1.127820e-21,7.490610e-10,5.499160e-30,1.991130e-40,3.083920e-19,1.825370e-40,1.415620e-06,6.546990e-01,7.090290e-05,7.141140e-02,3.803620e-19,5.414980e-33,9.402890e-29,1.139800e-28,7.079100e-21,1.655480e-09,1.000000e+00
5.0,0.001,1.025000e+03,0.000000e+00,-7.726230e-01,4.281400e-26,1.115520e-07,4.334590e-21,1.012110e-20,3.167110e-05,7.815930e-17,2.737770e-01,2.578710e-05,5.434350e-30,5.929480e-21,1.448970e-09,6.411530e-29,4.499360e-39,1.155570e-18,4.285510e-39,2.080310e-06,6.547090e-01,4.760480e-05,7.140750e-02,4.888410e-19,3.507000e-32,7.075030e-28,3.312740e-28,8.511360e-21,2.923680e-09,1.000000e+00
5.0,0.001,1.050000e+03,0.000000e+00,-7.008620e-01,3.195260e-25,2.076790e-07,1.201940e-20,3.833630e-20,2.467470e-05,2.655700e-16,2.738020e-01,1.602910e-05,5.580260e-29,2.879500e-20,2.715130e-09,6.643520e-28,8.760120e-38,4.064470e-18,8.652020e-38,3.001000e-06,6.547160e-01,3.257200e-05,7.140480e-02,6.207110e-19,2.078470e-31,4.835170e-27,9.155630e-28,1.013800e-20,5.024610e-09,1.000000e+00
5.0,0.001,1.075000e+03,0.000000e+00,-6.290080e-01,2.171660e-24,3.757660e-07,3.180360e-20,1.365260e-19,1.943940e-05,8.521930e-16,2.738180e-01,1.019250e-05,5.139310e-28,1.298820e-19,4.939460e-09,6.168510e-27,1.484870e-36,1.347870e-17,1.517970e-36,4.255230e-06,6.547220e-01,2.268250e-05,7.140260e-02,7.793810e-19,1.134230e-30,3.021480e-26,2.414670e-27,1.197170e-20,8.419100e-09,1.000000e+00
