Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,HNC,C(gr)
1.0,0.001,3.000000e+02,0.000000e+00,-5.826020e+00,1.502170e-114,2.814160e-36,8.105640e-75,1.004760e-78,1.193880e-01,1.581620e-70,1.414220e-10,1.387200e-02,1.271300e-132,2.366220e-92,9.769730e-41,1.855540e-132,6.383070e-170,2.238390e-77,1.502000e-171,5.997650e-24,4.491780e-04,4.725490e-01,3.937420e-01,4.714330e-44,1.347880e-109,4.524470e-112,4.677420e-81,2.047380e-39,1.987490e-34,1.000000e+00
1.0,0.001,3.250000e+02,0.000000e+00,-5.745620e+00,5.992150e-105,4.231750e-33,9.195300e-69,2.156740e-72,1.250950e-01,1.189690e-64,2.439770e-09,2.013970e-02,1.704390e-121,1.642300e-84,3.617600e-37,3.318940e-121,1.006670e-155,7.787950e-71,3.496050e-157,6.550040e-22,1.462160e-03,4.597600e-01,3.935430e-01,8.251340e-41,4.118450e-101,6.777810e-103,5.045910e-75,8.884610e-37,1.439880e-31,1.000000e+00
1.0,0.001,3.500000e+02,0.000000e+00,-5.661360e+00,1.023700e-96,2.259840e-30,1.411770e-63,5.788910e-67,1.305180e-01,1.298960e-59,2.775220e-08,2.700250e-02,5.975630e-112,8.745110e-78,4.183370e-34,1.479450e-111,1.511250e-143,3.208330e-65,7.347610e-145,3.673860e-20,4.066910e-03,4.453830e-01,3.930300e-01,4.928650e-38,7.740390e-94,5.002960e-95,7.435290e-70,1.617200e-34,4.099810e-29,1.000000e+00
1.0,0.001,3.750000e+02,0.000000e+00,-5.574160e+00,1.405130e-89,5.256300e-28,4.390390e-59,2.942440e-62,1.345000e-01,3.024900e-55,2.268900e-07,3.422210e-02,1.133040e-103,5.948500e-72,1.896860e-31,3.432750e-103,5.465930e-133,2.383520e-60,3.565190e-134,1.205520e-18,9.922700e-03,4.294780e-01,3.918770e-01,1.241910e-35,1.561160e-87,3.317350e-88,2.232950e-65,1.451770e-32,5.511570e-27,1.000000e+00
1.0,0.001,4.000000e+02,0.000000e+00,-5.482870e+00,2.484250e-83,6.200730e-26,3.743430e-55,3.865280e-58,1.355550e-01,2.004540e-51,1.422860e-06,4.174270e-02,2.003980e-96,7.570050e-67,3.992550e-29,7.205280e-96,9.560040e-124,4.370010e-56,8.078190e-125,2.548290e-17,2.161910e-02,4.115090e-01,3.895730e-01,1.543560e-33,5.125860e-82,3.099560e-82,1.844410e-61,7.213980e-31,4.009180e-25,1.000000e+00
1.0,0.001,4.250000e+02,0.000000e+00,-5.383990e+00,8.117240e-78,4.162990e-24,1.103340e-51,1.663920e-54,1.319500e-01,4.711370e-48,7.195510e-06,4.969940e-02,5.017060e-90,2.410390e-62,4.427500e-27,2.088200e-89,1.377910e-115,2.507290e-52,1.465210e-116,3.729510e-16,4.253530e-02,3.903550e-01,3.854540e-01,1.062700e-31,3.765230e-77,5.756360e-77,5.266680e-58,2.150680e-29,1.748560e-23,1.000000e+00
1.0,0.001,4.500000e+02,0.000000e+00,-5.271680e+00,6.491420e-73,1.737350e-22,1.346330e-48,2.822680e-51,1.221520e-01,4.660200e-45,3.051180e-05,5.840380e-02,2.459550e-84,2.404330e-58,2.846400e-25,1.161220e-83,2.477920e-108,5.400030e-49,3.235810e-109,3.990240e-15,7.601940e-02,3.645390e-01,3.788550e-01,4.416710e-30,7.919270e-73,2.776200e-72,6.208250e-55,4.059810e-28,4.944340e-22,1.000000e+00
1.0,0.001,4.750000e+02,0.000000e+00,-5.138280e+00,1.586080e-68,4.826390e-21,7.839720e-46,2.183080e-48,1.057200e-01,2.220880e-42,1.118530e-04,6.829100e-02,3.051090e-79,8.961820e-55,1.141300e-23,1.606800e-78,7.715090e-102,5.028070e-46,1.211830e-102,3.254370e-14,1.236880e-01,3.327360e-01,3.694530e-01,1.181160e-28,5.796520e-69,4.295080e-68,3.475130e-52,5.025360e-27,9.631250e-21,1.000000e+00
1.0,0.001,5.000000e+02,0.000000e+00,-4.976410e+00,1.414010e-64,9.424690e-20,2.437470e-43,8.656090e-46,8.426780e-02,5.686410e-40,3.627810e-04,7.975500e-02,1.175920e-74,1.436980e-51,3.024060e-22,6.811790e-74,5.405850e-96,2.264870e-43,1.003310e-96,2.093050e-13,1.834270e-01,2.945480e-01,3.576400e-01,2.134060e-27,1.728480e-65,2.526160e-64,1.033410e-49,4.186170e-26,1.357300e-19,1.000000e+00
1.0,0.001,5.250000e+02,0.000000e+00,-4.782960e+00,5.310650e-61,1.353840e-18,4.419090e-41,1.937320e-43,6.144350e-02,8.554380e-38,1.057710e-03,9.278410e-02,1.662770e-70,1.112430e-48,5.563930e-21,1.047120e-69,1.054130e-90,5.420590e-41,2.276470e-91,1.093870e-12,2.488370e-01,2.512550e-01,3.446230e-01,2.712890e-26,2.391110e-62,6.488740e-61,1.787030e-47,2.415680e-25,1.443500e-18,1.000000e+00
