P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,Si,Si2,Si3,SiO,SiO2,SiN,Si2N,SiC,SiC2,Si2C,C(gr),Si(cr),Si(L),SiC(b),SiC(L),SiO2(a-qz),SiO2(b-qz),SiO2(b-crt),SiO2(L)
0.001,5.750000e+02,0.000000e+00,2.906850e-01,4.179930e-39,9.766070e-51,2.332900e-40,1.000000e+00,1.045660e-64,8.784870e-55,2.764290e-63,1.999940e-62,9.208300e-34,1.766900e-16,8.153390e-29,5.011270e-37,1.865690e-52,7.161530e-62,8.580400e-24,1.868800e-41,8.212810e-37,2.208180e-41,3.555130e-60,1.126700e-49,3.903150e-49,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,6.000000e+02,0.000000e+00,3.174900e-01,2.611650e-37,3.337570e-48,1.983850e-38,1.000000e+00,1.538550e-61,4.624220e-52,3.995060e-60,3.062650e-59,4.235140e-32,2.595520e-15,3.878200e-27,4.768200e-35,1.023980e-49,1.114740e-58,2.586600e-22,3.107590e-39,5.181250e-35,2.483320e-39,4.038070e-57,5.223250e-47,1.704910e-46,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,6.250000e+02,0.000000e+00,3.444280e-01,1.173540e-35,7.153880e-46,1.181460e-36,1.000000e+00,1.261040e-58,1.475650e-49,3.228700e-57,2.606250e-56,1.433620e-30,3.071270e-14,1.351800e-25,3.149210e-33,3.385050e-47,9.609900e-56,5.924460e-21,3.425190e-37,2.345260e-33,1.911570e-37,2.609090e-54,1.480130e-44,4.566780e-44,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,6.500000e+02,0.000000e+00,3.715060e-01,3.939280e-34,1.014830e-43,5.134170e-35,1.000000e+00,6.159460e-56,3.024120e-47,1.559960e-54,1.318690e-53,3.700100e-29,3.001240e-13,3.578830e-24,1.505850e-31,7.146430e-45,4.912350e-53,1.064260e-19,2.623970e-35,7.914700e-32,1.052270e-35,1.023440e-51,2.713470e-42,7.937080e-42,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,6.750000e+02,0.000000e+00,3.987290e-01,1.020280e-32,9.974180e-42,1.686020e-33,1.000000e+00,1.898980e-53,4.180330e-45,4.769950e-52,4.202540e-51,7.503690e-28,2.473880e-12,7.419520e-23,5.403540e-30,1.012800e-42,1.578110e-50,1.540510e-18,1.454790e-33,2.057630e-30,4.299670e-34,2.576120e-49,3.377630e-40,9.391580e-40,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,7.000000e+02,0.000000e+00,4.260990e-01,2.096280e-31,7.063680e-40,4.311430e-32,1.000000e+00,3.881970e-51,4.065410e-43,9.692660e-50,8.863110e-49,1.226940e-26,1.751640e-11,1.236440e-21,1.500550e-28,1.005620e-40,3.348940e-48,1.838870e-17,6.042950e-32,4.237960e-29,1.346470e-32,4.363570e-47,2.975480e-38,7.884000e-38,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,7.250000e+02,0.000000e+00,4.536200e-01,3.499410e-30,3.728610e-38,8.809890e-31,1.000000e+00,5.489960e-49,2.884350e-41,1.365210e-47,1.290860e-46,1.653930e-25,1.082200e-10,1.694010e-20,3.311440e-27,7.258020e-39,4.900610e-46,1.846590e-16,1.937570e-30,7.084170e-28,3.321810e-31,5.181790e-45,1.922570e-36,4.865370e-36,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,7.500000e+02,0.000000e+00,4.812930e-01,4.845710e-29,1.510610e-36,1.471060e-29,1.000000e+00,5.572290e-47,1.540670e-39,1.382470e-45,1.347210e-44,1.873840e-24,5.913610e-10,1.945660e-19,5.942320e-26,3.931420e-37,5.132520e-44,1.587170e-15,4.920790e-29,9.814040e-27,6.612040e-30,4.469960e-43,9.398060e-35,2.276260e-34,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,7.750000e+02,0.000000e+00,5.091190e-01,5.667320e-28,4.818620e-35,2.046720e-28,1.000000e+00,4.191120e-45,6.367950e-38,1.039040e-43,1.040510e-42,1.814560e-23,2.892080e-09,1.905410e-18,8.846300e-25,1.643250e-35,3.973960e-42,1.185300e-14,1.012350e-27,1.147470e-25,1.084190e-28,2.888990e-41,3.570630e-33,8.293050e-33,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,8.000000e+02,0.000000e+00,5.370960e-01,5.687460e-27,1.237500e-33,2.413500e-27,1.000000e+00,2.402080e-43,2.086110e-36,5.959930e-42,6.117140e-41,1.524100e-22,1.278950e-08,1.614710e-17,1.111840e-23,5.430640e-34,2.340150e-40,7.792690e-14,1.720490e-26,1.150510e-24,1.491380e-27,1.437350e-39,1.079580e-31,2.408710e-31,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
